"Age_Ma","pCO2_probability_maximum","lw95_percent","lw68_percent","up68_percent","up95_percent","yearsAgo","yearsElapsed"
45.5,777.06,562.63,660.32,916.33,1043.38,45500000,4554500000
46,790.45,569.43,667.68,930.55,1063.15,4.6e+07,4.554e+09
46.5,802.8,585.15,676.88,943.16,1082.27,46500000,4553500000
47,817.34,600.9,699.16,957.37,1102.89,4.7e+07,4.553e+09
47.5,833.98,618.94,718.15,976.71,1132.09,47500000,4552500000
48,811.38,630.38,729.26,995.94,1157.94,4.8e+07,4.552e+09
48.5,850.04,621.9,735.9,1008.83,1178.64,48500000,4551500000
49,853.41,616.66,737.07,1013.8,1182.5,4.9e+07,4.551e+09
49.5,843.32,610.74,730.71,1006.08,1177.26,49500000,4550500000
50,827.61,606.32,721.64,990.28,1142.74,5e+07,4.55e+09
50.5,812.64,607.08,707.62,966.93,1109.2,50500000,4549500000
51,786.2,598.11,690.28,936.49,1071.27,5.1e+07,4.549e+09
51.5,755.57,589.5,666.86,906.49,1027.97,51500000,4548500000
52,730.23,577.26,651.47,876.45,991.29,5.2e+07,4.548e+09
52.5,744.05,565.27,635.32,851.24,948.55,52500000,4547500000
53,726.72,545.85,616.66,822.59,907.31,5.3e+07,4.547e+09
53.5,701.62,532.41,598.55,788.75,864.23,53500000,4546500000
54,669.94,511.6,577.65,750.58,821.9,5.4e+07,4.546e+09
54.5,636.54,491.47,549.86,714.64,783.75,54500000,4545500000
55,604.41,465.99,520.81,683.84,755.91,5.5e+07,4.545e+09
55.5,577.47,434.67,494.75,657.57,729.6,55500000,4544500000
56,565.49,413.54,471.81,632.8,700.59,5.6e+07,4.544e+09
56.5,535.85,389.45,448.53,601.93,666.96,56500000,4543500000
57,497.39,365.14,421.78,568.99,624.82,5.7e+07,4.543e+09
57.5,455.74,343.02,394.21,532.6,590.95,57500000,4542500000
58,417.94,319.9,365.71,499.64,568.05,5.8e+07,4.542e+09
58.5,390.44,294.35,339.63,468.4,549.99,58500000,4541500000
59,380.4,273.13,314.76,444.76,533.35,5.9e+07,4.541e+09
59.5,364.39,256.71,296.78,426.63,525.41,59500000,4540500000
60,350.14,246.23,285.29,410.82,512.76,6e+07,4.54e+09
60.5,336.38,238.17,279.35,396.07,496.16,60500000,4539500000
61,328.65,233.4,273.03,381.65,485.98,6.1e+07,4.539e+09
61.5,315.58,230.18,267.05,372.95,476.64,61500000,4538500000
62,309.78,223.7,260.7,366.14,470.6,6.2e+07,4.538e+09
62.5,304.22,213.93,253.86,357.68,461.9,62500000,4537500000
63,288.17,203.81,245.2,346.55,451.87,6.3e+07,4.537e+09
63.5,275.4,189.43,235.27,334.28,436.36,63500000,4536500000
64,261.7,181.5,222.44,321.19,425.99,6.4e+07,4.536e+09
64.5,256.67,167.1,207.67,308.41,418.33,64500000,4535500000
65,244.44,153.52,194.12,298.78,423.89,6.5e+07,4.535e+09
65.5,235.4,146.09,187.16,292.07,421.65,65500000,4534500000
66,228.84,147.25,185.52,291.01,420.5,6.6e+07,4.534e+09
66.5,238.8,149.51,190.88,293.66,416.01,66500000,4533500000
67,247.76,153.69,193.38,298.83,406,6.7e+07,4.533e+09
67.5,245.15,151.74,193.86,310.75,417.62,67500000,4532500000
68,244.28,150.1,195.93,325.21,445.41,6.8e+07,4.532e+09
68.5,247.71,146.11,197.46,341.89,466.63,68500000,4531500000
69,261.65,146.36,203.58,359.43,483.28,6.9e+07,4.531e+09
69.5,278.05,150.05,214.52,380.68,504.84,69500000,4530500000
70,304.07,152.01,224.47,406.79,537.55,7e+07,4.53e+09
70.5,334.7,147.28,236.96,435.2,585.21,70500000,4529500000
71,345.49,141.22,246.4,469.69,633.67,7.1e+07,4.529e+09
71.5,355.69,136.67,259.75,511.63,674.63,71500000,4528500000
72,369.23,134.42,272.51,548.94,712.36,7.2e+07,4.528e+09
72.5,397.26,155.84,285.97,575.94,752.4,72500000,4527500000
73,435.21,162.71,305.91,599.19,781.54,7.3e+07,4.527e+09
73.5,454.2,183.39,330.51,634.55,818.85,73500000,4526500000
74,487.96,198.34,346.51,678.57,873.89,7.4e+07,4.526e+09
74.5,515.38,212.31,365.34,717.03,936.12,74500000,4525500000
75,559.27,228.82,379.27,752.62,995.67,7.5e+07,4.525e+09
75.5,584.05,249.26,391.77,783.81,1012.84,75500000,4524500000
76,611.01,268.11,411.19,817.16,1043.55,7.6e+07,4.524e+09
76.5,624.52,270.48,425.91,847.1,1079.28,76500000,4523500000
77,649.32,277.6,440.4,883.05,1149.12,7.7e+07,4.523e+09
77.5,680.95,288.62,455.92,927.87,1182.12,77500000,4522500000
78,714.54,277.58,460.81,977.26,1226.3,7.8e+07,4.522e+09
78.5,696.89,265.66,467.73,1002.85,1274.43,78500000,4521500000
79,692.48,264.81,477.78,1021.46,1314.89,7.9e+07,4.521e+09
79.5,685.23,275.67,478.63,1043.25,1344.54,79500000,4520500000
80,675.53,284.87,483.95,1055.92,1358.22,8e+07,4.52e+09
80.5,677.98,278.64,484.3,1068.08,1377.85,80500000,4519500000
81,659.94,274.95,476.38,1085.67,1397.98,8.1e+07,4.519e+09
81.5,668.49,272.1,478.13,1101.95,1420.14,81500000,4518500000
82,683.89,253.6,479.7,1103.14,1437.78,8.2e+07,4.518e+09
82.5,699.49,245.36,476.76,1098.32,1429.22,82500000,4517500000
83,680.8,250.84,476.82,1094.69,1412.29,8.3e+07,4.517e+09
83.5,634.3,232.67,473.63,1065.76,1378.08,83500000,4516500000
