"Age_Ma","pCO2_probability_maximum","lw95_percent","lw68_percent","up68_percent","up95_percent","yearsAgo","yearsElapsed"
188,972.15,551.79,796.78,1490.24,2117.42,1.88e+08,4.412e+09
188.5,985.24,576.1,818.1,1589.76,2225.47,188500000,4411500000
189,1005.13,555.42,838.01,1688.92,2356.76,1.89e+08,4.411e+09
189.5,1074.93,561.75,844.56,1797.66,2513.56,189500000,4410500000
190,1111.68,577.3,871.67,1884.77,2628.38,1.9e+08,4.41e+09
190.5,1156.62,624.87,908.11,1957.46,2759.35,190500000,4409500000
191,1196.72,666.94,954.96,2008.93,2812.96,1.91e+08,4.409e+09
191.5,1246.89,720.13,1022.31,2060.05,2861.19,191500000,4408500000
192,1345.54,757.63,1073.89,2143.95,2918.25,1.92e+08,4.408e+09
192.5,1436.28,781.15,1126.85,2233.77,2992.39,192500000,4407500000
193,1466.45,810.43,1172.36,2301.15,3045.34,1.93e+08,4.407e+09
193.5,1449.82,833.9,1218.24,2355.26,3073.04,193500000,4406500000
194,1740.76,882.85,1254.2,2399.23,3071.17,1.94e+08,4.406e+09
194.5,1769.77,926.93,1301.27,2402.85,3022.15,194500000,4405500000
195,1796.57,990.88,1340.61,2362.87,2914.2,1.95e+08,4.405e+09
195.5,1800.11,1050.78,1369.51,2368.15,2849.58,195500000,4404500000
196,1783.74,1068.4,1387.9,2345.15,2767.18,1.96e+08,4.404e+09
196.5,1772.47,1104.17,1411.47,2331.56,2734.43,196500000,4403500000
197,1768.36,1110.68,1423.93,2316.5,2727.55,1.97e+08,4.403e+09
197.5,1770.42,1129.13,1444.34,2296.31,2672.27,197500000,4402500000
198,1767.68,1158.82,1458.8,2256.78,2582.55,1.98e+08,4.402e+09
198.5,1768.01,1190.27,1456.86,2192.18,2499.02,198500000,4401500000
199,1725.17,1161.61,1443.47,2152.46,2442.67,1.99e+08,4.401e+09
199.5,1731.48,1150.13,1413.08,2117.68,2430.05,199500000,4400500000
200,1732.56,1151.22,1389.11,2085.77,2401.15,2e+08,4.4e+09
200.5,1730.6,1139.72,1375.09,2063.19,2393.52,200500000,4399500000
201,1723.92,1148.13,1370.54,2028.4,2356.15,2.01e+08,4.399e+09
201.5,1732.22,1137.75,1363.05,1993.03,2291.21,201500000,4398500000
202,1689.51,1146.14,1343.47,1948.82,2240.98,2.02e+08,4.398e+09
202.5,1550.94,1120.93,1327.44,1914.06,2220.93,202500000,4397500000
203,1521.18,1096.07,1297.18,1895.57,2172.94,2.03e+08,4.397e+09
203.5,1602.61,1076.42,1276.17,1862.66,2140.69,203500000,4396500000
204,1583.01,1063.52,1255.44,1832.03,2088.8,2.04e+08,4.396e+09
204.5,1545.19,1023.82,1236.3,1790.21,2053.81,204500000,4395500000
205,1492.68,988.24,1209.18,1760.92,1993.55,2.05e+08,4.395e+09
205.5,1461.27,953.66,1183.84,1725.13,1952.53,205500000,4394500000
206,1543.67,919.86,1154.67,1692.57,1921.07,2.06e+08,4.394e+09
206.5,1540.96,901.12,1124.49,1673.12,1898.23,206500000,4393500000
207,1505.03,878.94,1096.45,1649.47,1878.99,2.07e+08,4.393e+09
207.5,1437.95,871.7,1076.58,1618.32,1854.54,207500000,4392500000
208,1368.3,849.24,1050.23,1593.22,1834.18,2.08e+08,4.392e+09
208.5,1348.82,832.23,1031.49,1565.29,1818.11,208500000,4391500000
209,1277.87,797.27,999.01,1543.66,1820.72,2.09e+08,4.391e+09
209.5,1240.43,784.18,979.73,1531.17,1802.67,209500000,4390500000
210,1206.6,785.5,969.54,1522.98,1792.16,2.1e+08,4.39e+09
210.5,1197.14,783.03,960.62,1504.6,1765.11,210500000,4389500000
211,1178.39,789.11,964.25,1500.91,1725.55,2.11e+08,4.389e+09
211.5,1170.68,778.83,970.66,1492.65,1722,211500000,4388500000
212,1172.91,776.07,961.15,1494.12,1722.13,2.12e+08,4.388e+09
212.5,1223.65,782.28,951.7,1504.1,1729.93,212500000,4387500000
213,1231.62,774.67,948.45,1519.33,1745.07,2.13e+08,4.387e+09
213.5,1210.86,780.26,960.29,1545.78,1767.07,213500000,4386500000
214,1207.79,819.62,981.77,1559.19,1763.33,2.14e+08,4.386e+09
214.5,1324.31,835.96,1015.65,1580.21,1786.7,214500000,4385500000
215,1339.32,846.1,1035.4,1616.22,1821.2,2.15e+08,4.385e+09
215.5,1361.99,851.61,1054.43,1654.02,1899.8,215500000,4384500000
216,1381.16,860.07,1077.21,1695.16,1967.08,2.16e+08,4.384e+09
216.5,1406.39,862.94,1101.46,1732.44,2019.79,216500000,4383500000
217,1439.63,878.8,1131.41,1758.11,2083.94,2.17e+08,4.383e+09
217.5,1450.96,926,1161.61,1787.77,2115.52,217500000,4382500000
218,1501.04,964.38,1190.15,1843.29,2199.67,2.18e+08,4.382e+09
218.5,1531.76,989.7,1229.06,1897.75,2244.38,218500000,4381500000
219,1552.4,1011.02,1237.77,1959.1,2272.16,2.19e+08,4.381e+09
219.5,1589.3,1016.16,1243.97,2023.41,2375.01,219500000,4380500000
220,1599.29,1032.56,1278.66,2081.03,2446.3,2.2e+08,4.38e+09
220.5,1614.51,1026.21,1315.3,2120.76,2498.11,220500000,4379500000
221,1660.23,1038.65,1345.94,2174.2,2540.79,2.21e+08,4.379e+09
221.5,1702.54,1085.65,1397.46,2225.46,2617.76,221500000,4378500000
222,1776.13,1113,1430.04,2288.12,2691.29,2.22e+08,4.378e+09
222.5,1818.97,1140.78,1458.82,2336.76,2771.85,222500000,4377500000
223,1854.49,1137.36,1480.5,2394.83,2834.97,2.23e+08,4.377e+09
223.5,1911.95,1152.19,1498.52,2428.05,2863.23,223500000,4376500000
224,1955.25,1186.25,1525.36,2436.79,2850.08,2.24e+08,4.376e+09
224.5,2047.59,1192.73,1532.48,2475.28,2869.41,224500000,4375500000
225,2131.92,1226.87,1552.95,2507.31,2909.25,2.25e+08,4.375e+09
225.5,2111.68,1203.71,1552.64,2541.55,2955.17,225500000,4374500000
226,2073.2,1198.27,1542.54,2561.44,2995.16,2.26e+08,4.374e+09
226.5,2062.8,1187.17,1538.66,2575.35,3028.95,226500000,4373500000
227,2059.04,1185.58,1537.01,2572.9,3016.58,2.27e+08,4.373e+09
227.5,2051.57,1173.59,1521.6,2515.33,2992.94,227500000,4372500000
228,2082.91,1165.92,1500.78,2467.63,2976.67,2.28e+08,4.372e+09
228.5,2023.94,1159.33,1459.57,2414.34,2919.56,228500000,4371500000
229,1989.51,1127.32,1414.98,2383.15,2839.76,2.29e+08,4.371e+09
229.5,1975.23,1075.88,1372.49,2340.36,2823.87,229500000,4370500000
230,1938.98,1042.73,1347.88,2296.47,2774.52,2.3e+08,4.37e+09
230.5,1892.22,1048.8,1331.39,2225.72,2721.56,230500000,4369500000
231,1767.46,1026.96,1326.16,2181.75,2668.5,2.31e+08,4.369e+09
231.5,1662.83,984.42,1312.98,2151.27,2623.15,231500000,4368500000
232,1613.52,950.1,1266.73,2101.69,2592.51,2.32e+08,4.368e+09
232.5,1624.32,889.7,1206.34,2080.55,2588.6,232500000,4367500000
233,1518.27,836.56,1138.78,2076.78,2589.37,2.33e+08,4.367e+09
233.5,1495.34,770.8,1081.68,2038.15,2572.95,233500000,4366500000
234,1478.47,702.03,1028.22,2013.87,2580.5,2.34e+08,4.366e+09
234.5,1447.15,663.76,972.63,1984.09,2625.94,234500000,4365500000
235,1398.8,590.93,894.51,2005.38,2678.79,2.35e+08,4.365e+09
235.5,1352.41,540.8,819.25,1999.55,2709.71,235500000,4364500000
236,1300.84,464.01,772.88,1991.46,2743.92,2.36e+08,4.364e+09
236.5,1248.87,388.83,720.18,1963.35,2721.26,236500000,4363500000
237,1210.03,339.54,661.96,1935.07,2650.36,2.37e+08,4.363e+09
237.5,1205.65,297.95,615.23,1868.19,2582.57,237500000,4362500000
238,1204.76,277.29,558.51,1779.31,2514.92,2.38e+08,4.362e+09
238.5,1167.29,238.13,518.13,1746.18,2463.38,238500000,4361500000
239,1110.06,204.06,469.19,1695.7,2446.86,2.39e+08,4.361e+09
239.5,1033.59,175.94,422.4,1619.18,2349.34,239500000,4360500000
240,532.66,143.29,390.74,1517.23,2229.6,2.4e+08,4.36e+09
240.5,528.96,130.29,356.97,1411.06,2068.5,240500000,4359500000
241,532.54,128.13,331.63,1299.24,1903.28,2.41e+08,4.359e+09
241.5,519.87,127.69,306.09,1193.07,1774.74,241500000,4358500000
242,491.72,101.22,288.69,1096.64,1644.34,2.42e+08,4.358e+09
242.5,424.2,69.49,267.76,1005.54,1494.31,242500000,4357500000
243,388.88,61.58,250.54,936.49,1441.68,2.43e+08,4.357e+09
243.5,400.12,76.16,249.15,887.76,1350.76,243500000,4356500000
244,424.25,85.55,243.88,847.19,1277.57,2.44e+08,4.356e+09
244.5,417.99,91.79,246.47,787.36,1187.84,244500000,4355500000
245,420.96,68.52,245.41,773.11,1152.25,2.45e+08,4.355e+09
245.5,414.97,38.51,233.07,789.56,1146.75,245500000,4354500000
246,429.51,9.85,227,812.61,1136.35,2.46e+08,4.354e+09
246.5,451.45,1.08,224.2,856.87,1144.05,246500000,4353500000
247,490.73,-17.84,231.32,900.57,1193,2.47e+08,4.353e+09
247.5,550.55,-4.25,259.3,956.17,1295.43,247500000,4352500000
248,615.49,-21.24,286.46,1033.81,1409.61,2.48e+08,4.352e+09
248.5,668.76,-34,306.47,1102.66,1491.73,248500000,4351500000
249,691.14,-32.59,326.08,1167.76,1592.9,2.49e+08,4.351e+09
249.5,738.91,-22.34,345.68,1215.13,1635.85,249500000,4350500000
250,772.38,2.59,365.21,1248.69,1668.2,2.5e+08,4.35e+09
250.5,769.71,20.61,397.28,1283.43,1693.62,250500000,4349500000
251,825.97,37.7,419.58,1329.46,1730.1,2.51e+08,4.349e+09
251.5,856.75,30.89,443.4,1378.51,1754.5,251500000,4348500000
252,878.74,41.2,461.75,1420.36,1790,2.52e+08,4.348e+09
252.5,871.56,64.37,466.74,1429.52,1839.21,252500000,4347500000
253,856.32,83.05,461.01,1428.29,1824.79,2.53e+08,4.347e+09
253.5,865.39,74.21,457.74,1402.08,1823.61,253500000,4346500000
254,868.96,71.52,455.64,1381.52,1763.62,2.54e+08,4.346e+09
254.5,856.25,44.35,433.03,1327.19,1715.23,254500000,4345500000
255,849.85,22.56,420.21,1300.54,1680.77,2.55e+08,4.345e+09
255.5,844.34,8.43,397.56,1269.26,1657.02,255500000,4344500000
256,810.9,-19.43,365.55,1233.76,1619.93,2.56e+08,4.344e+09
256.5,778.24,-41.66,347.34,1178.35,1550.92,256500000,4343500000
257,727.6,-48.48,315.69,1115.07,1466.66,2.57e+08,4.343e+09
257.5,677.85,-40.65,274.55,1040.7,1386.85,257500000,4342500000
258,637.31,-54.76,245.43,977.51,1294.66,2.58e+08,4.342e+09
258.5,610.69,-57.83,217.16,909.75,1221.11,258500000,4341500000
259,580.34,-75.04,203.91,858.39,1159.68,2.59e+08,4.341e+09
259.5,562.04,-85.73,188.94,821.53,1119.81,259500000,4340500000
260,535.64,-98.87,174.24,788.71,1071.69,2.6e+08,4.34e+09
260.5,495.65,-76.99,177.12,748.78,1006.07,260500000,4339500000
261,461.03,-61.09,166.75,711.72,1010.42,2.61e+08,4.339e+09
261.5,409.91,-76.13,152.07,689.95,1011.73,261500000,4338500000
262,373.08,-84.49,139.01,670.3,1003.75,2.62e+08,4.338e+09
262.5,352.02,-89.77,124.09,656.64,1008.22,262500000,4337500000
263,344.77,-83.05,122.84,652.95,1015.91,2.63e+08,4.337e+09
263.5,349.7,-70.32,130.59,655.04,1029.96,263500000,4336500000
264,356.78,-68.52,134.22,650.1,1027.38,2.64e+08,4.336e+09
264.5,340.11,-57.99,134.5,650.82,1071.67,264500000,4335500000
265,320.41,-40.48,142.16,649.72,1082.38,2.65e+08,4.335e+09
265.5,322.44,-33.13,145.99,643.1,1087,265500000,4334500000
266,321.19,-21.76,154.51,633.36,1063.24,2.66e+08,4.334e+09
266.5,316.97,-2.76,158.93,620.91,1019.94,266500000,4333500000
267,308.8,3.07,162.17,598.01,971.32,2.67e+08,4.333e+09
267.5,306.95,20.94,167.89,584.52,914.38,267500000,4332500000
268,301.88,36.19,175.96,582.15,872.69,2.68e+08,4.332e+09
268.5,300.75,46.45,176.01,566.84,820.39,268500000,4331500000
269,325.45,48.63,187.04,553.54,793.65,2.69e+08,4.331e+09
269.5,331.28,58.67,196.33,551.92,771.31,269500000,4330500000
270,325.11,84.71,208.52,550.63,760.28,2.7e+08,4.33e+09
270.5,351.09,118.21,225.8,552.93,734.61,270500000,4329500000
271,337.61,132.4,241.58,561.93,732.04,2.71e+08,4.329e+09
271.5,358.78,146.58,253.58,578.86,735.53,271500000,4328500000
272,389.79,152.87,260.73,599.94,745.3,2.72e+08,4.328e+09
272.5,417.24,159.84,267.82,615.98,765.14,272500000,4327500000
273,443.77,162.19,275.87,634.05,791.52,2.73e+08,4.327e+09
273.5,432.28,181.29,294.6,652.08,809.1,273500000,4326500000
274,525.87,198.47,314.22,686.75,838.79,2.74e+08,4.326e+09
274.5,543.87,203.49,332.05,722.2,883.14,274500000,4325500000
275,555.97,211.13,341.56,759.48,915.25,2.75e+08,4.325e+09
275.5,551.32,221.71,358.23,787.12,941.32,275500000,4324500000
276,560.26,232.19,370.81,806.37,969.52,2.76e+08,4.324e+09
276.5,571.31,254,389.61,821.43,973,276500000,4323500000
277,583.06,271.05,411.82,819.18,1003.47,2.77e+08,4.323e+09
277.5,591.36,300.66,423.21,830.02,1024.57,277500000,4322500000
278,611.66,315.56,429.56,846.49,1036.87,2.78e+08,4.322e+09
278.5,636.82,321.66,440.55,865.11,1044.37,278500000,4321500000
279,665.83,332.48,457.88,879.35,1056.86,2.79e+08,4.321e+09
279.5,681.58,339.72,465.98,879.71,1070.69,279500000,4320500000
280,690.31,350.57,480.62,879.25,1071.88,2.8e+08,4.32e+09
280.5,675.83,360.75,482.31,868.6,1058.34,280500000,4319500000
281,651.44,360.57,484.84,862.54,1056.9,2.81e+08,4.319e+09
281.5,633.54,338.52,477.91,867.83,1049.02,281500000,4318500000
282,625.92,335.37,471.96,870.89,1063.02,2.82e+08,4.318e+09
282.5,616.27,344.52,477.84,868.86,1055.2,282500000,4317500000
283,610.6,349.5,476.27,861.65,1075.03,2.83e+08,4.317e+09
283.5,612.56,356.97,481.39,855.05,1067.41,283500000,4316500000
284,610.79,360.12,480.87,847.61,1090.7,2.84e+08,4.316e+09
284.5,591.4,345.51,474.98,842.55,1086.13,284500000,4315500000
285,596.6,327.11,467.83,846.69,1071.97,2.85e+08,4.315e+09
285.5,639.35,315.66,461.67,837.43,1082.17,285500000,4314500000
286,642.91,319.24,457.42,835.82,1080.62,2.86e+08,4.314e+09
286.5,638.81,325.55,452.39,829.81,1056.9,286500000,4313500000
287,616.91,346.34,446.77,817.51,1028.5,2.87e+08,4.313e+09
287.5,565.92,328.07,446.46,819.21,1009.25,287500000,4312500000
288,562.52,323.7,433.48,814.34,1000.26,2.88e+08,4.312e+09
288.5,562.75,304.14,421.6,804.84,1002.45,288500000,4311500000
289,555.52,296.37,410.1,798.59,981.19,2.89e+08,4.311e+09
289.5,547.9,287.45,401.64,787,967.83,289500000,4310500000
290,545.09,281.6,393.41,769.79,962.97,2.9e+08,4.31e+09
290.5,563.61,279.15,380.11,751.53,962.41,290500000,4309500000
291,549.54,251.75,370.28,745.29,976.1,2.91e+08,4.309e+09
291.5,527.59,225.98,357.38,739.8,968.89,291500000,4308500000
292,518.39,206.79,337.61,736.96,963.98,2.92e+08,4.308e+09
292.5,499.24,194.53,324.67,725.87,970.74,292500000,4307500000
293,479.8,195.62,317.5,713.1,947.94,2.93e+08,4.307e+09
293.5,491.52,175.23,309.74,702.19,940.03,293500000,4306500000
294,436.08,165.24,300.54,687.29,940.08,2.94e+08,4.306e+09
294.5,414.43,143.57,286.54,675.15,917.39,294500000,4305500000
295,404.65,119.1,277.63,668.84,926.48,2.95e+08,4.305e+09
295.5,396.44,107.46,270.7,660.81,943.36,295500000,4304500000
296,399.84,107.34,268.01,658.77,948.69,2.96e+08,4.304e+09
296.5,443.74,120.16,264.86,643.98,953.46,296500000,4303500000
297,444.7,127.86,265.5,629.91,957.04,2.97e+08,4.303e+09
297.5,454.52,125.56,256.51,625.73,963.64,297500000,4302500000
298,458.31,108.15,255.31,629.34,960.94,2.98e+08,4.302e+09
298.5,453.17,95.81,254.77,631.01,957.68,298500000,4301500000
299,451.66,93.64,254.31,637.38,930.87,2.99e+08,4.301e+09
299.5,386.74,100.18,256.37,637.75,897.51,299500000,4300500000
300,408.82,110.65,266.72,636.95,862.19,3e+08,4.3e+09
300.5,380.44,119.96,267.68,635.48,854.2,300500000,4299500000
301,383.28,133.3,265.63,648.8,847.43,3.01e+08,4.299e+09
301.5,399.46,138.41,263.63,655,845.56,301500000,4298500000
302,415.97,134.72,263.46,650.1,825.68,3.02e+08,4.298e+09
302.5,407.48,128.37,258.82,641.02,808.26,302500000,4297500000
303,400.31,138.06,262.98,635.12,806.72,3.03e+08,4.297e+09
303.5,388.03,138.34,261.76,625.91,812.35,303500000,4296500000
304,370.49,127.48,259.22,632.01,841.27,3.04e+08,4.296e+09
304.5,356.03,115.88,251.65,639.4,833.31,304500000,4295500000
305,352.46,96.16,246.15,646.64,844.53,3.05e+08,4.295e+09
305.5,359.45,99.27,236.4,638.47,839.93,305500000,4294500000
306,365,89.22,234.37,630.98,820.36,3.06e+08,4.294e+09
306.5,374.69,98.93,235.37,614.11,811.15,306500000,4293500000
307,377.01,105.13,229.9,595.02,794.08,3.07e+08,4.293e+09
307.5,360.06,102.52,223.45,582.29,785.85,307500000,4292500000
308,342.73,109.07,217.96,572.63,770.04,3.08e+08,4.292e+09
308.5,333.01,108.96,213.85,565.25,750.55,308500000,4291500000
309,335.51,119.89,216.57,546.29,715.86,3.09e+08,4.291e+09
309.5,356.02,129.7,223.57,520.41,681.01,309500000,4290500000
310,351.73,138.84,230.97,499.04,636.69,3.1e+08,4.29e+09
310.5,349.07,151.58,238.11,474.83,595.87,310500000,4289500000
311,338.07,164.11,239.88,460.58,566.37,3.11e+08,4.289e+09
311.5,338.39,165.17,240.67,450.26,553.95,311500000,4288500000
312,341.09,177.38,239.78,440.38,545.45,3.12e+08,4.288e+09
312.5,336.22,184.25,244.63,426.87,527.14,312500000,4287500000
313,329.22,201.63,249.86,418.57,500.08,3.13e+08,4.287e+09
313.5,320.64,201.91,256.43,409.47,471.88,313500000,4286500000
314,319.46,202.31,258.75,404.99,461.33,3.14e+08,4.286e+09
314.5,326.8,201.55,259.93,399.89,457.45,314500000,4285500000
315,328.59,199.23,260.78,398.86,458.45,3.15e+08,4.285e+09
315.5,329.94,195.88,262.7,400.24,456.27,315500000,4284500000
316,335.45,189.26,261.92,404.49,468.71,3.16e+08,4.284e+09
316.5,335.98,186,261.6,409.22,484.3,316500000,4283500000
317,355.25,175.06,256.61,419.1,496.88,3.17e+08,4.283e+09
317.5,351.25,166.28,250.55,429.58,518.1,317500000,4282500000
318,341.63,151.22,243.6,441.23,537.68,3.18e+08,4.282e+09
318.5,330.39,145.65,238.01,445,546.03,318500000,4281500000
319,325.74,133.43,236.45,450.69,554.16,3.19e+08,4.281e+09
319.5,332.5,132.15,232.51,455.08,567.06,319500000,4280500000
320,336.78,115.4,233.65,465.56,587.15,3.2e+08,4.28e+09
320.5,337.86,102.45,227.41,473.62,605.34,320500000,4279500000
321,340.63,96.92,221.91,479.38,614.3,3.21e+08,4.279e+09
321.5,337.34,94.58,217.68,482.51,618.07,321500000,4278500000
322,331.15,100.4,215.91,483.3,620.91,3.22e+08,4.278e+09
322.5,324.96,101.25,211.35,484.47,611.67,322500000,4277500000
323,333.29,106.57,209.47,481.81,592.38,3.23e+08,4.277e+09
323.5,360.13,102.92,208.3,474.64,584.91,323500000,4276500000
324,355.61,96.94,206.43,468.54,575.6,3.24e+08,4.276e+09
324.5,343.08,92.38,199.48,456.9,581.48,324500000,4275500000
325,339.44,85.83,196.98,453.59,583.78,3.25e+08,4.275e+09
325.5,347.44,82.09,193.57,446.29,569.51,325500000,4274500000
326,352.07,84.62,189.83,439.71,563.62,3.26e+08,4.274e+09
326.5,347.33,83.11,182.4,433.03,558.12,326500000,4273500000
327,316.52,75.96,174.13,432.02,549.14,3.27e+08,4.273e+09
327.5,306.49,67.83,170.05,432.8,556.08,327500000,4272500000
328,303.27,54.81,157.26,435.08,558.76,3.28e+08,4.272e+09
328.5,298.4,45.86,151.06,430.55,567.44,328500000,4271500000
329,291.55,38.92,146.6,428.96,570.76,3.29e+08,4.271e+09
329.5,275.45,26.5,143.12,428.64,573.8,329500000,4270500000
330,260.02,16.38,131.04,428.42,572.89,3.3e+08,4.27e+09
330.5,296.54,0.96,123,426.3,577.83,330500000,4269500000
331,296.25,-19.09,114.9,430.21,592.57,3.31e+08,4.269e+09
331.5,301.06,-20.31,112.27,431.72,600.61,331500000,4268500000
332,300.26,-24.02,107.13,432.44,601.25,3.32e+08,4.268e+09
332.5,283.85,-17.68,103.83,437.43,599.66,332500000,4267500000
333,262.84,-16.49,100.93,435.49,593.16,3.33e+08,4.267e+09
333.5,223.42,-22.11,97.36,433.04,593.23,333500000,4266500000
334,216.78,-21.35,95.73,435.31,610.45,3.34e+08,4.266e+09
334.5,218.06,-18.53,93.32,438.78,619.01,334500000,4265500000
335,219.25,-13.42,93.96,443.21,645.79,3.35e+08,4.265e+09
335.5,256.43,-6.62,96.37,452.95,670.7,335500000,4264500000
336,268.43,3.26,96.3,458.95,683.78,3.36e+08,4.264e+09
336.5,242.82,-1.7,95.66,467.79,707.52,336500000,4263500000
337,231.43,-7.31,100.26,481.83,737.11,3.37e+08,4.263e+09
337.5,235.61,-3.72,105.09,503.4,778.45,337500000,4262500000
338,226.56,-3.12,109.84,533.33,818.26,3.38e+08,4.262e+09
338.5,225.06,-0.91,118.08,555.59,852.09,338500000,4261500000
339,238.15,5.62,123.69,578.4,893.02,3.39e+08,4.261e+09
339.5,274.07,26.8,134.78,616.69,943.46,339500000,4260500000
340,299.46,27.14,150.14,638.07,981.17,3.4e+08,4.26e+09
340.5,318.48,20.48,164.07,672.27,1003.65,340500000,4259500000
341,321.74,20.33,188,696.63,1050.81,3.41e+08,4.259e+09
341.5,297.31,25.73,202.76,713.8,1080.75,341500000,4258500000
342,331.21,37.37,219.7,735.16,1081.17,3.42e+08,4.258e+09
342.5,425.02,24.82,225.56,758.24,1093.35,342500000,4257500000
343,489.35,14.66,240.49,803.6,1095.39,3.43e+08,4.257e+09
343.5,548.45,8.44,250.86,843.74,1129.03,343500000,4256500000
344,564.74,-7.7,256.27,873.22,1155.99,3.44e+08,4.256e+09
344.5,551.14,-9.33,260.04,905.34,1177.48,344500000,4255500000
345,522.39,-24.63,265.36,935.82,1228.67,3.45e+08,4.255e+09
345.5,514.32,-40.49,268.29,964.27,1266.61,345500000,4254500000
346,510.03,-56.81,267.99,995.52,1306.69,3.46e+08,4.254e+09
346.5,518.31,-81.38,271.72,1011.11,1383.57,346500000,4253500000
347,542.51,-102.57,267.85,1052.22,1468.08,3.47e+08,4.253e+09
347.5,563.37,-123.84,274.83,1062.35,1542.4,347500000,4252500000
348,585.47,-118.11,268.44,1091.4,1581.27,3.48e+08,4.252e+09
348.5,620.29,-118.63,269.26,1117.98,1606.04,348500000,4251500000
349,644.64,-129.08,270.28,1124.4,1627.2,3.49e+08,4.251e+09
349.5,648.88,-112.42,270.48,1145.79,1651.1,349500000,4250500000
350,647.81,-117.04,259.17,1159.11,1673.4,3.5e+08,4.25e+09
350.5,668.68,-118.89,263.85,1181.4,1703.91,350500000,4249500000
351,681.12,-109.34,251.7,1200.19,1723.53,3.51e+08,4.249e+09
351.5,698.35,-110.72,246.49,1202.4,1777.1,351500000,4248500000
352,699.26,-127,242.52,1209.15,1763.07,3.52e+08,4.248e+09
352.5,621.12,-111.61,254.58,1214.76,1785.92,352500000,4247500000
353,579.88,-97.46,250.26,1242.9,1788.76,3.53e+08,4.247e+09
353.5,576.33,-90.83,248.58,1261.02,1820.77,353500000,4246500000
354,588.87,-89.08,252.32,1268.86,1841.95,3.54e+08,4.246e+09
354.5,593.52,-105.19,253.44,1298.59,1892.97,354500000,4245500000
355,589.04,-114.82,250.57,1314.02,1949.51,3.55e+08,4.245e+09
355.5,583.19,-117.07,234.77,1349.46,2010.18,355500000,4244500000
356,583.12,-135.74,236.98,1388.01,2098.85,3.56e+08,4.244e+09
356.5,589.88,-166.21,227.24,1425.94,2157.18,356500000,4243500000
357,585.7,-203.15,222.33,1456.76,2195.92,3.57e+08,4.243e+09
357.5,586.41,-238.53,218.47,1479.64,2217.87,357500000,4242500000
358,572.86,-248.51,226.2,1483.77,2207.31,3.58e+08,4.242e+09
358.5,575.1,-224.76,228.74,1494.53,2212.88,358500000,4241500000
359,590.22,-183.83,235.1,1515.22,2207.94,3.59e+08,4.241e+09
359.5,646.14,-182.45,251.44,1482.78,2213.08,359500000,4240500000
360,699.76,-186.91,264.04,1463.46,2189.33,3.6e+08,4.24e+09
360.5,721.04,-182.54,273.42,1463.44,2167.18,360500000,4239500000
361,704.84,-168.57,286.07,1458.31,2127.23,3.61e+08,4.239e+09
361.5,654.83,-148.09,285.14,1424.44,2100.47,361500000,4238500000
362,637.95,-113.76,316.12,1383.48,2023.43,3.62e+08,4.238e+09
362.5,627.41,-90.06,338.08,1361.73,1993.93,362500000,4237500000
363,803.6,-71.17,342.48,1324.4,1939.79,3.63e+08,4.237e+09
363.5,905.53,-26.64,362.47,1329.51,1899.5,363500000,4236500000
364,851.18,15.11,375.87,1312.12,1837.44,3.64e+08,4.236e+09
364.5,830.05,28.11,378.54,1323.76,1815.46,364500000,4235500000
365,832.07,43.32,396.89,1293.45,1782.73,3.65e+08,4.235e+09
365.5,813.17,47.97,411.66,1299.56,1753.25,365500000,4234500000
366,776.76,51.49,422.46,1306.81,1736.88,3.66e+08,4.234e+09
366.5,773.96,38.6,423.43,1306.1,1770.64,366500000,4233500000
367,800.26,46.07,418.36,1323.77,1814.74,3.67e+08,4.233e+09
367.5,809.37,61.48,415.78,1333.55,1844.57,367500000,4232500000
368,797.64,67.84,411.5,1348.82,1883.85,3.68e+08,4.232e+09
368.5,808.39,64.39,416.25,1380.17,1932.43,368500000,4231500000
369,809.75,35.15,421.73,1404.46,1998.63,3.69e+08,4.231e+09
369.5,795.75,13.04,410.38,1433.11,2032.37,369500000,4230500000
370,810.78,3.43,392.63,1459.02,2093.19,3.7e+08,4.23e+09
370.5,819.49,-44.95,387.28,1488.63,2120.37,370500000,4229500000
371,840.04,-87.74,368.52,1522.36,2120.45,3.71e+08,4.229e+09
371.5,872.29,-96.1,366.51,1553.85,2177.49,371500000,4228500000
372,935.36,-105.78,374.49,1583.85,2231.84,3.72e+08,4.228e+09
372.5,969.96,-105.33,374.49,1618.32,2259.6,372500000,4227500000
373,956.91,-85.06,379.81,1655.8,2277.75,3.73e+08,4.227e+09
373.5,948.43,-89.27,367.83,1698.51,2351.43,373500000,4226500000
374,983.06,-91.78,355.61,1706.73,2361.22,3.74e+08,4.226e+09
374.5,1021.99,-96.89,349.72,1723.06,2367.98,374500000,4225500000
375,1052.02,-142.51,350.83,1726.62,2378.6,3.75e+08,4.225e+09
375.5,1150.59,-163.13,352.08,1757.2,2385.62,375500000,4224500000
376,1253.4,-187.97,341.71,1796.04,2387.86,3.76e+08,4.224e+09
376.5,1312.13,-199.33,331.74,1823.57,2398.71,376500000,4223500000
377,1335.43,-202.21,347.06,1859.71,2439.12,3.77e+08,4.223e+09
377.5,1355.12,-189.69,361.29,1893.38,2461.87,377500000,4222500000
378,1363.35,-179.87,365.82,1922.46,2480.93,3.78e+08,4.222e+09
378.5,1306.52,-172.45,404.54,1938.82,2518.6,378500000,4221500000
