"yearsBP","annual65N","annualGlobal","globalCosWeighted","Title","Source","yearsElapsed"
657900,213.48,292.03,340.898,"","",4599342100
657800,213.59,292.02,340.894,"","",4599342200
657700,213.71,292.01,340.891,"","",4599342300
657600,213.83,292,340.887,"","",4599342400
657500,213.95,291.99,340.884,"","",4599342500
657400,214.07,291.98,340.881,"","",4599342600
657300,214.19,291.97,340.877,"","",4599342700
657200,214.31,291.96,340.874,"","",4599342800
657100,214.43,291.95,340.87,"","",4599342900
657000,214.55,291.94,340.867,"","",4599343000
656900,214.67,291.94,340.864,"","",4599343100
656800,214.79,291.92,340.859,"","",4599343200
656700,214.9,291.91,340.854,"","",4599343300
656600,215.02,291.9,340.849,"","",4599343400
656500,215.14,291.89,340.845,"","",4599343500
656400,215.26,291.88,340.84,"","",4599343600
656300,215.38,291.87,340.835,"","",4599343700
656200,215.5,291.86,340.831,"","",4599343800
656100,215.62,291.85,340.826,"","",4599343900
656000,215.74,291.84,340.821,"","",4599344000
655900,215.86,291.82,340.816,"","",4599344100
655800,215.96,291.81,340.812,"","",4599344200
655700,216.07,291.8,340.807,"","",4599344300
655600,216.18,291.78,340.803,"","",4599344400
655500,216.28,291.77,340.798,"","",4599344500
655400,216.39,291.75,340.793,"","",4599344600
655300,216.5,291.74,340.789,"","",4599344700
655200,216.61,291.72,340.784,"","",4599344800
655100,216.71,291.71,340.779,"","",4599344900
655000,216.82,291.69,340.775,"","",4599345000
654900,216.93,291.68,340.77,"","",4599345100
654800,217.02,291.66,340.767,"","",4599345200
654700,217.11,291.65,340.765,"","",4599345300
654600,217.2,291.64,340.762,"","",4599345400
654500,217.3,291.62,340.759,"","",4599345500
654400,217.39,291.61,340.756,"","",4599345600
654300,217.48,291.59,340.754,"","",4599345700
654200,217.58,291.58,340.751,"","",4599345800
654100,217.67,291.57,340.748,"","",4599345900
654000,217.76,291.55,340.745,"","",4599346000
653900,217.85,291.54,340.743,"","",4599346100
653800,217.92,291.52,340.738,"","",4599346200
653700,218,291.51,340.733,"","",4599346300
653600,218.07,291.49,340.729,"","",4599346400
653500,218.14,291.47,340.724,"","",4599346500
653400,218.21,291.46,340.719,"","",4599346600
653300,218.28,291.44,340.714,"","",4599346700
653200,218.35,291.42,340.71,"","",4599346800
653100,218.42,291.4,340.705,"","",4599346900
653000,218.49,291.39,340.7,"","",4599347000
652900,218.56,291.37,340.695,"","",4599347100
652800,218.6,291.35,340.691,"","",4599347200
652700,218.64,291.34,340.687,"","",4599347300
652600,218.68,291.32,340.683,"","",4599347400
652500,218.72,291.3,340.679,"","",4599347500
652400,218.76,291.29,340.675,"","",4599347600
652300,218.8,291.27,340.671,"","",4599347700
652200,218.84,291.25,340.667,"","",4599347800
652100,218.88,291.23,340.663,"","",4599347900
652000,218.92,291.22,340.659,"","",4599348000
651900,218.96,291.2,340.655,"","",4599348100
651800,218.97,291.18,340.652,"","",4599348200
651700,218.98,291.16,340.649,"","",4599348300
651600,218.99,291.14,340.646,"","",4599348400
651500,219,291.13,340.643,"","",4599348500
651400,219.01,291.11,340.64,"","",4599348600
651300,219.02,291.09,340.637,"","",4599348700
651200,219.03,291.07,340.634,"","",4599348800
651100,219.04,291.05,340.631,"","",4599348900
651000,219.06,291.03,340.628,"","",4599349000
650900,219.07,291.01,340.625,"","",4599349100
650800,219.06,291,340.625,"","",4599349200
650700,219.06,290.98,340.625,"","",4599349300
650600,219.05,290.97,340.624,"","",4599349400
650500,219.05,290.95,340.624,"","",4599349500
650400,219.04,290.94,340.624,"","",4599349600
650300,219.04,290.92,340.623,"","",4599349700
650200,219.04,290.91,340.623,"","",4599349800
650100,219.03,290.89,340.622,"","",4599349900
650000,219.03,290.88,340.622,"","",4599350000
649900,219.02,290.86,340.622,"","",4599350100
649800,218.99,290.84,340.618,"","",4599350200
649700,218.96,290.83,340.614,"","",4599350300
649600,218.93,290.81,340.611,"","",4599350400
649500,218.9,290.79,340.607,"","",4599350500
649400,218.87,290.77,340.604,"","",4599350600
649300,218.84,290.76,340.6,"","",4599350700
649200,218.81,290.74,340.596,"","",4599350800
649100,218.78,290.72,340.593,"","",4599350900
649000,218.75,290.7,340.589,"","",4599351000
648900,218.72,290.68,340.586,"","",4599351100
648800,218.69,290.67,340.585,"","",4599351200
648700,218.65,290.65,340.584,"","",4599351300
648600,218.61,290.64,340.583,"","",4599351400
648500,218.58,290.62,340.582,"","",4599351500
648400,218.54,290.61,340.581,"","",4599351600
648300,218.5,290.59,340.581,"","",4599351700
648200,218.47,290.58,340.58,"","",4599351800
648100,218.43,290.56,340.579,"","",4599351900
648000,218.4,290.55,340.578,"","",4599352000
647900,218.36,290.53,340.577,"","",4599352100
647800,218.31,290.52,340.576,"","",4599352200
647700,218.26,290.5,340.575,"","",4599352300
647600,218.21,290.49,340.574,"","",4599352400
647500,218.17,290.47,340.573,"","",4599352500
647400,218.12,290.46,340.572,"","",4599352600
647300,218.07,290.44,340.57,"","",4599352700
647200,218.02,290.43,340.569,"","",4599352800
647100,217.97,290.41,340.568,"","",4599352900
647000,217.92,290.4,340.567,"","",4599353000
646900,217.87,290.38,340.566,"","",4599353100
646800,217.83,290.37,340.566,"","",4599353200
646700,217.79,290.36,340.565,"","",4599353300
646600,217.74,290.35,340.565,"","",4599353400
646500,217.7,290.33,340.565,"","",4599353500
646400,217.65,290.32,340.565,"","",4599353600
646300,217.61,290.31,340.565,"","",4599353700
646200,217.56,290.3,340.565,"","",4599353800
646100,217.52,290.28,340.565,"","",4599353900
646000,217.47,290.27,340.564,"","",4599354000
645900,217.43,290.26,340.564,"","",4599354100
645800,217.37,290.24,340.563,"","",4599354200
645700,217.32,290.23,340.561,"","",4599354300
645600,217.26,290.22,340.56,"","",4599354400
645500,217.2,290.21,340.558,"","",4599354500
645400,217.15,290.2,340.557,"","",4599354600
645300,217.09,290.18,340.555,"","",4599354700
645200,217.04,290.17,340.553,"","",4599354800
645100,216.98,290.16,340.552,"","",4599354900
645000,216.92,290.15,340.55,"","",4599355000
644900,216.87,290.13,340.549,"","",4599355100
644800,216.82,290.12,340.547,"","",4599355200
644700,216.78,290.12,340.546,"","",4599355300
644600,216.74,290.11,340.544,"","",4599355400
644500,216.7,290.1,340.543,"","",4599355500
644400,216.65,290.09,340.542,"","",4599355600
644300,216.61,290.08,340.54,"","",4599355700
644200,216.57,290.07,340.539,"","",4599355800
644100,216.53,290.06,340.537,"","",4599355900
644000,216.48,290.05,340.536,"","",4599356000
643900,216.44,290.04,340.535,"","",4599356100
643800,216.39,290.04,340.537,"","",4599356200
643700,216.34,290.03,340.539,"","",4599356300
643600,216.29,290.03,340.541,"","",4599356400
643500,216.24,290.02,340.543,"","",4599356500
643400,216.19,290.01,340.545,"","",4599356600
643300,216.14,290.01,340.547,"","",4599356700
643200,216.09,290,340.549,"","",4599356800
643100,216.04,290,340.551,"","",4599356900
643000,215.99,289.99,340.553,"","",4599357000
642900,215.94,289.99,340.555,"","",4599357100
642800,215.89,289.98,340.555,"","",4599357200
642700,215.84,289.98,340.555,"","",4599357300
642600,215.79,289.98,340.555,"","",4599357400
642500,215.74,289.97,340.555,"","",4599357500
642400,215.69,289.97,340.555,"","",4599357600
642300,215.63,289.96,340.555,"","",4599357700
642200,215.58,289.96,340.555,"","",4599357800
642100,215.53,289.96,340.555,"","",4599357900
642000,215.48,289.95,340.555,"","",4599358000
641900,215.43,289.95,340.555,"","",4599358100
641800,215.37,289.95,340.558,"","",4599358200
641700,215.32,289.95,340.56,"","",4599358300
641600,215.26,289.95,340.563,"","",4599358400
641500,215.2,289.95,340.565,"","",4599358500
641400,215.14,289.95,340.568,"","",4599358600
641300,215.08,289.95,340.57,"","",4599358700
641200,215.02,289.95,340.573,"","",4599358800
641100,214.96,289.95,340.576,"","",4599358900
641000,214.91,289.95,340.578,"","",4599359000
640900,214.85,289.95,340.581,"","",4599359100
640800,214.79,289.96,340.583,"","",4599359200
640700,214.73,289.96,340.586,"","",4599359300
640600,214.67,289.97,340.589,"","",4599359400
640500,214.61,289.97,340.592,"","",4599359500
640400,214.56,289.98,340.595,"","",4599359600
640300,214.5,289.98,340.598,"","",4599359700
640200,214.44,289.99,340.6,"","",4599359800
640100,214.38,289.99,340.603,"","",4599359900
640000,214.32,290,340.606,"","",4599360000
639900,214.26,290,340.609,"","",4599360100
639800,214.2,290.01,340.61,"","",4599360200
639700,214.13,290.01,340.612,"","",4599360300
639600,214.06,290.02,340.614,"","",4599360400
639500,214,290.03,340.615,"","",4599360500
639400,213.93,290.03,340.617,"","",4599360600
639300,213.86,290.04,340.618,"","",4599360700
639200,213.8,290.05,340.62,"","",4599360800
639100,213.73,290.05,340.622,"","",4599360900
639000,213.66,290.06,340.623,"","",4599361000
638900,213.6,290.06,340.625,"","",4599361100
638800,213.53,290.07,340.628,"","",4599361200
638700,213.46,290.09,340.631,"","",4599361300
638600,213.39,290.1,340.634,"","",4599361400
638500,213.32,290.11,340.637,"","",4599361500
638400,213.25,290.12,340.64,"","",4599361600
638300,213.18,290.13,340.643,"","",4599361700
638200,213.12,290.14,340.646,"","",4599361800
638100,213.05,290.15,340.649,"","",4599361900
638000,212.98,290.16,340.652,"","",4599362000
637900,212.91,290.17,340.655,"","",4599362100
637800,212.83,290.18,340.656,"","",4599362200
637700,212.75,290.19,340.657,"","",4599362300
637600,212.67,290.2,340.658,"","",4599362400
637500,212.6,290.21,340.659,"","",4599362500
637400,212.52,290.23,340.66,"","",4599362600
637300,212.44,290.24,340.661,"","",4599362700
637200,212.36,290.25,340.662,"","",4599362800
637100,212.28,290.26,340.663,"","",4599362900
637000,212.2,290.27,340.664,"","",4599363000
636900,212.12,290.28,340.665,"","",4599363100
636800,212.06,290.3,340.669,"","",4599363200
636700,212,290.31,340.673,"","",4599363300
636600,211.94,290.33,340.678,"","",4599363400
636500,211.87,290.35,340.682,"","",4599363500
636400,211.81,290.36,340.687,"","",4599363600
636300,211.75,290.38,340.691,"","",4599363700
636200,211.69,290.4,340.695,"","",4599363800
636100,211.62,290.41,340.7,"","",4599363900
636000,211.56,290.43,340.704,"","",4599364000
635900,211.5,290.45,340.709,"","",4599364100
635800,211.43,290.46,340.71,"","",4599364200
635700,211.36,290.48,340.711,"","",4599364300
635600,211.3,290.49,340.713,"","",4599364400
635500,211.23,290.51,340.714,"","",4599364500
635400,211.16,290.53,340.716,"","",4599364600
635300,211.1,290.54,340.717,"","",4599364700
635200,211.03,290.56,340.718,"","",4599364800
635100,210.97,290.58,340.72,"","",4599364900
635000,210.9,290.59,340.721,"","",4599365000
634900,210.83,290.61,340.723,"","",4599365100
634800,210.8,290.63,340.73,"","",4599365200
634700,210.76,290.65,340.737,"","",4599365300
634600,210.73,290.68,340.744,"","",4599365400
634500,210.69,290.7,340.751,"","",4599365500
634400,210.66,290.72,340.758,"","",4599365600
634300,210.63,290.75,340.766,"","",4599365700
634200,210.59,290.77,340.773,"","",4599365800
634100,210.56,290.79,340.78,"","",4599365900
634000,210.52,290.82,340.787,"","",4599366000
633900,210.49,290.84,340.794,"","",4599366100
633800,210.48,290.86,340.798,"","",4599366200
633700,210.46,290.88,340.802,"","",4599366300
633600,210.45,290.9,340.806,"","",4599366400
633500,210.44,290.92,340.81,"","",4599366500
633400,210.43,290.94,340.814,"","",4599366600
633300,210.42,290.96,340.818,"","",4599366700
633200,210.4,290.98,340.822,"","",4599366800
633100,210.39,291,340.827,"","",4599366900
633000,210.38,291.02,340.831,"","",4599367000
632900,210.37,291.05,340.835,"","",4599367100
632800,210.4,291.07,340.841,"","",4599367200
632700,210.43,291.09,340.848,"","",4599367300
632600,210.46,291.12,340.854,"","",4599367400
632500,210.49,291.14,340.861,"","",4599367500
632400,210.52,291.17,340.867,"","",4599367600
632300,210.55,291.19,340.874,"","",4599367700
632200,210.58,291.22,340.881,"","",4599367800
632100,210.61,291.24,340.887,"","",4599367900
632000,210.64,291.27,340.894,"","",4599368000
631900,210.67,291.29,340.9,"","",4599368100
631800,210.75,291.31,340.903,"","",4599368200
631700,210.82,291.33,340.906,"","",4599368300
631600,210.89,291.36,340.909,"","",4599368400
631500,210.97,291.38,340.913,"","",4599368500
631400,211.04,291.4,340.916,"","",4599368600
631300,211.12,291.42,340.919,"","",4599368700
631200,211.19,291.44,340.922,"","",4599368800
631100,211.27,291.46,340.925,"","",4599368900
631000,211.34,291.49,340.928,"","",4599369000
630900,211.42,291.51,340.931,"","",4599369100
630800,211.54,291.53,340.938,"","",4599369200
630700,211.67,291.56,340.945,"","",4599369300
630600,211.79,291.58,340.952,"","",4599369400
630500,211.92,291.61,340.96,"","",4599369500
630400,212.04,291.64,340.967,"","",4599369600
630300,212.17,291.66,340.974,"","",4599369700
630200,212.29,291.69,340.981,"","",4599369800
630100,212.42,291.71,340.988,"","",4599369900
630000,212.54,291.74,340.995,"","",4599370000
629900,212.67,291.76,341.002,"","",4599370100
629800,212.83,291.79,341.009,"","",4599370200
629700,213,291.81,341.015,"","",4599370300
629600,213.16,291.83,341.022,"","",4599370400
629500,213.32,291.85,341.028,"","",4599370500
629400,213.49,291.88,341.034,"","",4599370600
629300,213.65,291.9,341.041,"","",4599370700
629200,213.81,291.92,341.047,"","",4599370800
629100,213.98,291.94,341.054,"","",4599370900
629000,214.14,291.97,341.06,"","",4599371000
628900,214.3,291.99,341.066,"","",4599371100
628800,214.51,292.01,341.073,"","",4599371200
628700,214.71,292.03,341.079,"","",4599371300
628600,214.91,292.06,341.086,"","",4599371400
628500,215.12,292.08,341.092,"","",4599371500
628400,215.32,292.1,341.099,"","",4599371600
628300,215.53,292.12,341.105,"","",4599371700
628200,215.73,292.14,341.112,"","",4599371800
628100,215.93,292.17,341.118,"","",4599371900
628000,216.14,292.19,341.125,"","",4599372000
627900,216.34,292.21,341.131,"","",4599372100
627800,216.57,292.23,341.139,"","",4599372200
627700,216.8,292.25,341.147,"","",4599372300
627600,217.03,292.28,341.155,"","",4599372400
627500,217.26,292.3,341.163,"","",4599372500
627400,217.49,292.32,341.172,"","",4599372600
627300,217.72,292.34,341.18,"","",4599372700
627200,217.95,292.36,341.188,"","",4599372800
627100,218.18,292.38,341.196,"","",4599372900
627000,218.41,292.41,341.204,"","",4599373000
626900,218.64,292.43,341.212,"","",4599373100
626800,218.89,292.45,341.218,"","",4599373200
626700,219.13,292.47,341.224,"","",4599373300
626600,219.38,292.48,341.23,"","",4599373400
626500,219.63,292.5,341.236,"","",4599373500
626400,219.87,292.52,341.242,"","",4599373600
626300,220.12,292.54,341.248,"","",4599373700
626200,220.36,292.56,341.254,"","",4599373800
626100,220.61,292.58,341.261,"","",4599373900
626000,220.86,292.6,341.267,"","",4599374000
625900,221.1,292.62,341.273,"","",4599374100
625800,221.34,292.63,341.279,"","",4599374200
625700,221.57,292.65,341.285,"","",4599374300
625600,221.81,292.66,341.292,"","",4599374400
625500,222.04,292.68,341.298,"","",4599374500
625400,222.27,292.69,341.304,"","",4599374600
625300,222.51,292.71,341.31,"","",4599374700
625200,222.74,292.73,341.317,"","",4599374800
625100,222.98,292.74,341.323,"","",4599374900
625000,223.21,292.76,341.329,"","",4599375000
624900,223.44,292.77,341.335,"","",4599375100
624800,223.66,292.79,341.343,"","",4599375200
624700,223.87,292.8,341.35,"","",4599375300
624600,224.08,292.82,341.357,"","",4599375400
624500,224.29,292.83,341.365,"","",4599375500
624400,224.5,292.85,341.372,"","",4599375600
624300,224.72,292.86,341.379,"","",4599375700
624200,224.93,292.88,341.386,"","",4599375800
624100,225.14,292.89,341.394,"","",4599375900
624000,225.35,292.91,341.401,"","",4599376000
623900,225.56,292.93,341.408,"","",4599376100
623800,225.73,292.94,341.414,"","",4599376200
623700,225.89,292.95,341.42,"","",4599376300
623600,226.05,292.96,341.425,"","",4599376400
623500,226.22,292.97,341.431,"","",4599376500
623400,226.38,292.98,341.437,"","",4599376600
623300,226.54,292.99,341.443,"","",4599376700
623200,226.71,293,341.449,"","",4599376800
623100,226.87,293.01,341.454,"","",4599376900
623000,227.03,293.02,341.46,"","",4599377000
622900,227.2,293.03,341.466,"","",4599377100
622800,227.3,293.04,341.475,"","",4599377200
622700,227.4,293.05,341.484,"","",4599377300
622600,227.51,293.06,341.493,"","",4599377400
622500,227.61,293.07,341.502,"","",4599377500
622400,227.71,293.08,341.511,"","",4599377600
622300,227.81,293.09,341.52,"","",4599377700
622200,227.92,293.1,341.529,"","",4599377800
622100,228.02,293.11,341.538,"","",4599377900
622000,228.12,293.12,341.547,"","",4599378000
621900,228.23,293.13,341.556,"","",4599378100
621800,228.25,293.13,341.562,"","",4599378200
621700,228.28,293.13,341.567,"","",4599378300
621600,228.31,293.14,341.572,"","",4599378400
621500,228.33,293.14,341.577,"","",4599378500
621400,228.36,293.15,341.582,"","",4599378600
621300,228.38,293.15,341.587,"","",4599378700
621200,228.41,293.15,341.592,"","",4599378800
621100,228.44,293.16,341.597,"","",4599378900
621000,228.46,293.16,341.602,"","",4599379000
620900,228.49,293.17,341.607,"","",4599379100
620800,228.43,293.17,341.615,"","",4599379200
620700,228.37,293.17,341.624,"","",4599379300
620600,228.31,293.17,341.632,"","",4599379400
620500,228.25,293.18,341.64,"","",4599379500
620400,228.2,293.18,341.649,"","",4599379600
620300,228.14,293.18,341.657,"","",4599379700
620200,228.08,293.19,341.666,"","",4599379800
620100,228.02,293.19,341.674,"","",4599379900
620000,227.96,293.19,341.683,"","",4599380000
619900,227.9,293.19,341.691,"","",4599380100
619800,227.76,293.19,341.697,"","",4599380200
619700,227.62,293.19,341.704,"","",4599380300
619600,227.47,293.19,341.71,"","",4599380400
619500,227.33,293.18,341.717,"","",4599380500
619400,227.19,293.18,341.723,"","",4599380600
619300,227.04,293.18,341.729,"","",4599380700
619200,226.9,293.18,341.736,"","",4599380800
619100,226.76,293.17,341.742,"","",4599380900
619000,226.61,293.17,341.749,"","",4599381000
618900,226.47,293.17,341.755,"","",4599381100
618800,226.25,293.16,341.762,"","",4599381200
618700,226.03,293.16,341.769,"","",4599381300
618600,225.81,293.15,341.776,"","",4599381400
618500,225.59,293.15,341.783,"","",4599381500
618400,225.37,293.14,341.789,"","",4599381600
618300,225.15,293.14,341.796,"","",4599381700
618200,224.93,293.13,341.803,"","",4599381800
618100,224.71,293.13,341.81,"","",4599381900
618000,224.49,293.13,341.817,"","",4599382000
617900,224.27,293.12,341.824,"","",4599382100
617800,223.99,293.11,341.831,"","",4599382200
617700,223.71,293.1,341.837,"","",4599382300
617600,223.42,293.1,341.844,"","",4599382400
617500,223.14,293.09,341.851,"","",4599382500
617400,222.86,293.08,341.857,"","",4599382600
617300,222.58,293.07,341.864,"","",4599382700
617200,222.29,293.07,341.871,"","",4599382800
617100,222.01,293.06,341.877,"","",4599382900
617000,221.73,293.05,341.884,"","",4599383000
616900,221.45,293.04,341.891,"","",4599383100
616800,221.13,293.03,341.898,"","",4599383200
616700,220.81,293.02,341.905,"","",4599383300
616600,220.49,293.01,341.913,"","",4599383400
616500,220.17,293,341.92,"","",4599383500
616400,219.85,293,341.927,"","",4599383600
616300,219.53,292.99,341.935,"","",4599383700
616200,219.21,292.98,341.942,"","",4599383800
616100,218.9,292.97,341.95,"","",4599383900
616000,218.58,292.96,341.957,"","",4599384000
615900,218.26,292.95,341.964,"","",4599384100
615800,217.92,292.94,341.972,"","",4599384200
615700,217.59,292.93,341.98,"","",4599384300
615600,217.26,292.92,341.987,"","",4599384400
615500,216.93,292.91,341.995,"","",4599384500
615400,216.59,292.9,342.003,"","",4599384600
615300,216.26,292.89,342.01,"","",4599384700
615200,215.93,292.88,342.018,"","",4599384800
615100,215.59,292.87,342.026,"","",4599384900
615000,215.26,292.86,342.034,"","",4599385000
614900,214.93,292.85,342.041,"","",4599385100
614800,214.6,292.84,342.051,"","",4599385200
614700,214.27,292.83,342.061,"","",4599385300
614600,213.95,292.82,342.071,"","",4599385400
614500,213.62,292.81,342.08,"","",4599385500
614400,213.29,292.8,342.09,"","",4599385600
614300,212.97,292.78,342.1,"","",4599385700
614200,212.64,292.77,342.11,"","",4599385800
614100,212.31,292.76,342.119,"","",4599385900
614000,211.99,292.75,342.129,"","",4599386000
613900,211.66,292.74,342.139,"","",4599386100
613800,211.38,292.73,342.144,"","",4599386200
613700,211.1,292.71,342.148,"","",4599386300
613600,210.82,292.7,342.153,"","",4599386400
613500,210.55,292.68,342.157,"","",4599386500
613400,210.27,292.67,342.162,"","",4599386600
613300,209.99,292.65,342.166,"","",4599386700
613200,209.71,292.64,342.171,"","",4599386800
613100,209.43,292.62,342.175,"","",4599386900
613000,209.15,292.61,342.18,"","",4599387000
612900,208.87,292.59,342.184,"","",4599387100
612800,208.66,292.58,342.189,"","",4599387200
612700,208.44,292.56,342.194,"","",4599387300
612600,208.22,292.55,342.199,"","",4599387400
612500,208,292.53,342.204,"","",4599387500
612400,207.78,292.51,342.209,"","",4599387600
612300,207.57,292.5,342.214,"","",4599387700
612200,207.35,292.48,342.22,"","",4599387800
612100,207.13,292.47,342.225,"","",4599387900
612000,206.91,292.45,342.23,"","",4599388000
611900,206.7,292.44,342.235,"","",4599388100
611800,206.56,292.42,342.24,"","",4599388200
611700,206.42,292.41,342.246,"","",4599388300
611600,206.28,292.39,342.251,"","",4599388400
611500,206.15,292.37,342.257,"","",4599388500
611400,206.01,292.36,342.262,"","",4599388600
611300,205.87,292.34,342.268,"","",4599388700
611200,205.73,292.33,342.274,"","",4599388800
611100,205.6,292.31,342.279,"","",4599388900
611000,205.46,292.3,342.285,"","",4599389000
610900,205.32,292.28,342.29,"","",4599389100
610800,205.29,292.27,342.297,"","",4599389200
610700,205.26,292.25,342.304,"","",4599389300
610600,205.23,292.24,342.311,"","",4599389400
610500,205.2,292.22,342.319,"","",4599389500
610400,205.17,292.21,342.326,"","",4599389600
610300,205.14,292.2,342.333,"","",4599389700
610200,205.11,292.18,342.34,"","",4599389800
610100,205.08,292.17,342.347,"","",4599389900
610000,205.05,292.15,342.354,"","",4599390000
609900,205.02,292.14,342.361,"","",4599390100
609800,205.08,292.12,342.365,"","",4599390200
609700,205.14,292.1,342.368,"","",4599390300
609600,205.2,292.09,342.372,"","",4599390400
609500,205.25,292.07,342.375,"","",4599390500
609400,205.31,292.05,342.379,"","",4599390600
609300,205.37,292.03,342.382,"","",4599390700
609200,205.43,292.02,342.386,"","",4599390800
609100,205.49,292,342.389,"","",4599390900
609000,205.55,291.98,342.393,"","",4599391000
608900,205.61,291.97,342.396,"","",4599391100
608800,205.77,291.95,342.404,"","",4599391200
608700,205.94,291.94,342.411,"","",4599391300
608600,206.11,291.93,342.418,"","",4599391400
608500,206.28,291.91,342.426,"","",4599391500
608400,206.44,291.9,342.433,"","",4599391600
608300,206.61,291.89,342.44,"","",4599391700
608200,206.78,291.88,342.447,"","",4599391800
608100,206.95,291.86,342.455,"","",4599391900
608000,207.11,291.85,342.462,"","",4599392000
607900,207.28,291.84,342.469,"","",4599392100
607800,207.52,291.82,342.473,"","",4599392200
607700,207.76,291.81,342.476,"","",4599392300
607600,208.01,291.79,342.48,"","",4599392400
607500,208.25,291.78,342.483,"","",4599392500
607400,208.49,291.77,342.486,"","",4599392600
607300,208.73,291.75,342.49,"","",4599392700
607200,208.98,291.74,342.493,"","",4599392800
607100,209.22,291.72,342.496,"","",4599392900
607000,209.46,291.71,342.5,"","",4599393000
606900,209.7,291.7,342.503,"","",4599393100
606800,210.01,291.68,342.508,"","",4599393200
606700,210.32,291.67,342.513,"","",4599393300
606600,210.63,291.66,342.518,"","",4599393400
606500,210.94,291.65,342.522,"","",4599393500
606400,211.25,291.64,342.527,"","",4599393600
606300,211.55,291.63,342.532,"","",4599393700
606200,211.86,291.62,342.537,"","",4599393800
606100,212.17,291.61,342.542,"","",4599393900
606000,212.48,291.6,342.547,"","",4599394000
605900,212.79,291.59,342.551,"","",4599394100
605800,213.13,291.58,342.557,"","",4599394200
605700,213.46,291.57,342.563,"","",4599394300
605600,213.8,291.56,342.568,"","",4599394400
605500,214.14,291.56,342.574,"","",4599394500
605400,214.47,291.55,342.579,"","",4599394600
605300,214.81,291.54,342.585,"","",4599394700
605200,215.15,291.53,342.59,"","",4599394800
605100,215.49,291.52,342.596,"","",4599394900
605000,215.82,291.52,342.602,"","",4599395000
604900,216.16,291.51,342.607,"","",4599395100
604800,216.49,291.5,342.611,"","",4599395200
604700,216.83,291.5,342.616,"","",4599395300
604600,217.16,291.49,342.62,"","",4599395400
604500,217.49,291.49,342.624,"","",4599395500
604400,217.82,291.48,342.628,"","",4599395600
604300,218.16,291.48,342.633,"","",4599395700
604200,218.49,291.47,342.637,"","",4599395800
604100,218.82,291.47,342.641,"","",4599395900
604000,219.16,291.46,342.645,"","",4599396000
603900,219.49,291.46,342.65,"","",4599396100
603800,219.79,291.45,342.652,"","",4599396200
603700,220.1,291.45,342.654,"","",4599396300
603600,220.4,291.45,342.657,"","",4599396400
603500,220.71,291.44,342.659,"","",4599396500
603400,221.01,291.44,342.661,"","",4599396600
603300,221.32,291.44,342.664,"","",4599396700
603200,221.62,291.43,342.666,"","",4599396800
603100,221.93,291.43,342.668,"","",4599396900
603000,222.23,291.43,342.671,"","",4599397000
602900,222.54,291.43,342.673,"","",4599397100
602800,222.78,291.43,342.675,"","",4599397200
602700,223.02,291.43,342.678,"","",4599397300
602600,223.27,291.43,342.68,"","",4599397400
602500,223.51,291.43,342.682,"","",4599397500
602400,223.76,291.43,342.684,"","",4599397600
602300,224,291.43,342.687,"","",4599397700
602200,224.25,291.43,342.689,"","",4599397800
602100,224.49,291.43,342.691,"","",4599397900
602000,224.73,291.43,342.693,"","",4599398000
601900,224.98,291.43,342.696,"","",4599398100
601800,225.13,291.43,342.702,"","",4599398200
601700,225.29,291.43,342.708,"","",4599398300
601600,225.45,291.44,342.714,"","",4599398400
601500,225.61,291.44,342.72,"","",4599398500
601400,225.76,291.45,342.725,"","",4599398600
601300,225.92,291.45,342.731,"","",4599398700
601200,226.08,291.46,342.737,"","",4599398800
601100,226.24,291.46,342.743,"","",4599398900
601000,226.39,291.47,342.749,"","",4599399000
600900,226.55,291.47,342.755,"","",4599399100
600800,226.61,291.48,342.757,"","",4599399200
600700,226.67,291.48,342.759,"","",4599399300
600600,226.73,291.49,342.76,"","",4599399400
600500,226.79,291.49,342.762,"","",4599399500
600400,226.84,291.5,342.764,"","",4599399600
600300,226.9,291.5,342.765,"","",4599399700
600200,226.96,291.5,342.767,"","",4599399800
600100,227.02,291.51,342.769,"","",4599399900
600000,227.08,291.51,342.77,"","",4599400000
599900,227.14,291.52,342.772,"","",4599400100
599800,227.08,291.53,342.776,"","",4599400200
599700,227.03,291.54,342.779,"","",4599400300
599600,226.97,291.55,342.783,"","",4599400400
599500,226.92,291.55,342.786,"","",4599400500
599400,226.86,291.56,342.79,"","",4599400600
599300,226.81,291.57,342.793,"","",4599400700
599200,226.76,291.58,342.797,"","",4599400800
599100,226.7,291.59,342.8,"","",4599400900
599000,226.65,291.6,342.804,"","",4599401000
598900,226.59,291.61,342.807,"","",4599401100
598800,226.44,291.61,342.806,"","",4599401200
598700,226.29,291.62,342.805,"","",4599401300
598600,226.14,291.63,342.804,"","",4599401400
598500,225.99,291.63,342.803,"","",4599401500
598400,225.85,291.64,342.802,"","",4599401600
598300,225.7,291.65,342.801,"","",4599401700
598200,225.55,291.65,342.8,"","",4599401800
598100,225.4,291.66,342.799,"","",4599401900
598000,225.25,291.66,342.798,"","",4599402000
597900,225.1,291.67,342.797,"","",4599402100
597800,224.85,291.68,342.797,"","",4599402200
597700,224.61,291.69,342.797,"","",4599402300
597600,224.36,291.7,342.796,"","",4599402400
597500,224.11,291.71,342.796,"","",4599402500
597400,223.87,291.72,342.796,"","",4599402600
597300,223.62,291.73,342.795,"","",4599402700
597200,223.38,291.75,342.795,"","",4599402800
