"years_before_present","CO2_ppm","yearsElapsed"
498,283.1,4599999502
493,283.2,4599999507
488,283.2,4599999512
483,283.2,4599999517
478,283.1,4599999522
473,283,4599999527
468,282.8,4599999532
463,282.6,4599999537
458,282.2,4599999542
453,281.8,4599999547
448,281.2,4599999552
443,280.5,4599999557
438,279.7,4599999562
433,278.8,4599999567
428,278,4599999572
423,277.1,4599999577
418,276.4,4599999582
413,275.8,4599999587
408,275.5,4599999592
403,275.3,4599999597
398,275.3,4599999602
393,275.4,4599999607
388,275.6,4599999612
383,275.9,4599999617
378,276.1,4599999622
373,276.3,4599999627
368,276.4,4599999632
363,276.5,4599999637
358,276.5,4599999642
353,276.5,4599999647
348,276.4,4599999652
343,276.4,4599999657
338,276.4,4599999662
333,276.4,4599999667
328,276.5,4599999672
323,276.6,4599999677
318,276.7,4599999682
313,276.8,4599999687
308,276.9,4599999692
303,277,4599999697
298,277,4599999702
293,277,4599999707
288,277,4599999712
283,276.9,4599999717
278,276.9,4599999722
273,276.9,4599999727
268,277,4599999732
263,277.2,4599999737
258,277.6,4599999742
253,278,4599999747
248,278.6,4599999752
243,279.3,4599999757
238,280.1,4599999762
233,280.8,4599999767
228,281.6,4599999772
223,282.3,4599999777
218,282.9,4599999782
213,283.4,4599999787
208,283.8,4599999792
203,284,4599999797
198,284.2,4599999802
193,284.3,4599999807
188,284.4,4599999812
186,284.3,4599999814
185,284.1,4599999815
184,284,4599999816
183,283.8,4599999817
182,283.7,4599999818
181,283.5,4599999819
180,283.4,4599999820
179,283.4,4599999821
178,283.4,4599999822
177,283.4,4599999823
176,283.5,4599999824
175,283.6,4599999825
174,283.7,4599999826
173,283.9,4599999827
172,284.1,4599999828
171,284.2,4599999829
170,284.4,4599999830
169,284.6,4599999831
168,284.7,4599999832
167,284.9,4599999833
166,285,4599999834
165,285.1,4599999835
164,285.3,4599999836
163,285.4,4599999837
162,285.6,4599999838
161,285.7,4599999839
160,285.9,4599999840
159,286.1,4599999841
158,286.2,4599999842
157,286.4,4599999843
156,286.5,4599999844
155,286.6,4599999845
154,286.8,4599999846
153,286.9,4599999847
152,287,4599999848
151,287.1,4599999849
150,287.2,4599999850
149,287.4,4599999851
148,287.5,4599999852
147,287.7,4599999853
146,287.9,4599999854
145,288.1,4599999855
144,288.4,4599999856
143,288.7,4599999857
142,289,4599999858
141,289.4,4599999859
140,289.8,4599999860
139,290.2,4599999861
138,290.7,4599999862
137,291.2,4599999863
136,291.7,4599999864
135,292.1,4599999865
134,292.6,4599999866
133,293,4599999867
132,293.3,4599999868
131,293.6,4599999869
130,293.8,4599999870
129,294,4599999871
128,294.2,4599999872
127,294.3,4599999873
126,294.5,4599999874
125,294.6,4599999875
124,294.7,4599999876
123,294.8,4599999877
122,294.9,4599999878
121,295,4599999879
120,295.2,4599999880
119,295.5,4599999881
118,295.8,4599999882
117,296.1,4599999883
116,296.5,4599999884
115,296.8,4599999885
114,297.2,4599999886
113,297.6,4599999887
112,298.1,4599999888
111,298.5,4599999889
110,298.9,4599999890
109,299.3,4599999891
108,299.7,4599999892
107,300.1,4599999893
106,300.4,4599999894
105,300.8,4599999895
104,301.1,4599999896
103,301.4,4599999897
102,301.7,4599999898
101,302.1,4599999899
100,302.4,4599999900
99,302.7,4599999901
98,303,4599999902
97,303.4,4599999903
96,303.8,4599999904
95,304.1,4599999905
94,304.5,4599999906
93,305,4599999907
92,305.4,4599999908
91,305.8,4599999909
90,306.3,4599999910
89,306.8,4599999911
88,307.2,4599999912
87,307.7,4599999913
86,308.2,4599999914
85,308.6,4599999915
84,309,4599999916
83,309.4,4599999917
82,309.8,4599999918
81,310,4599999919
80,310.2,4599999920
79,310.3,4599999921
78,310.4,4599999922
77,310.4,4599999923
76,310.3,4599999924
75,310.2,4599999925
74,310.1,4599999926
73,310.1,4599999927
72,310.1,4599999928
71,310.2,4599999929
70,310.3,4599999930
69,310.5,4599999931
68,310.7,4599999932
67,311.1,4599999933
66,311.5,4599999934
65,311.9,4599999935
64,312.4,4599999936
63,313,4599999937
62,313.6,4599999938
61,314.2,4599999939
60,314.9,4599999940
59,315.97,4599999941
58,316.91,4599999942
57,317.64,4599999943
56,318.45,4599999944
55,318.99,4599999945
54,319.62,4599999946
53,320.04,4599999947
52,321.38,4599999948
51,322.16,4599999949
50,323.04,4599999950
49,324.62,4599999951
48,325.68,4599999952
47,326.32,4599999953
46,327.45,4599999954
45,329.68,4599999955
44,330.18,4599999956
43,331.11,4599999957
42,332.04,4599999958
41,333.83,4599999959
40,335.4,4599999960
39,336.84,4599999961
38,338.75,4599999962
37,340.11,4599999963
36,341.45,4599999964
35,343.05,4599999965
34,344.65,4599999966
33,346.12,4599999967
32,347.42,4599999968
31,349.19,4599999969
30,351.57,4599999970
29,353.12,4599999971
28,354.39,4599999972
27,355.61,4599999973
26,356.45,4599999974
25,357.1,4599999975
24,358.83,4599999976
23,360.82,4599999977
22,362.61,4599999978
21,363.73,4599999979
20,366.7,4599999980
19,368.38,4599999981
18,369.55,4599999982
17,371.14,4599999983
16,373.28,4599999984
15,375.8,4599999985
14,377.52,4599999986
13,379.8,4599999987
12,381.9,4599999988
11,383.79,4599999989
10,385.6,4599999990
9,387.43,4599999991
8,389.9,4599999992
7,391.65,4599999993
6,393.85,4599999994
5,396.52,4599999995
4,398.65,4599999996
3,400.83,4599999997
2,404.21,4599999998
1,406.53,4599999999
3.17098e-08,415.79,4.6e+09
