"years_before_present","CO2_ppm","yearsElapsed"
632924,195.6,4599367076
632069,199.5,4599367931
630363,199.9,4599369637
629514,198.7,4599370486
628067,205,4599371933
627279,214.9,4599372721
626283,227.8,4599373717
625638,234.3,4599374362
624758,237.3,4599375242
623282,238.6,4599376718
621828,243,4599378172
620406,245.4,4599379594
619023,247.9,4599380977
617612,252.3,4599382388
616295,252.4,4599383705
614991,252.5,4599385009
613777,256,4599386223
612582,258,4599387418
611387,259.6,4599388613
610204,257.7,4599389796
608997,259.2,4599391003
607776,254.6,4599392224
606442,248.5,4599393558
605144,244.5,4599394856
603741,239.1,4599396259
602346,237.9,4599397654
600950,232.5,4599399050
599502,229.4,4599400498
598901,226,4599401099
598034,219,4599401966
597511,216.3,4599402489
596583,216.4,4599403417
596018,221.2,4599403982
595257,232.9,4599404743
594707,238,4599405293
593938,238.1,4599406062
593483,233.2,4599406517
592765,229.4,4599407235
592347,225.7,4599407653
590961,237.4,4599409039
590403,243.6,4599409597
589936,248.1,4599410064
589292,250.2,4599410708
588784,246.3,4599411216
588102,238.8,4599411898
587715,234.4,4599412285
586961,226,4599413039
586474,224,4599413526
583481,210.6,4599416519
583102,206.7,4599416898
582459,209.9,4599417541
582068,215.4,4599417932
581575,219.4,4599418425
581228,225.2,4599418772
580763,230.3,4599419237
580468,236.2,4599419532
580087,243.8,4599419913
579889,244.1,4599420111
579503,251.5,4599420497
578925,252.9,4599421075
578373,249.1,4599421627
577837,251.1,4599422163
577310,251.3,4599422690
576791,251.3,4599423209
576290,252.9,4599423710
575798,252.5,4599424202
575333,248.9,4599424667
574871,252.1,4599425129
574421,251.9,4599425579
573970,251.8,4599426030
573530,248.7,4599426470
573105,249.2,4599426895
572687,247.7,4599427313
572258,246.3,4599427742
571843,250.3,4599428157
571435,251.6,4599428565
571023,249.6,4599428977
570616,251.8,4599429384
570207,251.8,4599429793
569796,251.3,4599430204
569399,250,4599430601
569014,251.3,4599430986
568624,250.2,4599431376
568235,253,4599431765
567845,252.8,4599432155
567449,253.9,4599432551
567075,253.2,4599432925
566687,254.5,4599433313
566301,253.9,4599433699
565919,254.3,4599434081
565534,253.7,4599434466
565145,251.4,4599434855
564767,252.6,4599435233
564379,252.4,4599435621
563986,251.4,4599436014
563585,247.6,4599436415
563183,245.8,4599436817
562758,245.7,4599437242
562340,242.3,4599437660
561914,240.1,4599438086
561377,234.1,4599438623
560998,234.6,4599439002
560527,231.9,4599439473
560040,231.6,4599439960
559529,228.3,4599440471
558997,230.3,4599441003
558461,230.2,4599441539
558251,229.7,4599441749
557955,234.5,4599442045
557453,238.1,4599442547
556957,240.4,4599443043
556792,245.6,4599443208
556432,250.5,4599443568
556211,244,4599443789
555907,249.1,4599444093
555705,243,4599444295
555413,241,4599444587
554899,233.9,4599445101
554322,226.7,4599445678
553694,224.3,4599446306
553029,223.6,4599446971
552318,220.3,4599447682
552047,222.1,4599447953
551520,226.3,4599448480
551192,222.3,4599448808
550705,221.7,4599449295
549898,219.9,4599450102
549001,215.2,4599450999
548040,213.6,4599451960
547641,208.8,4599452359
547081,202.5,4599452919
546024,204.6,4599453976
544872,209.7,4599455128
543744,209.6,4599456256
542570,210.3,4599457430
541413,208.1,4599458587
540222,203.6,4599459778
539027,205,4599460973
537838,211.2,4599462162
536690,212.9,4599463310
535551,206.4,4599464449
534432,205,4599465568
533314,199.4,4599466686
532187,199.8,4599467813
531730,190.5,4599468270
531103,193.8,4599468897
530753,195.1,4599469247
530084,200,4599469916
529708,204.4,4599470292
529169,211.4,4599470831
528815,214.5,4599471185
528330,220.7,4599471670
527522,220.3,4599472478
526729,221.2,4599473271
525976,222.7,4599474024
525232,224.7,4599474768
524477,227.8,4599475523
523734,230.3,4599476266
522991,233.7,4599477009
522284,235.8,4599477716
521620,236.8,4599478380
520960,241.9,4599479040
519033,243.5,4599480967
518402,245.5,4599481598
517774,247.7,4599482226
517137,245.3,4599482863
516485,245.5,4599483515
515839,246.2,4599484161
515181,247.2,4599484819
514497,243,4599485503
513792,241.5,4599486208
513065,239.2,4599486935
512337,238.2,4599487663
511583,242,4599488417
510833,235.2,4599489167
510076,236.4,4599489924
509315,233.4,4599490685
508544,240.3,4599491456
507782,237,4599492218
507079,238.2,4599492921
506355,236,4599493645
505584,235.5,4599494416
504845,233.9,4599495155
504151,234.1,4599495849
503443,232.2,4599496557
502693,232,4599497307
501934,231.2,4599498066
501198,230.8,4599498802
500431,228.2,4599499569
499678,230.8,4599500322
498933,230.6,4599501067
498172,232.8,4599501828
497434,236.5,4599502566
496676,236.4,4599503324
495921,237.6,4599504079
495153,238.5,4599504847
494379,238.3,4599505621
493575,239.1,4599506425
492806,239.7,4599507194
492027,243.7,4599507973
491259,246.7,4599508741
490513,243.3,4599509487
489790,242.6,4599510210
489543,249.3,4599510457
489064,252.8,4599510936
488757,240.9,4599511243
488336,242,4599511664
