"X","monarchTitle","eventDescription","reignStartYear","reignStartMonth","reignStartDay","reignEndYear","reignEndMonth","reignEndDay","country","house","birthYear","birthMonth","birthDay","deathYear","deathMonth","deathDay","reference","era","houseColours","start_ymd","end_ymd","startElapsedYears","endElapsedYears"
26,"Richard I","Richard the Lionheart",1189,9,3,1199,4,6,"England","Anjou",1157,9,8,1199,4,6,"https://en.wikipedia.org/wiki/Richard_I_of_England","CE","hotpink",1189.67123287671,1199.2602739726,4599999169.67123,4599999179.26027
27,"John","John Lackland",1199,5,27,1216,10,19,"England","Anjou",1166,12,24,1216,10,19,"https://en.wikipedia.org/wiki/John,_King_of_England","CE","hotpink",1199.4,1216.79781420765,4599999179.4,4599999196.79781
28,"Henry III","Henry of Winchester",1216,10,28,1272,11,16,"England","Plantagenet",1207,10,1,1272,11,16,"https://en.wikipedia.org/wiki/Henry_III_of_England","CE","yellow",1216.82240437158,1272.87431693989,4599999196.8224,4599999252.87432
29,"Edward I","Edward Longshanks",1272,11,20,1307,7,7,"England","Plantagenet",1239,6,17,1307,7,7,"https://en.wikipedia.org/wiki/Edward_I_of_England","CE","yellow",1272.88524590164,1307.51232876712,4599999252.88525,4599999287.51233
30,"Edward II","Edward of Caernarfon",1307,7,8,1327,1,20,"England","Plantagenet",1284,4,25,1327,9,21,"https://en.wikipedia.org/wiki/Edward_II_of_England","CE","yellow",1307.51506849315,1327.05205479452,4599999287.51507,4599999307.05205
31,"Edward III","",1327,1,25,1377,6,21,"England","Plantagenet",1312,11,13,1377,6,21,"https://en.wikipedia.org/wiki/Edward_III_of_England","CE","yellow",1327.06575342466,1377.46849315068,4599999307.06575,4599999357.46849
32,"Richard II","",1377,6,22,1399,8,29,"England","Plantagenet",1367,1,6,1400,2,4,"https://en.wikipedia.org/wiki/Richard_II_of_England","CE","yellow",1377.47123287671,1399.65753424658,4599999357.47123,4599999379.65753
33,"Henry IV","Henry of Bolingbroke",1399,9,30,1413,3,20,"England","Lancaster",1367,4,15,1413,3,20,"https://en.wikipedia.org/wiki/Henry_IV_of_England","CE","orange",1399.74520547945,1413.21369863014,4599999379.74521,4599999393.2137
34,"Henry V","",1413,3,21,1422,8,31,"England","Lancaster",1386,9,16,1422,8,31,"https://en.wikipedia.org/wiki/Henry_V_of_England","CE","orange",1413.21643835616,1422.66301369863,4599999393.21644,4599999402.66301
35,"Henry VI","1st reign",1422,8,1,1461,3,4,"England","Lancaster",1421,12,6,1471,5,21,"https://en.wikipedia.org/wiki/Henry_VI_of_England","CE","orange",1422.58082191781,1461.1698630137,4599999402.58082,4599999441.16986
36,"Edward IV","1st reign",1461,3,4,1470,10,3,"England","York",1442,4,28,1483,4,9,"https://en.wikipedia.org/wiki/Edward_IV_of_England","CE","brown",1461.1698630137,1470.75342465753,4599999441.16986,4599999450.75342
37,"Henry VI","2nd reign",1470,10,3,1471,4,11,"England","Lancaster",1421,12,6,1471,5,21,"https://en.wikipedia.org/wiki/Henry_VI_of_England","CE","orange",1470.75342465753,1471.27397260274,4599999450.75342,4599999451.27397
38,"Edward IV","2nd reign",1471,4,11,1483,4,9,"England","York",1442,4,28,1483,4,9,"https://en.wikipedia.org/wiki/Edward_IV_of_England","CE","brown",1471.27397260274,1483.26849315068,4599999451.27397,4599999463.26849
39,"Edward V","Never crowned.",1483,4,9,1483,6,25,"England","York",1470,11,2,1483,NA,NA,"https://en.wikipedia.org/wiki/Edward_V_of_England","CE","brown",1483.26849315068,1483.47945205479,4599999463.26849,4599999463.47945
40,"Richard III","",1483,6,26,1485,8,22,"England","York",1452,10,2,1485,8,22,"https://en.wikipedia.org/wiki/Richard_III_of_England","CE","brown",1483.48219178082,1485.63835616438,4599999463.48219,4599999465.63836
