Structure.Name,Age_Ma,Original_column,Diameter_km,Location,Reference,yearsElapsed
Amguid,0.1,> 0.1,0.45,Algeria,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599900000
Rio Cuarto,0.1,< 0.1,4.5,Argentina,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599900000
Tswaing (formerly Pretoria Saltpan),0.22,0.220 ± 0.052,1.13,South Africa,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599780000
Kalkkop,0.25,0.250 ± 0.050,0.64,South Africa,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599750000
Dalgaranga,0.27,~ 0.27,0.024,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599730000
Wolfe Creek,0.3,< 0.3,0.875,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599700000
Zhamanshin,0.9,0.9 ± 0.1,14,Kazakhstan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4599100000
Monturaqui,1,< 1,0.46,Chile,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Veevers,1,< 1,0.08,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Bosumtwi,1.07,1.07,10.5,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4598930000
New Quebec,1.4,1.4 ± 0.1,3.44,"North Dakota, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4598600000
Aouelloul,3,3.0 ± 0.3,0.39,Mauritania,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Talemzane,3,< 3,1.75,Algeria,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
El'gygytgyn,3.5,3.5 ± 0.5,18,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4596500000
Roter Kamm,3.7,3.7 ± 0.3,2.5,Namibia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4596300000
Bigach,5,5 ± 3,8,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Colônia,5,">5, <36",3.6,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Kara-Kul,5,< 5,52,Tajikistan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Karla,5,5 ± 1,10,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.60E+09
Steinheim,15,15 ± 1,3.8,Germany,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.59E+09
Ries,15.1,15.1 ± 0.1,24,Germany,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4584900000
Crawford,35,> 35,8.5,South Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.57E+09
Flaxman,35,> 35,10,South Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.57E+09
Chesapeake Bay,35.3,35.3 ± 0.1,40,"Virginia, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4564700000
Popigai,35.7,35.7 ± 0.2,90,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4564300000
Mistastin,36.4,36.4 ± 4,28,"Newfoundland/Labrador, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4563600000
Wanapitei,37.2,37.2 ± 1.2,7.5,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4562800000
Haughton,39,39,23,"Nunavut, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.56E+09
Beyenchime-Salaatin,40,40 ± 20,8,Kazakhstan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.56E+09
Logancha,40,40 ± 20,20,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.56E+09
Logoisk,42.3,42.3 ± 1.1,15,Belarus,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4557700000
Shunak,45,45 ± 10,2.8,Kazakhstan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.56E+09
