The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Estimated monthly sunspot nmubers.,,
Reference,"Hoyt, D. V., and K. H. Schatten, 1997. Group Sunspot Numbers: A New Solar Activity Reconstruction. Solar Physics, (submitted).",,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsunspotnumber.html,,
Missing,-99,,
Yeay,Month,Date,Sun spot number
1627,3,1627.208333,22.9
1627,4,1627.291667,
1627,5,1627.375,12.9
1627,6,1627.458333,12.2
1627,7,1627.541667,19.1
1627,8,1627.625,10
1627,9,1627.708333,
1627,10,1627.791667,
1627,11,1627.875,
1627,12,1627.958333,
1628,1,1628.041667,33
1628,2,1628.125,15
1628,3,1628.208333,30
1628,4,1628.291667,
1628,5,1628.375,
1628,6,1628.458333,30
1628,7,1628.541667,
1628,8,1628.625,17.5
1628,9,1628.708333,15
1628,10,1628.791667,15
1628,11,1628.875,30
1628,12,1628.958333,
1629,1,1629.041667,
1629,2,1629.125,30
1629,3,1629.208333,25.9
1629,4,1629.291667,
1629,5,1629.375,15
1629,6,1629.458333,15
1629,7,1629.541667,15
1629,8,1629.625,15
1629,9,1629.708333,15
1629,10,1629.791667,
1629,11,1629.875,
1629,12,1629.958333,
1630,1,1630.041667,
1630,2,1630.125,
1630,3,1630.208333,
1630,4,1630.291667,
1630,5,1630.375,
1630,6,1630.458333,
1630,7,1630.541667,
1630,8,1630.625,
1630,9,1630.708333,0
1630,10,1630.791667,
1630,11,1630.875,
1630,12,1630.958333,0
1631,1,1631.041667,
1631,2,1631.125,0
1631,3,1631.208333,0
1631,4,1631.291667,0
1631,5,1631.375,0
1631,6,1631.458333,8.6
1631,7,1631.541667,
1631,8,1631.625,
1631,9,1631.708333,
1631,10,1631.791667,
1631,11,1631.875,7.5
1631,12,1631.958333,15
1632,1,1632.041667,0
1632,2,1632.125,0
1632,3,1632.208333,0
1632,4,1632.291667,0
1632,5,1632.375,0
1632,6,1632.458333,0
1632,7,1632.541667,0
1632,8,1632.625,0
1632,9,1632.708333,0
1632,10,1632.791667,0
1632,11,1632.875,0
1632,12,1632.958333,0
1633,1,1633.041667,0
1633,2,1633.125,0
1633,3,1633.208333,0
1633,4,1633.291667,25.4
1633,5,1633.375,30
1633,6,1633.458333,
1633,7,1633.541667,
1633,8,1633.625,
1633,9,1633.708333,
1633,10,1633.791667,30
1633,11,1633.875,
1633,12,1633.958333,15
1634,1,1634.041667,0
1634,2,1634.125,0
1634,3,1634.208333,0
1634,4,1634.291667,0
1634,5,1634.375,0
1634,6,1634.458333,0
1634,7,1634.541667,0
1634,8,1634.625,0
1634,9,1634.708333,0
1634,10,1634.791667,5.8
1634,11,1634.875,27
1634,12,1634.958333,3.6
1635,1,1635.041667,30
1635,2,1635.125,15
1635,3,1635.208333,0
1635,4,1635.291667,0
1635,5,1635.375,0
1635,6,1635.458333,0
1635,7,1635.541667,0
1635,8,1635.625,0
1635,9,1635.708333,0
1635,10,1635.791667,6.7
1635,11,1635.875,0
1635,12,1635.958333,0
1636,1,1636.041667,
1636,2,1636.125,
1636,3,1636.208333
1636,4,1636.291667
1636,5,1636.375
1636,6,1636.458333
1636,7,1636.541667
1636,8,1636.625
1636,9,1636.708333
1636,10,1636.791667
1636,11,1636.875
1636,12,1636.958333
1637,1,1637.041667
1637,2,1637.125
1637,3,1637.208333
1637,4,1637.291667
1637,5,1637.375
1637,6,1637.458333
1637,7,1637.541667,
1637,8,1637.625,
1637,9,1637.708333,
1637,10,1637.791667,
1637,11,1637.875,
1637,12,1637.958333,
1638,1,1638.041667,64.9
1638,2,1638.125,57.4
1638,3,1638.208333,51.3
1638,4,1638.291667,82.7
1638,5,1638.375,55.3
1638,6,1638.458333,73.3
1638,7,1638.541667,77.2
1638,8,1638.625,51.4
1638,9,1638.708333,58.1
1638,10,1638.791667,53.1
1638,11,1638.875,91.1
1638,12,1638.958333,108.1
1639,1,1639.041667,62.1
1639,2,1639.125,71.5
1639,3,1639.208333,70.4
1639,4,1639.291667,84.2
1639,5,1639.375,106.6
1639,6,1639.458333,89.8
1639,7,1639.541667,82.9
1639,8,1639.625,73.2
1639,9,1639.708333,96.5
1639,10,1639.791667,62.5
1639,11,1639.875,75.6
1639,12,1639.958333,46
1640,1,1640.041667,
1640,2,1640.125,
1640,3,1640.208333,
1640,4,1640.291667,
1640,5,1640.375,
1640,6,1640.458333,
1640,7,1640.541667,
1640,8,1640.625,15
1640,9,1640.708333,
1640,10,1640.791667,
1640,11,1640.875,
1640,12,1640.958333,
1641,1,1641.041667,
1641,2,1641.125,
1641,3,1641.208333,
1641,4,1641.291667,
1641,5,1641.375,
1641,6,1641.458333,
1641,7,1641.541667,
1641,8,1641.625,
1641,9,1641.708333,
1641,10,1641.791667,
1641,11,1641.875,
1641,12,1641.958333,
1642,1,1642.041667,
1642,2,1642.125,121
1642,3,1642.208333,
1642,4,1642.291667,
1642,5,1642.375,
1642,6,1642.458333,
1642,7,1642.541667,
1642,8,1642.625,
1642,9,1642.708333,
1642,10,1642.791667,7.3
1642,11,1642.875,13.7
1642,12,1642.958333,
1643,1,1643.041667,
1643,2,1643.125,
1643,3,1643.208333,
1643,4,1643.291667,
1643,5,1643.375,29
1643,6,1643.458333,33.2
1643,7,1643.541667,17
1643,8,1643.625,15.5
1643,9,1643.708333,12.1
1643,10,1643.791667,8.6
1643,11,1643.875,11
1643,12,1643.958333,14.6
1644,1,1644.041667,5.5
1644,2,1644.125,30.6
1644,3,1644.208333,10.2
1644,4,1644.291667,20.5
1644,5,1644.375,17.7
1644,6,1644.458333,12.8
1644,7,1644.541667,19.5
1644,8,1644.625,3.5
1644,9,1644.708333,4.4
1644,10,1644.791667,12.8
1644,11,1644.875,1.9
1644,12,1644.958333,0
1645,1,1645.041667,0
1645,2,1645.125,0
1645,3,1645.208333,0
1645,4,1645.291667,0
1645,5,1645.375,0
1645,6,1645.458333,0
1645,7,1645.541667,0
1645,8,1645.625,0.5
1645,9,1645.708333,0
1645,10,1645.791667,0
1645,11,1645.875,0
1645,12,1645.958333,0
1646,1,1646.041667,0
1646,2,1646.125,0
1646,3,1646.208333,0
1646,4,1646.291667,0
1646,5,1646.375,0
1646,6,1646.458333,0
1646,7,1646.541667,0
1646,8,1646.625,0
1646,9,1646.708333,0
1646,10,1646.791667,0
1646,11,1646.875,0
1646,12,1646.958333,0
1647,1,1647.041667,0
1647,2,1647.125,0
1647,3,1647.208333,0
1647,4,1647.291667,0
1647,5,1647.375,0
1647,6,1647.458333,0
1647,7,1647.541667,0
1647,8,1647.625,0
1647,9,1647.708333,0
1647,10,1647.791667,0
1647,11,1647.875,0
1647,12,1647.958333,0
1648,1,1648.041667,0
1648,2,1648.125,0
1648,3,1648.208333,0
1648,4,1648.291667,0
1648,5,1648.375,0
1648,6,1648.458333,0
1648,7,1648.541667,0
1648,8,1648.625,0
1648,9,1648.708333,0
1648,10,1648.791667,0
1648,11,1648.875,0
1648,12,1648.958333,0
1649,1,1649.041667,0
1649,2,1649.125,0
1649,3,1649.208333,0
1649,4,1649.291667,0
1649,5,1649.375,0
1649,6,1649.458333,0
1649,7,1649.541667,0
1649,8,1649.625,0
1649,9,1649.708333,0
1649,10,1649.791667,0
1649,11,1649.875,0
1649,12,1649.958333,0
1650,1,1650.041667,0
1650,2,1650.125,0
1650,3,1650.208333,0
1650,4,1650.291667,0
1650,5,1650.375,0
1650,6,1650.458333,0
1650,7,1650.541667,0
1650,8,1650.625,0
1650,9,1650.708333,0
1650,10,1650.791667,0
1650,11,1650.875,0
1650,12,1650.958333,0
1651,1,1651.041667,0
1651,2,1651.125,0
1651,3,1651.208333,0
1651,4,1651.291667,0
1651,5,1651.375,0
1651,6,1651.458333,0
1651,7,1651.541667,0
1651,8,1651.625,0
1651,9,1651.708333,0
1651,10,1651.791667,0
1651,11,1651.875,0
1651,12,1651.958333,0
1652,1,1652.041667,
1652,2,1652.125,
1652,3,1652.208333,
1652,4,1652.291667,16.1
1652,5,1652.375,
1652,6,1652.458333,
1652,7,1652.541667,
1652,8,1652.625,
1652,9,1652.708333,
1652,10,1652.791667,0
1652,11,1652.875,0
1652,12,1652.958333,0
1653,1,1653.041667,0
1653,2,1653.125,2.1
1653,3,1653.208333,2.3
1653,4,1653.291667,0
1653,5,1653.375,0
1653,6,1653.458333,0
1653,7,1653.541667,3.1
1653,8,1653.625,2.6
1653,9,1653.708333,0
1653,10,1653.791667,0
1653,11,1653.875,0
1653,12,1653.958333,0
1654,1,1654.041667,0
1654,2,1654.125,0
1654,3,1654.208333,0
1654,4,1654.291667,0
1654,5,1654.375,0
1654,6,1654.458333,0
1654,7,1654.541667,0
1654,8,1654.625,3
1654,9,1654.708333,5.5
1654,10,1654.791667,0
1654,11,1654.875,0
1654,12,1654.958333,0
1655,1,1655.041667,0
1655,2,1655.125,0
1655,3,1655.208333,6.3
1655,4,1655.291667,0
1655,5,1655.375,0
1655,6,1655.458333,0
1655,7,1655.541667,0
1655,8,1655.625,0
1655,9,1655.708333,0
1655,10,1655.791667,0
1655,11,1655.875,0
1655,12,1655.958333,0
1656,1,1656.041667,0
1656,2,1656.125,6.7
