The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Solar flux 10.7 cm, sunspots and cosmic rays - composite",,,,
Reference, Ottowa/Penticton,,,,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsolarradio.html#qbsa,,,,
,,Solar flux,Sunspots,Minus Cosmic radiation,Cosmic radiation
1962,10,872,39.5,-3919,3919
1962,11,830,26.9,-3963,3963
1962,12,794,23.2,-3971,3971
1963,1,770,19.8,-4049,4049
1963,2,778,24.4,-4074,4074
1963,3,771,17.1,-4065,4065
1963,4,800,29.3,-4077,4077
1963,5,897,43,-4034,4034
1963,6,862,35.9,-4075,4075
1963,7,784,19.6,-4072,4072
1963,8,830,33.2,-4060,4060
1963,9,860,38.8,-4023,4023
1963,10,845,35.3,-4066,4066
1963,11,799,23.4,-4094,4094
1963,12,760,14.9,-4112,4112
1964,1,730,15.3,-4145,4145
1964,2,750,17.7,-4139,4139
1964,3,751,16.5,-4168,4168
1964,4,731,8.6,-4181,4181
1964,5,710,9.5,-4198,4198
1964,6,712,9.1,-4208,4208
1964,7,692,3.1,-4202,4202
1964,8,711,9.3,-4213,4213
1964,9,709,4.7,-4232,4232
1964,10,729,6.1,-4240,4240
1964,11,721,7.4,-4254,4254
1964,12,764,15.1,-4307,4307
1965,1,761,17.5,-4295,4295
1965,2,734,14.2,-4290,4290
1965,3,734,11.7,-4314,4314
1965,4,726,6.8,-4335,4335
1965,5,800,24.1,-4340,4340
1965,6,794,15.9,-4288,4288
1965,7,768,11.9,-4247,4247
1965,8,766,8.9,-4246,4246
1965,9,774,16.8,-4268,4268
1965,10,797,20.1,-4271,4271
1965,11,760,15.8,-4294,4294
1965,12,752,17,-4300,4300
1966,1,851,28.2,-4258,4258
1966,2,821,24.4,-4262,4262
1966,3,894,25.3,-4211,4211
1966,4,978,48.7,-4180,4180
1966,5,1008,45.3,-4207,4207
1966,6,994,47.7,-4146,4146
1966,7,1102,56.7,-4108,4108
1966,8,1092,51.2,-4112,4112
1966,9,1120,50.2,-3956,3956
1966,10,1079,57.2,-4055,4055
1966,11,1108,57.2,-4091,4091
1966,12,1207,70.4,-4053,4053
1967,1,1430,110.9,-3991,3991
1967,2,1434,93.6,-3960,3960
1967,3,1590,111.8,-4014,4014
1967,4,1308,69.5,-4025,4025
1967,5,1463,86.5,-3974,3974
1967,6,1240,67.3,-3960,3960
1967,7,1449,91.5,-3985,3985
1967,8,1576,107.2,-3940,3940
1967,9,1335,76.8,-3956,3956
1967,10,1351,88.2,-3980,3980
1967,11,1421,94.3,-3922,3922
1967,12,1579,126.4,-3933,3933
1968,1,1831,121.8,-3946,3946
1968,2,1689,111.9,-3925,3925
1968,3,1412,92.2,-3909,3909
1968,4,1304,81.2,-3932,3932
1968,5,1584,127.2,-3895,3895
1968,6,1468,110.3,-3830,3830
1968,7,1417,96.1,-3830,3830
1968,8,1457,109.3,-3853,3853
1968,9,1425,117.2,-3817,3817
1968,10,1514,107.7,-3761,3761
1968,11,1355,86,-3652,3652
1968,12,1438,109.8,-3685,3685
1969,1,1478,104.4,-3801,3801
1969,2,1515,120.5,-3831,3831
1969,3,1706,135.8,-3798,3798
1969,4,1565,106.8,-3783,3783
1969,5,1487,120,-3656,3656
1969,6,1673,106,-3610,3610
1969,7,1411,96.8,-3652,3652
1969,8,1466,98,-3730,3730
1969,9,1387,91.3,-3781,3781
1969,10,1529,95.7,-3803,3803
1969,11,1532,93.5,-3798,3798
1969,12,1391,97.9,-3807,3807
1970,1,1532,111.5,-3792,3792
1970,2,1712,127.8,-3824,3824
1970,3,1568,102.9,-3781,3781
1970,4,1631,109.5,-3765,3765
1970,5,1722,127.5,-3765,3765
1970,6,1599,106.8,-3679,3679
1970,7,1570,112.5,-3684,3684
1970,8,1416,93,-3755,3755
1970,9,1448,99.5,-3832,3832
1970,10,1473,86.6,-3862,3862
1970,11,1585,95.2,-3786,3786
1970,12,1480,83.5,-3895,3895
1971,1,1574,91.3,-3898,3898
1971,2,1344,79,-3976,3976
1971,3,1108,60.7,-3981,3981
1971,4,1175,71.8,-4003,4003
1971,5,1124,57.5,-4032,4032
1971,6,1049,49.8,-4124,4124
1971,7,1212,81,-4117,4117
1971,8,1169,61.4,-4145,4145
1971,9,1051,50.2,-4149,4149
1971,10,1064,51.7,-4193,4193
1971,11,1115,63.2,-4181,4181
1971,12,1207,82.2,-4192,4192
1972,1,1111,61.5,-4163,4163
1972,2,1384,88.4,-4158,4158
1972,3,1271,80.1,-4211,4211
1972,4,1137,63.2,-4239,4239
1972,5,1325,80.5,-4215,4215
1972,6,1397,88,-4141,4141
1972,7,1260,76.5,-4207,4207
1972,8,1289,76.8,-4005,4005
1972,9,1149,64,-4198,4198
1972,10,1202,61.3,-4214,4214
1972,11,994,41.6,-4198,4198
1972,12,997,45.3,-4198,4198
1973,1,990,43.4,-4201,4201
1973,2,963,42.9,-4193,4193
1973,3,994,46,-4173,4173
1973,4,1058,57.7,-4075,4075
1973,5,991,42.4,-3997,3997
1973,6,942,37.5,-4119,4119
1973,7,872,23.1,-4151,4151
1973,8,849,25.6,-4180,4180
1973,9,1068,59.3,-4235,4235
1973,10,871,30.7,-4240,4240
1973,11,797,23.9,-4255,4255
1973,12,815,23.3,-4253,4253
1974,1,804,27.6,-4262,4262
1974,2,789,26,-4283,4283
1974,3,784,21.3,-4238,4238
1974,4,867,40.3,-4207,4207
1974,5,926,39.5,-4121,4121
1974,6,980,36,-4077,4077
1974,7,955,55.8,-4009,4009
1974,8,851,33.6,-4083,4083
1974,9,887,40.2,-4064,4064
1974,10,971,47.1,-4064,4064
1974,11,883,25,-4058,4058
1974,12,786,20.5,-4131,4131
1975,1,750,18.9,-4146,4146
1975,2,724,11.5,-4206,4206
1975,3,717,11.5,-4210,4210
1975,4,712,5.1,-4239,4239
1975,5,716,9,-4245,4245
1975,6,719,11.4,-4271,4271
1975,7,797,28.2,-4262,4262
1975,8,927,39.7,-4231,4231
1975,9,804,13.9,-4243,4243
1975,10,753,9.1,-4231,4231
1975,11,791,19.4,-4218,4218
1975,12,723,7.8,-4214,4214
1976,1,724,8.1,-4216,4216
1976,2,688,4.3,-4223,4223
1976,3,759,21.9,-4236,4236
1976,4,768,18.8,-4188,4188
1976,5,722,12.4,-4218,4218
1976,6,728,12.2,-4244,4244
1976,7,698,1.9,-4254,4254
1976,8,766,16.4,-4253,4253
1976,9,739,13.5,-4283,4283
1976,10,754,20.6,-4287,4287
1976,11,713,5.2,-4285,4285
1976,12,743,15.3,-4280,4280
1977,1,749,16.4,-4268,4268
1977,2,803,23.1,-4272,4272
1977,3,758,8.7,-4274,4274
1977,4,782,12.9,-4267,4267
1977,5,814,18.6,-4272,4272
1977,6,945,38.5,-4231,4231
1977,7,837,21.4,-4175,4175
1977,8,864,30.1,-4194,4194
1977,9,1009,44,-4197,4197
1977,10,963,43.8,-4245,4245
1977,11,916,29.1,-4284,4284
1977,12,989,43.2,-4260,4260
1978,1,1061,51.9,-4213,4213
1978,2,1418,93.6,-4198,4198
1978,3,1403,76.5,-4173,4173
1978,4,1505,99.7,-4107,4107
1978,5,1497,82.7,-3977,3977
1978,6,1468,95.1,-4058,4058
1978,7,1354,70.4,-4068,4068
1978,8,1169,58.1,-4183,4183
1978,9,1596,138.2,-4180,4180
1978,10,1571,125.1,-4085,4085
1978,11,1482,97.9,-4139,4139
1978,12,1700,122.7,-4128,4128
1979,1,1965,166.6,-4071,4071
1979,2,1991,137.5,-4035,4035
1979,3,1840,138,-3983,3983
1979,4,1750,101.5,-3888,3888
1979,5,1689,134.4,-3921,3921
1979,6,1860,149.5,-3815,3815
1979,7,1714,159.4,-3808,3808
1979,8,1770,142.2,-3710,3710
1979,9,2023,188.4,-3745,3745
1979,10,2164,186.2,-3829,3829
1979,11,2268,183.3,-3829,3829
1979,12,1972,176.3,-3905,3905
1980,1,1996,159.6,-3874,3874
1980,2,1951,155,-3842,3842
1980,3,1665,126.2,-3900,3900
1980,4,2093,164.1,-3820,3820
1980,5,2291,179.9,-3817,3817
1980,6,1993,157.3,-3697,3697
1980,7,1908,136.3,-3692,3692
1980,8,1703,135.4,-3719,3719
1980,9,1859,155,-3750,3750
1980,10,2029,164.7,-3687,3687
1980,11,2134,147.9,-3604,3604
1980,12,2188,174.4,-3604,3604
1981,1,1690,114,-3744,3744
1981,2,1995,141.3,-3663,3663
1981,3,2032,135.5,-3656,3656
1981,4,2247,156.4,-3601,3601
1981,5,1989,127.5,-3558,3558
1981,6,1619,90.9,-3683,3683
1981,7,1982,143.8,-3703,3703
1981,8,2260,158.7,-3702,3702
1981,9,2219,167.3,-3687,3687
1981,10,2228,162.4,-3570,3570
1981,11,2033,137.5,-3581,3581
1981,12,2014,150.1,-3682,3682
1982,1,1734,111.2,-3735,3735
1982,2,2089,163.6,-3590,3590
1982,3,2083,153.8,-3732,3732
1982,4,1629,122,-3773,3773
