The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Sunspot numbers - composite,"Sun spot, radio flux and TSI composite",,,
Source,,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsunspotnumber.html#hoyt,,,
Reference,,"Hoyt, D. V., and K. H. Schatten, 1997. Group Sunspot Numbers: A New Solar Activity Reconstruction. Solar Physics",,,
Source,,ftp://ftp.ngdc.noaa.gov/STP/SOLAR_DATA/COSMIC_RAYS,,,
Source,,http://www.acrim.com/RESULTS/Composite/composite_acrim_hdr_1108.txt,,,
,,Sun spots,,Radio flux,Solar irradiance
1761.291667,35.8,71.7,44.16321414
1761.375,109.4,107.2,134.9568611
1761.458333,80.5,99.3,99.30555135
1761.541667,83.2,94.1,102.6362966
1761.625,65.8,91.1,81.17149415
1761.708333,76,100.7,93.75430935
1761.791667,60,88.7,74.01656001
1761.875,74.5,89.7,91.90389535
1761.958333,24,46,29.606624
1762.041667,31.1,43.8,38.36525027
1762.125,57.2,72.8,70.56245388
1762.208333,40.8,45.7,50.33126081
1762.291667,44,60.2,54.27881068
1762.375,33.6,39.9,41.44927361
1762.458333,54.4,77.1,67.10834774
1762.541667,25,33.8,30.84023334
1762.625,44.1,67.7,54.40217161
1762.708333,51.2,68.5,63.16079788
1762.791667,50.3,69.3,62.05054948
1762.875,66.9,77.8,82.52846441
1762.958333,56.3,77.2,69.45220548
1763.041667,40.8,56.5,50.33126081
1763.125,25,31.9,30.84023334
1763.208333,22.3,34.2,27.50948814
1763.291667,25.6,32.9,31.58039894
1763.375,24,32.7,29.606624
1763.458333,25.8,35.8,31.82712081
1763.541667,42,54.2,51.81159201
1763.625,21.8,26.5,26.89268347
1763.708333,57,68.1,70.31573201
1763.791667,34.8,46.3,42.92960481
1763.875,41.6,60.9,51.31814828
1763.958333,50.2,61.4,61.92718854
1764.041667,80.6,59.7,99.42891228
1764.125,39.8,59.7,49.09765147
1764.208333,34.6,40.2,42.68288294
1764.291667,29.1,34.4,35.89803161
1764.375,34.3,44.3,42.31280014
1764.458333,8.5,30,10.48567934
1764.541667,12.2,30,15.05003387
1764.625,8.7,30,10.7324012
1764.708333,20.3,28.2,25.04226947
1764.791667,,28,
1764.875,37,26,45.64354534
1764.958333,30.5,25.7,37.62508467
1765.041667,,24,
1765.125,12,26,14.803312
1765.208333,24,25,29.606624
1765.291667,,22,
1765.375,21.3,20.2,26.2758788
1765.458333,,20,
1765.541667,11.1,27,13.6930636
1765.625,6.9,29.7,8.511904401
1765.708333,0,16,0
1765.791667,0,14,0
1765.875,0,14,0
1765.958333,0,13,0
1766.041667,0,12,0
1766.125,0,11,0
1766.208333,21.5,36.6,26.52260067
1766.291667,0,6,0
1766.375,8.8,26.8,10.85576214
1766.458333,0,3,0
1766.541667,0,3.3,0
1766.625,0,4,0
1766.708333,0,4.3,0
1766.791667,0,5,0
1766.875,0,5.7,0
1766.958333,14.5,19.2,17.88733534
1767.041667,16.1,27.4,19.86111027
1767.125,0,30,0
1767.208333,29.1,43,35.89803161
1767.291667,27.3,32.9,33.67753481
1767.375,30.4,29.8,37.50172374
1767.458333,31.2,33.3,38.48861121
1767.541667,23.6,21.9,29.11318027
1767.625,43.9,40.8,54.15544974
1767.708333,39.4,42.7,48.60420774
1767.791667,44.9,44.1,55.38905908
1767.875,54.8,54.7,67.60179148
1767.958333,65.9,53.3,81.29485508
1768.041667,49,53.5,60.44685734
1768.125,76.6,66.1,94.49447495
1768.208333,40.9,46.3,50.45462174
1768.291667,37.7,42.7,46.50707187
1768.375,92.7,77.7,114.3555852
1768.458333,93.2,77.4,114.9723899
1768.541667,59.2,52.6,73.02967255
1768.625,67.3,66.8,83.02190815
1768.708333,76.7,74.8,94.61783588
1768.791667,85.6,77.8,105.596959
1768.875,85.1,90.6,104.9801543
1768.958333,92.2,111.8,113.7387806
1769.041667,71.3,73.9,87.95634548
1769.125,76.5,64.2,94.37111402
1769.208333,55.5,64.3,68.46531801
1769.291667,105.5,96.7,130.1457847
1769.375,64.1,73.6,79.07435828
1769.458333,84.4,94.4,104.1166278
1769.541667,124.5,118.6,153.584362
1769.625,106.2,120.3,131.0093112
1769.708333,121.9,148.8,150.3769778
1769.791667,152.7,158.2,188.3721452
1769.875,128.8,148.1,158.8888822
1769.958333,90.5,112,111.6416447
1770.041667,107.6,104,132.7363643
1770.125,126.6,142.5,156.1749416
1770.208333,75.2,80.1,92.76742188
1770.291667,43.7,51,53.90872788
1770.375,59.1,70.1,72.90631161
1770.458333,74.8,83.3,92.27397815
1770.541667,127.3,109.8,157.0384682
1770.625,124.8,126.3,153.9544448
1770.708333,105.8,104.4,130.5158675
1770.791667,96.6,103.6,119.1666616
1770.875,133.8,132.2,165.0569288
1770.958333,96.3,102.3,118.7965788
1771.041667,25.8,36,31.82712081
1771.125,47.3,46.2,58.34972148
1771.208333,37.1,46.7,45.76690627
1771.291667,68.9,64.9,84.99568308
1771.375,162.5,152.7,200.4615167
