years_before_present,temp_anomaly_C,reference
-15719,-2.95,
-15619,-2.9,
-15519,-2.85,
-15419,-2.81,
-15319,-2.77,
-15219,-2.72,
-15119,-2.67,
-15019,-2.61,
-14919,-2.5,
-14819,-2.37,
-14719,-2.22,
-14619,-2.05,
-14519,-1.91,
-14419,-1.81,
-14319,-1.73,
-14219,-1.68,
-14119,-1.65,
-14019,-1.61,
-13919,-1.55,
-13819,-1.5,
-13719,-1.47,
-13619,-1.44,
-13519,-1.42,
-13419,-1.46,
-13319,-1.52,
-13219,-1.59,
-13119,-1.63,
-13019,-1.66,
-12919,-1.72,
-12819,-1.75,
-12719,-1.77,
-12619,-1.74,
-12519,-1.65,
-12419,-1.54,
-12319,-1.44,
-12219,-1.39,
-12119,-1.32,
-12019,-1.23,
-11919,-1.14,
-11819,-1.01,
-11719,-0.81,
-11619,-0.65,
-11519,-0.53,
-11419,-0.43,
-11319,-0.32,
-11219,-0.23,
-11119,-0.14,
-11019,-0.04,
-10919,0.06,
-10819,0.15,
-10719,0.23,
-10619,0.27,
-10519,0.3,
-10419,0.3,
-10319,0.32,
-10219,0.37,
-10119,0.43,
-10019,0.48,
-9919,0.52,
-9819,0.54,
-9719,0.55,
-9619,0.57,
-9519,0.59,
-9419,0.61,
-9319,0.61,
-9219,0.61,
-9119,0.62,
-9019,0.63,
-8919,0.63,
-8819,0.63,
-8719,0.63,
-8619,0.63,
-8519,0.62,
-8419,0.59,
-8319,0.55,
-8219,0.54,
-8119,0.59,
-8019,0.57,
-7919,0.57,
-7819,0.59,
-7719,0.62,
-7619,0.62,
-7519,0.59,
-7419,0.59,
-7319,0.62,
-7219,0.66,
-7119,0.68,
-7019,0.68,
-6919,0.65,
-6819,0.62,
-6719,0.61,
-6619,0.58,
-6519,0.57,
-6419,0.58,
-6319,0.58,
-6219,0.59,
-6119,0.57,
-6019,0.54,
-5919,0.55,
-5819,0.58,
-5719,0.58,
-5619,0.57,
-5519,0.57,
-5419,0.58,
-5319,0.58,
-5219,0.57,
-5119,0.55,
-5019,0.54,
-4919,0.52,
-4819,0.46,
-4719,0.44,
-4619,0.46,
-4519,0.45,
-4419,0.41,
-4319,0.41,
-4219,0.4,
-4119,0.35,
-4019,0.34,
-3919,0.32,
-3819,0.32,
-3719,0.3,
-3619,0.23,
-3519,0.25,
-3419,0.23,
-3319,0.17,
-3219,0.17,
-3119,0.17,
-3019,0.18,
-2919,0.18,
-2819,0.14,
-2719,0.13,
-2619,0.1,
-2519,0.1,
-2419,0.08,
-2319,0.09,
-2219,0.08,
-2119,0.06,
-2019,-0.29,
-2018,-0.21,
-2017,-0.14,
-2016,-0.14,
-2015,-0.21,
-2014,-0.32,
-2013,-0.47,
-2012,-0.5,
-2011,-0.45,
-2010,-0.42,
-2009,-0.42,
-2008,-0.41,
-2007,-0.47,
-2006,-0.66,
-2005,-0.87,
-2004,-0.82,
-2003,-0.52,
-2002,-0.28,
-2001,-0.34,
-2000,-0.5,
-1999,-0.53,
-1998,-0.47,
-1997,-0.39,
-1996,-0.25,
-1995,-0.08,
-1994,0.03,
-1993,-0.05,
-1992,-0.26,
-1991,-0.38,
-1990,-0.35,
-1989,-0.28,
-1988,-0.13,
-1987,0.02,
-1986,0.1,
-1985,0.09,
-1984,-0.11,
-1983,-0.33,
-1982,-0.27,
-1981,-0.13,
-1980,-0.13,
-1979,-0.18,
-1978,-0.28,
-1977,-0.39,
-1976,-0.47,
-1975,-0.49,
