Title,Pacific Decadal Oscillation Index,,,
Reference,"Zhang, Y., J.M. Wallace, D.S. Battisti, 1997:      ENSO-like interdecadal variability: 1900-93. J. Climate, 10, 1004-1020. ",,,
URL,http://jisao.washington.edu/pdo/PDO.latest,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Sep-11,1911.708,0.29,0.29,0
Oct-11,1911.792,0.2,0.2,0
Nov-11,1911.875,-0.86,0,-0.86
Dec-11,1911.958,0.01,0.01,0
Jan-12,1912.042,-1.72,0,-1.72
Feb-12,1912.125,-0.23,0,-0.23
Mar-12,1912.208,-0.04,0,-0.04
Apr-12,1912.292,-0.38,0,-0.38
May-12,1912.375,-0.02,0,-0.02
Jun-12,1912.458,0.77,0.77,0
Jul-12,1912.542,1.07,1.07,0
Aug-12,1912.625,-0.84,0,-0.84
Sep-12,1912.708,0.94,0.94,0
Oct-12,1912.792,0.56,0.56,0
Nov-12,1912.875,0.74,0.74,0
Dec-12,1912.958,0.98,0.98,0
Jan-13,1913.042,-0.03,0,-0.03
Feb-13,1913.125,0.34,0.34,0
Mar-13,1913.208,0.06,0.06,0
Apr-13,1913.292,-0.92,0,-0.92
May-13,1913.375,0.66,0.66,0
Jun-13,1913.458,1.43,1.43,0
Jul-13,1913.542,1.06,1.06,0
Aug-13,1913.625,1.29,1.29,0
Sep-13,1913.708,0.73,0.73,0
Oct-13,1913.792,0.62,0.62,0
Nov-13,1913.875,0.75,0.75,0
Dec-13,1913.958,0.9,0.9,0
Jan-14,1914.042,0.34,0.34,0
Feb-14,1914.125,-0.29,0,-0.29
Mar-14,1914.208,0.08,0.08,0
Apr-14,1914.292,1.2,1.2,0
May-14,1914.375,0.11,0.11,0
Jun-14,1914.458,0.11,0.11,0
Jul-14,1914.542,-0.21,0,-0.21
Aug-14,1914.625,0.11,0.11,0
Sep-14,1914.708,-0.34,0,-0.34
Oct-14,1914.792,-0.11,0,-0.11
Nov-14,1914.875,0.03,0.03,0
Dec-14,1914.958,0.89,0.89,0
Jan-15,1915.042,-0.41,0,-0.41
Feb-15,1915.125,0.14,0.14,0
Mar-15,1915.208,-1.22,0,-1.22
Apr-15,1915.292,1.4,1.4,0
May-15,1915.375,0.32,0.32,0
Jun-15,1915.458,0.99,0.99,0
Jul-15,1915.542,1.07,1.07,0
Aug-15,1915.625,0.27,0.27,0
Sep-15,1915.708,-0.05,0,-0.05
Oct-15,1915.792,-0.43,0,-0.43
Nov-15,1915.875,-0.12,0,-0.12
Dec-15,1915.958,0.17,0.17,0
Jan-16,1916.042,-0.64,0,-0.64
Feb-16,1916.125,-0.19,0,-0.19
Mar-16,1916.208,-0.11,0,-0.11
Apr-16,1916.292,0.35,0.35,0
May-16,1916.375,0.42,0.42,0
Jun-16,1916.458,-0.82,0,-0.82
Jul-16,1916.542,-0.78,0,-0.78
Aug-16,1916.625,-0.73,0,-0.73
Sep-16,1916.708,-0.77,0,-0.77
Oct-16,1916.792,-0.22,0,-0.22
Nov-16,1916.875,-0.68,0,-0.68
Dec-16,1916.958,-1.94,0,-1.94
Jan-17,1917.042,-0.79,0,-0.79
Feb-17,1917.125,-0.84,0,-0.84
Mar-17,1917.208,-0.71,0,-0.71
Apr-17,1917.292,-0.34,0,-0.34
May-17,1917.375,0.82,0.82,0
Jun-17,1917.458,-0.03,0,-0.03
Jul-17,1917.542,0.1,0.1,0
Aug-17,1917.625,-0.22,0,-0.22
Sep-17,1917.708,-0.4,0,-0.4
Oct-17,1917.792,-1.75,0,-1.75
Nov-17,1917.875,-0.34,0,-0.34
Dec-17,1917.958,-0.6,0,-0.6
Jan-18,1918.042,-1.13,0,-1.13
Feb-18,1918.125,-0.66,0,-0.66
Mar-18,1918.208,-1.15,0,-1.15
Apr-18,1918.292,-0.32,0,-0.32
May-18,1918.375,-0.33,0,-0.33
Jun-18,1918.458,0.07,0.07,0
Jul-18,1918.542,0.98,0.98,0
Aug-18,1918.625,-0.31,0,-0.31
Sep-18,1918.708,-0.59,0,-0.59
Oct-18,1918.792,0.61,0.61,0
Nov-18,1918.875,0.34,0.34,0
Dec-18,1918.958,0.86,0.86,0
Jan-19,1919.042,-1.07,0,-1.07
Feb-19,1919.125,1.31,1.31,0
Mar-19,1919.208,-0.5,0,-0.5
Apr-19,1919.292,0.08,0.08,0
May-19,1919.375,0.17,0.17,0
Jun-19,1919.458,-0.71,0,-0.71
Jul-19,1919.542,-0.47,0,-0.47
Aug-19,1919.625,0.38,0.38,0
Sep-19,1919.708,0.06,0.06,0
Oct-19,1919.792,-0.42,0,-0.42
Nov-19,1919.875,-0.8,0,-0.8
Dec-19,1919.958,0.76,0.76,0
Jan-20,1920.042,-1.18,0,-1.18
Feb-20,1920.125,0.06,0.06,0
Mar-20,1920.208,-0.78,0,-0.78
Apr-20,1920.292,-1.29,0,-1.29
May-20,1920.375,-0.97,0,-0.97
Jun-20,1920.458,-1.3,0,-1.3
Jul-20,1920.542,-0.9,0,-0.9
Aug-20,1920.625,-2.21,0,-2.21
Sep-20,1920.708,-1.28,0,-1.28
Oct-20,1920.792,-1.06,0,-1.06
Nov-20,1920.875,-0.26,0,-0.26
Dec-20,1920.958,0.29,0.29,0
Jan-21,1921.042,-0.66,0,-0.66
Feb-21,1921.125,-0.61,0,-0.61
Mar-21,1921.208,-0.01,0,-0.01
Apr-21,1921.292,-0.93,0,-0.93
May-21,1921.375,-0.42,0,-0.42
Jun-21,1921.458,0.4,0.4,0
Jul-21,1921.542,-0.58,0,-0.58
Aug-21,1921.625,-0.69,0,-0.69
Sep-21,1921.708,-0.78,0,-0.78
Oct-21,1921.792,-0.23,0,-0.23
Nov-21,1921.875,1.92,1.92,0
Dec-21,1921.958,1.42,1.42,0
Jan-22,1922.042,1.05,1.05,0
Feb-22,1922.125,-0.85,0,-0.85
Mar-22,1922.208,0.08,0.08,0
Apr-22,1922.292,0.43,0.43,0
May-22,1922.375,-0.19,0,-0.19
Jun-22,1922.458,-1.04,0,-1.04
Jul-22,1922.542,-0.82,0,-0.82
Aug-22,1922.625,-0.93,0,-0.93
Sep-22,1922.708,-0.81,0,-0.81
Oct-22,1922.792,0.84,0.84,0
Nov-22,1922.875,-0.6,0,-0.6
Dec-22,1922.958,0.48,0.48,0
Jan-23,1923.042,0.75,0.75,0
Feb-23,1923.125,-0.04,0,-0.04
Mar-23,1923.208,0.49,0.49,0
Apr-23,1923.292,0.99,0.99,0
May-23,1923.375,-0.2,0,-0.2
Jun-23,1923.458,0.68,0.68,0
Jul-23,1923.542,1.16,1.16,0
Aug-23,1923.625,0.84,0.84,0
Sep-23,1923.708,-0.24,0,-0.24
Oct-23,1923.792,1.1,1.1,0
Nov-23,1923.875,0.62,0.62,0
Dec-23,1923.958,-0.36,0,-0.36
Jan-24,1924.042,1.29,1.29,0
Feb-24,1924.125,0.73,0.73,0
