Title,Oceanic Nino Index,,,
Reference,"NOAA, National Weather Service, Climate Prediction Center",,,
URL,http://www.cpc.noaa.gov/products/analysis_monitoring/ensostuff/ensoyears.shtml,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Nov-01,2001.875,-0.1,0,-0.1
Dec-01,2001.958,-0.1,0,-0.1
Jan-02,2002.042,-0.1,0,-0.1
Feb-02,2002.125,0.1,0.1,0
Mar-02,2002.208,0.2,0.2,0
Apr-02,2002.292,0.4,0.4,0
May-02,2002.375,0.7,0.7,0
Jun-02,2002.458,0.8,0.8,0
Jul-02,2002.542,0.9,0.9,0
Aug-02,2002.625,1,1,0
Sep-02,2002.708,1.1,1.1,0
Oct-02,2002.792,1.3,1.3,0
Nov-02,2002.875,1.5,1.5,0
Dec-02,2002.958,1.4,1.4,0
Jan-03,2003.042,1.2,1.2,0
Feb-03,2003.125,0.9,0.9,0
Mar-03,2003.208,0.5,0.5,0
Apr-03,2003.292,0.1,0.1,0
May-03,2003.375,-0.1,0,-0.1
Jun-03,2003.458,0.1,0.1,0
Jul-03,2003.542,0.4,0.4,0
Aug-03,2003.625,0.5,0.5,0
Sep-03,2003.708,0.6,0.6,0
Oct-03,2003.792,0.5,0.5,0
Nov-03,2003.875,0.6,0.6,0
Dec-03,2003.958,0.4,0.4,0
Jan-04,2004.042,0.4,0.4,0
Feb-04,2004.125,0.3,0.3,0
Mar-04,2004.208,0.2,0.2,0
Apr-04,2004.292,0.2,0.2,0
May-04,2004.375,0.3,0.3,0
Jun-04,2004.458,0.5,0.5,0
Jul-04,2004.542,0.7,0.7,0
Aug-04,2004.625,0.8,0.8,0
Sep-04,2004.708,0.9,0.9,0
Oct-04,2004.792,0.8,0.8,0
Nov-04,2004.875,0.8,0.8,0
Dec-04,2004.958,0.8,0.8,0
Jan-05,2005.042,0.7,0.7,0
Feb-05,2005.125,0.5,0.5,0
Mar-05,2005.208,0.4,0.4,0
Apr-05,2005.292,0.4,0.4,0
May-05,2005.375,0.4,0.4,0
Jun-05,2005.458,0.4,0.4,0
Jul-05,2005.542,0.4,0.4,0
Aug-05,2005.625,0.3,0.3,0
Sep-05,2005.708,0.2,0.2,0
Oct-05,2005.792,-0.1,0,-0.1
Nov-05,2005.875,-0.4,0,-0.4
Dec-05,2005.958,-0.7,0,-0.7
Jan-06,2006.042,-0.7,0,-0.7
Feb-06,2006.125,-0.6,0,-0.6
Mar-06,2006.208,-0.4,0,-0.4
Apr-06,2006.292,-0.1,0,-0.1
May-06,2006.375,0.1,0.1,0
Jun-06,2006.458,0.2,0.2,0
Jul-06,2006.542,0.3,0.3,0
Aug-06,2006.625,0.5,0.5,0
Sep-06,2006.708,0.6,0.6,0
Oct-06,2006.792,0.9,0.9,0
Nov-06,2006.875,1.1,1.1,0
Dec-06,2006.958,1.1,1.1,0
Jan-07,2007.042,0.8,0.8,0
Feb-07,2007.125,0.4,0.4,0
Mar-07,2007.208,0.1,0.1,0
Apr-07,2007.292,-0.1,0,-0.1
May-07,2007.375,-0.1,0,-0.1
Jun-07,2007.458,-0.1,0,-0.1
Jul-07,2007.542,-0.1,0,-0.1
Aug-07,2007.625,-0.4,0,-0.4
Sep-07,2007.708,-0.7,0,-0.7
Oct-07,2007.792,-1,0,-1
Nov-07,2007.875,-1.1,0,-1.1
Dec-07,2007.958,-1.3,0,-1.3
Jan-08,2008.042,-1.4,0,-1.4
Feb-08,2008.125,-1.4,0,-1.4
Mar-08,2008.208,-1.1,0,-1.1
Apr-08,2008.292,-0.8,0,-0.8
May-08,2008.375,-0.6,0,-0.6
Jun-08,2008.458,-0.4,0,-0.4
Jul-08,2008.542,-0.1,0,-0.1
Aug-08,2008.625,0,0,0
Sep-08,2008.708,0,0,0
Oct-08,2008.792,0,0,0
Nov-08,2008.875,-0.3,0,-0.3
Dec-08,2008.958,-0.6,0,-0.6
Jan-09,2009.042,-0.8,0,-0.8
Feb-09,2009.125,-0.7,0,-0.7
Mar-09,2009.208,-0.7,0,-0.7
Apr-09,2009.292,,0,0
May-09,2009.375,,0,0
Jun-09,2009.458,,0,0
Jul-09,2009.542,,0,0
Aug-09,2009.625,,0,0
Sep-09,2009.708,,0,0
Oct-09,2009.792,,0,0
Nov-09,2009.875,,0,0
Dec-09,2009.958,,0,0
