Title,Oceanic Nino Index,,,
Reference,"NOAA, National Weather Service, Climate Prediction Center",,,
URL,http://www.cpc.noaa.gov/products/analysis_monitoring/ensostuff/ensoyears.shtml,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Nov-61,1961.875,-0.5,0,-0.5
Dec-61,1961.958,-0.4,0,-0.4
Jan-62,1962.042,-0.4,0,-0.4
Feb-62,1962.125,-0.4,0,-0.4
Mar-62,1962.208,-0.4,0,-0.4
Apr-62,1962.292,-0.5,0,-0.5
May-62,1962.375,-0.4,0,-0.4
Jun-62,1962.458,-0.4,0,-0.4
Jul-62,1962.542,-0.3,0,-0.3
Aug-62,1962.625,-0.3,0,-0.3
Sep-62,1962.708,-0.5,0,-0.5
Oct-62,1962.792,-0.6,0,-0.6
Nov-62,1962.875,-0.7,0,-0.7
Dec-62,1962.958,-0.7,0,-0.7
Jan-63,1963.042,-0.6,0,-0.6
Feb-63,1963.125,-0.3,0,-0.3
Mar-63,1963.208,0,0,0
Apr-63,1963.292,0.1,0.1,0
May-63,1963.375,0.1,0.1,0
Jun-63,1963.458,0.3,0.3,0
Jul-63,1963.542,0.6,0.6,0
Aug-63,1963.625,0.8,0.8,0
Sep-63,1963.708,0.9,0.9,0
Oct-63,1963.792,0.9,0.9,0
Nov-63,1963.875,1,1,0
Dec-63,1963.958,1,1,0
Jan-64,1964.042,0.8,0.8,0
Feb-64,1964.125,0.4,0.4,0
Mar-64,1964.208,-0.1,0,-0.1
Apr-64,1964.292,-0.5,0,-0.5
May-64,1964.375,-0.8,0,-0.8
Jun-64,1964.458,-0.8,0,-0.8
Jul-64,1964.542,-0.9,0,-0.9
Aug-64,1964.625,-1,0,-1
Sep-64,1964.708,-1.1,0,-1.1
Oct-64,1964.792,-1.2,0,-1.2
Nov-64,1964.875,-1.2,0,-1.2
Dec-64,1964.958,-1,0,-1
Jan-65,1965.042,-0.8,0,-0.8
Feb-65,1965.125,-0.4,0,-0.4
Mar-65,1965.208,-0.2,0,-0.2
Apr-65,1965.292,0,0,0
May-65,1965.375,0.3,0.3,0
Jun-65,1965.458,0.6,0.6,0
Jul-65,1965.542,1,1,0
Aug-65,1965.625,1.2,1.2,0
Sep-65,1965.708,1.4,1.4,0
Oct-65,1965.792,1.5,1.5,0
Nov-65,1965.875,1.6,1.6,0
Dec-65,1965.958,1.5,1.5,0
Jan-66,1966.042,1.2,1.2,0
Feb-66,1966.125,1,1,0
Mar-66,1966.208,0.8,0.8,0
Apr-66,1966.292,0.5,0.5,0
May-66,1966.375,0.2,0.2,0
Jun-66,1966.458,0.2,0.2,0
Jul-66,1966.542,0.2,0.2,0
Aug-66,1966.625,0,0,0
Sep-66,1966.708,-0.2,0,-0.2
Oct-66,1966.792,-0.2,0,-0.2
Nov-66,1966.875,-0.3,0,-0.3
Dec-66,1966.958,-0.3,0,-0.3
Jan-67,1967.042,-0.4,0,-0.4
Feb-67,1967.125,-0.4,0,-0.4
Mar-67,1967.208,-0.6,0,-0.6
Apr-67,1967.292,-0.5,0,-0.5
May-67,1967.375,-0.3,0,-0.3
Jun-67,1967.458,0,0,0
Jul-67,1967.542,0,0,0
Aug-67,1967.625,-0.2,0,-0.2
Sep-67,1967.708,-0.4,0,-0.4
Oct-67,1967.792,-0.5,0,-0.5
Nov-67,1967.875,-0.4,0,-0.4
Dec-67,1967.958,-0.5,0,-0.5
Jan-68,1968.042,-0.7,0,-0.7
Feb-68,1968.125,-0.9,0,-0.9
Mar-68,1968.208,-0.8,0,-0.8
Apr-68,1968.292,-0.7,0,-0.7
May-68,1968.375,-0.3,0,-0.3
Jun-68,1968.458,0,0,0
Jul-68,1968.542,0.3,0.3,0
Aug-68,1968.625,0.4,0.4,0
Sep-68,1968.708,0.3,0.3,0
Oct-68,1968.792,0.4,0.4,0
Nov-68,1968.875,0.7,0.7,0
Dec-68,1968.958,0.9,0.9,0
Jan-69,1969.042,1,1,0
Feb-69,1969.125,1,1,0
Mar-69,1969.208,0.9,0.9,0
Apr-69,1969.292,0.7,0.7,0
May-69,1969.375,0.6,0.6,0
Jun-69,1969.458,0.5,0.5,0
Jul-69,1969.542,0.4,0.4,0
Aug-69,1969.625,0.4,0.4,0
Sep-69,1969.708,0.6,0.6,0
Oct-69,1969.792,0.7,0.7,0
Nov-69,1969.875,0.8,0.8,0
Dec-69,1969.958,0.7,0.7,0
Jan-70,1970.042,0.5,0.5,0
Feb-70,1970.125,0.3,0.3,0
Mar-70,1970.208,0.2,0.2,0
Apr-70,1970.292,0.1,0.1,0
May-70,1970.375,0,0,0
Jun-70,1970.458,-0.3,0,-0.3
Jul-70,1970.542,-0.6,0,-0.6
Aug-70,1970.625,-0.8,0,-0.8
Sep-70,1970.708,-0.9,0,-0.9
