The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,
Title,Milankovitch radiation for different latitudes and time periods,,,,,
Source:,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,,,,
Average of 60 and 70 N,,,,,,
BP,Months  7to 7,Annual 65N,Annual global,BP,BP,Global cos-weighted
-788700,471.13,225.07,292.59,-688,-688000,341.029
-788600,471.56,225.09,292.59,-687,-687000,341.027
-788500,472,225.11,292.58,-686,-686000,341.025
-788400,472.43,225.13,292.58,-685,-685000,341.023
-788300,472.87,225.15,292.58,-684,-684000,341.021
-788200,473.31,225.17,292.58,-683,-683000,341.019
-788100,473.74,225.18,292.57,-682,-682000,341.016
-788000,474.18,225.2,292.57,-681,-681000,341.014
-787900,474.61,225.22,292.57,-680,-680000,341.012
-787800,474.81,225.17,292.57,-679,-679000,341.012
-787700,475,225.12,292.56,-678,-678000,341.012
-787600,475.2,225.07,292.56,-677,-677000,341.012
-787500,475.39,225.03,292.56,-676,-676000,341.012
-787400,475.58,224.98,292.56,-675,-675000,341.011
-787300,475.78,224.93,292.55,-674,-674000,341.011
-787200,475.97,224.88,292.55,-673,-673000,341.011
-787100,476.16,224.83,292.55,-672,-672000,341.011
-787000,476.36,224.78,292.55,-671,-671000,341.011
-786900,476.55,224.74,292.54,-670,-670000,341.011
-786800,476.48,224.62,292.54,-669,-669000,341.007
-786700,476.41,224.5,292.53,-668,-668000,341.004
-786600,476.33,224.38,292.52,-667,-667000,341
-786500,476.26,224.26,292.51,-666,-666000,340.997
-786400,476.19,224.14,292.5,-665,-665000,340.993
-786300,476.12,224.02,292.49,-664,-664000,340.99
-786200,476.04,223.9,292.48,-663,-663000,340.987
-786100,475.97,223.78,292.48,-662,-662000,340.983
-786000,475.9,223.66,292.47,-661,-661000,340.98
-785900,475.82,223.54,292.46,-660,-660000,340.976
-785800,475.53,223.38,292.45,-659,-659000,340.976
-785700,475.24,223.22,292.44,-658,-658000,340.977
-785600,474.95,223.06,292.44,-657,-657000,340.977
-785500,474.66,222.9,292.43,-656,-656000,340.978
-785400,474.37,222.74,292.42,-655,-655000,340.978
-785300,474.08,222.58,292.41,-654,-654000,340.978
-785200,473.79,222.41,292.41,-653,-653000,340.979
-785100,473.5,222.25,292.4,-652,-652000,340.979
-785000,473.21,222.09,292.39,-651,-651000,340.979
-784900,472.92,221.93,292.38,-650,-650000,340.98
-784800,472.41,221.73,292.37,-649,-649000,340.98
-784700,471.9,221.53,292.36,-648,-648000,340.981
-784600,471.39,221.33,292.35,-647,-647000,340.981
-784500,470.88,221.13,292.35,-646,-646000,340.982
-784400,470.38,220.93,292.34,-645,-645000,340.982
-784300,469.87,220.73,292.33,-644,-644000,340.982
-784200,469.36,220.53,292.32,-643,-643000,340.983
-784100,468.85,220.33,292.31,-642,-642000,340.983
-784000,468.34,220.13,292.3,-641,-641000,340.984
-783900,467.83,219.93,292.29,-640,-640000,340.984
-783800,467.13,219.71,292.28,-639,-639000,340.984
-783700,466.43,219.49,292.27,-638,-638000,340.984
-783600,465.73,219.27,292.25,-637,-637000,340.984
-783500,465.02,219.04,292.24,-636,-636000,340.984
-783400,464.32,218.82,292.23,-635,-635000,340.985
-783300,463.62,218.6,292.22,-634,-634000,340.985
-783200,462.92,218.38,292.21,-633,-633000,340.985
-783100,462.22,218.16,292.2,-632,-632000,340.985
-783000,461.51,217.94,292.19,-631,-631000,340.985
-782900,460.81,217.71,292.18,-630,-630000,340.985
-782800,460.04,217.5,292.16,-629,-629000,340.982
-782700,459.26,217.29,292.15,-628,-628000,340.979
-782600,458.49,217.08,292.13,-627,-627000,340.977
-782500,457.71,216.87,292.11,-626,-626000,340.974
-782400,456.94,216.66,292.1,-625,-625000,340.971
