years_before_present,CO2_ppm
490513,243.3
489790,242.6
489543,249.3
489064,252.8
488757,240.9
488336,242
487609,237.1
486884,231.3
486111,232.9
485344,233
484533,231.2
483717,231.4
482871,231.4
482000,227.3
481103,223.4
480176,223.8
479212,218.8
478789,220.8
478192,231.3
477787,236.5
477230,239.1
476308,236.6
475286,232.8
474230,233.1
473170,241.2
472163,245.6
471831,243.9
471114,243.7
470665,232.7
470009,229.2
469538,218.7
468878,215.5
468391,206.5
467670,205.5
466333,203.4
464934,204.4
463524,208.1
462201,210
461755,205.2
460860,199.9
459498,194.4
458117,190.7
456659,195.5
455347,202.4
454091,208.3
453582,203.3
452863,204.3
452351,199.1
451661,192.5
450523,193.3
449312,198.4
448171,201.9
447052,204.9
445897,201.2
444718,201.7
443630,208.1
442479,203.5
441288,201.1
439633,199.1
438424,202
437220,201.3
436057,201.7
434872,200.3
433742,207.5
432667,209.8
431513,207.6
431131,211.5
429944,227.2
429074,219.7
427634,242.5
427353,248.2
426666,252.1
426043,255.3
425637,265.4
425310,270
424908,270.8
424400,268.3
423832,267.7
422717,270.6
422142,266.4
421552,268.6
420418,273.8
419876,271.2
419328,273.7
418313,274.6
417766,271.8
417259,273.4
416261,271.7
415785,276.4
415031,271.6
414016,264.9
413030,274.9
411139,283.5
410274,282.6
409451,275.2
408668,284.5
407161,285.6
406436,279.6
404995,280.5
404249,276.5
402799,275.7
402068,283.1
400572,283.2
399790,277.1
398154,276.3
394628,260.7
393647,273.6
392612,259.5
391964,266.3
390014,250.1
388130,255.2
386212,259.2
385466,264.6
384602,258.1
382738,245.8
381200,246.8
379764,239.1
378164,240
376636,227
372714,229.6
371158,224.6
369514,214.7
367924,199.9
366303,201.9
363453,206.3
361025,201.2
358780,185.8
356966,186.1
355370,193
352343,209.2
350993,209.4
349756,216.2
348366,221.1
346048,220.3
344514,211.9
343350,204.8
341870,205.2
340524,200.7
339366,250.1
337459,234.2
336793,239.6
335986,241.9
335355,255.7
334816,270.5
334329,278.6
333958,285.8
333448,278.1
332987,298.6
332530,288.4
332353,289.1
332012,282.4
331506,273.1
330808,272.6
330276,271.7
329543,265
328289,275.1
327658,271.9
327040,270.1
