event,startYear,startEra,endYear,endEra,notes,period,reference
"Oldest Dryas cold, begins slowly and ends sharply (B-S)",16000,BCE,13000,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Antarctic Cold Reversal warmer Antarctic, sea levels rise",12701,BCE,12700,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
