Name,Age_Ma,Diameter_km,Location,Reference,yearsElapsed
Chiyli,46,5.5,Kazakhstan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4550000000
Ragozinka,46,9,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4550000000
Gusev,49,3,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4550000000
Kamensk,49,25,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4550000000
Goat Paddock,50,5.1,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4550000000
Montagnais,50.5,45,"Nova Scotia, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4549500000
Jebel Waqf as Suwwan,56,5.5,Jordan,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4540000000
Marquez,58,12.7,"Texas, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4540000000
Connolly Basin,60,9,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4540000000
Chicxulub,64.98,150,"Yucatan, Mexico",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4535020000
Eagle Butte,65,10,"Alberta, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4540000000
Vista Alegre,65,9.5,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4540000000
Boltysh,65.17,24,Ghana,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4534830000
Chukcha,70,6,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4530000000
Ouarkziz,70,3.5,Algeria,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4530000000
Tin Bider,70,6,Algeria,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4530000000
Kara,70.3,65,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4529700000
Manson,74.1,35,"Iowa, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4525900000
Maple Creek,75,6,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4530000000
Lappajarvi,76.2,23,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4523800000
Zeleny Gai,80,3.5,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4520000000
Wetumpka,81,6.5,"Alabama, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4520000000
