monarchTitle,eventDescription,reignStartYear,reignStartMonth,reignStartDay,reignEndYear,reignEndMonth,reignEndDay,country,house,birthYear,birthMonth,birthDay,deathYear,deathMonth,deathDay,reference,era,yearsBeforePresent
Henry VII,,1485,8,22,1509,4,21,England,Tudor,1457,1,28,1509,4,21,https://en.wikipedia.org/wiki/Henry_VII_of_England,AD,
Henry VIII,,1509,4,22,1547,1,28,England,Tudor,1491,6,28,1547,1,28,https://en.wikipedia.org/wiki/Henry_VIII_of_England,AD,
Edward VI,,1547,1,28,1553,7,6,England,Tudor,1537,10,12,1553,7,6,https://en.wikipedia.org/wiki/Edward_VI_of_England,AD,
Jane,Title disputed,1553,7,10,1553,7,19,England,Tudor,1537,10,,1554,2,12,https://en.wikipedia.org/wiki/Lady_Jane_Grey,AD,
Mary I,Bloody Mary,1553,7,19,1558,11,17,England,Tudor,1516,2,18,1558,11,17,https://en.wikipedia.org/wiki/Mary_I_of_England,AD,
Elizabeth I,,1558,11,17,1603,3,24,England,Tudor,1533,9,7,1603,3,24,https://en.wikipedia.org/wiki/Elizabeth_I_of_England,AD,
James I,,1603,3,24,1625,3,27,England and Scotland,Stuart,1566,6,19,1625,2,27,https://en.wikipedia.org/wiki/James_VI_and_I,AD,
Charles I,,1625,3,27,1649,1,30,England and Scotland,Stuart,1600,11,19,1649,1,30,https://en.wikipedia.org/wiki/Charles_I_of_England,AD,
Oliver Cromwell,Lord Protector,1653,12,16,1658,9,3,England and Scotland,Interregnum,1599,4,25,1658,9,3,https://en.wikipedia.org/wiki/Oliver_Cromwell,AD,
Richard Cromwell,Lord Protector. Tumbledown Dick.,1658,9,3,1659,5,7,England and Scotland,Interregnum,1626,10,4,1712,7,12,https://en.wikipedia.org/wiki/Richard_Cromwell,AD,
Charles II,,1660,5,29,1685,2,6,England and Scotland,Stuart,1630,5,29,1685,2,6,https://en.wikipedia.org/wiki/Charles_II_of_England,AD,
James II,,1685,2,6,1688,12,23,England and Scotland,Stuart,1633,10,14,1701,9,16,https://en.wikipedia.org/wiki/James_II_of_England,AD,
Mary II,,1689,2,13,1694,12,28,England and Scotland,Stuart,1662,4,30,1694,12,28,https://en.wikipedia.org/wiki/Mary_II_of_England,AD,
William III,William of Orange,1689,2,13,1702,3,8,England and Scotland,Stuart,1650,11,4,1702,3,8,https://en.wikipedia.org/wiki/William_III_of_England,AD,
Anne,United the kingdoms of England and Scotland in the Act of Union 1707.,1702,3,8,1707,5,1,England and Scotland,Stuart,1665,2,6,1714,8,1,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain",AD,
Anne,United the kingdoms of England and Scotland in the Act of Union 1707.,1707,5,1,1714,8,1,Great Britain,Stuart,1665,2,6,1714,8,1,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain",AD,
George I,George Louis,1714,8,1,1727,6,11,Great Britain,Hanover,1660,5,28,1727,6,11,https://en.wikipedia.org/wiki/George_I_of_Great_Britain,AD,
George II,George Augustus,1727,6,11,1760,10,25,Great Britain,Hanover,1683,10,30,1760,10,25,https://en.wikipedia.org/wiki/George_II_of_Great_Britain,AD,
George III,George William Frederick,1760,10,25,1820,1,29,Great Britain,Hanover,1738,6,4,1820,1,29,https://en.wikipedia.org/wiki/George_III_of_the_United_Kingdom,AD,
George IV,George Augustus Frederick,1820,1,29,1830,6,26,Great Britain,Hanover,1762,8,12,1830,6,26,https://en.wikipedia.org/wiki/George_IV_of_the_United_Kingdom,AD,
William IV,William Henry,1830,6,26,1837,6,20,Great Britain,Hanover,1765,8,21,1837,6,20,https://en.wikipedia.org/wiki/William_IV_of_the_United_Kingdom,AD,
Victoria,Alexandrina Victoria,1837,6,20,1901,1,22,Great Britain,Hanover,1819,5,24,1901,1,22,https://en.wikipedia.org/wiki/Queen_Victoria,AD,
Edward VII,Albert Edward,1901,1,22,1910,5,6,Great Britain,Saxe-Coburg-Gotha,1814,11,9,1910,5,6,https://en.wikipedia.org/wiki/Edward_VII,AD,
George V,George Frederick Ernest Albert,1910,5,6,1936,1,20,Great Britain,Saxe-Coburg-Gotha,1856,6,3,1936,1,20,https://en.wikipedia.org/wiki/George_V,AD,
Edward VIII,Edward Albert Christian George Andrew Patrick David,1936,1,20,1936,12,11,Great Britain,Windsor,1894,6,23,1972,5,28,https://en.wikipedia.org/wiki/Edward_VIII,AD,
George VI,Albert Frederick Arthur George,1936,12,11,1952,2,6,Great Britain,Windsor,1895,12,14,1952,2,6,https://en.wikipedia.org/wiki/George_VI,AD,
Elizabeth II,Elizabeth Alexandra Mary,1952,2,6,2020,1,8,Great Britain,Windsor,1926,4,21,2020,1,9,https://en.wikipedia.org/wiki/Elizabeth_II,AD,
