Age_Ma,pCO2_probability_maximum,lw95_percent,lw68_percent,up68_percent,up95_percent
68,244.28,150.1,195.93,325.21,445.41
68.5,247.71,146.11,197.46,341.89,466.63
69,261.65,146.36,203.58,359.43,483.28
69.5,278.05,150.05,214.52,380.68,504.84
70,304.07,152.01,224.47,406.79,537.55
70.5,334.7,147.28,236.96,435.2,585.21
71,345.49,141.22,246.4,469.69,633.67
71.5,355.69,136.67,259.75,511.63,674.63
72,369.23,134.42,272.51,548.94,712.36
72.5,397.26,155.84,285.97,575.94,752.4
73,435.21,162.71,305.91,599.19,781.54
73.5,454.2,183.39,330.51,634.55,818.85
74,487.96,198.34,346.51,678.57,873.89
74.5,515.38,212.31,365.34,717.03,936.12
75,559.27,228.82,379.27,752.62,995.67
75.5,584.05,249.26,391.77,783.81,1012.84
76,611.01,268.11,411.19,817.16,1043.55
76.5,624.52,270.48,425.91,847.1,1079.28
77,649.32,277.6,440.4,883.05,1149.12
77.5,680.95,288.62,455.92,927.87,1182.12
78,714.54,277.58,460.81,977.26,1226.3
78.5,696.89,265.66,467.73,1002.85,1274.43
79,692.48,264.81,477.78,1021.46,1314.89
79.5,685.23,275.67,478.63,1043.25,1344.54
80,675.53,284.87,483.95,1055.92,1358.22
80.5,677.98,278.64,484.3,1068.08,1377.85
81,659.94,274.95,476.38,1085.67,1397.98
81.5,668.49,272.1,478.13,1101.95,1420.14
82,683.89,253.6,479.7,1103.14,1437.78
82.5,699.49,245.36,476.76,1098.32,1429.22
83,680.8,250.84,476.82,1094.69,1412.29
83.5,634.3,232.67,473.63,1065.76,1378.08
84,623.45,223.49,465.19,1050.45,1360.85
84.5,614.81,213.57,460.89,1044.89,1338.61
85,619.42,196.1,441.81,1032.74,1344.99
85.5,629.72,199.56,435.96,1015.83,1361.26
86,611.63,202.85,420.39,991.87,1346.3
86.5,601.04,198.88,419.45,951.28,1309.67
87,574.15,198.18,398.41,915.43,1290.36
87.5,574.37,194.65,371.08,884.78,1256.57
88,558.55,145.34,353.95,867.6,1273.62
88.5,498.7,115.81,338.79,854.83,1268.5
89,477.51,103.72,321.41,834.04,1234.29
89.5,455.56,112.88,318.49,801.5,1179.88
90,450.16,136.28,316.92,777.23,1119.39
90.5,473.13,160.58,316.55,757.33,1044.34
91,481.15,177.34,319.32,728.16,977.08
91.5,479.48,188.33,325.36,712.75,947.91
92,462.19,201.49,337.57,699.79,921.67
92.5,467.86,218.5,358.72,696.25,893.14
93,496.03,253.21,388.63,700.77,862.37
93.5,522.13,293.08,410.85,714.74,868.69
94,535.3,312.53,427.26,734.36,879.68
94.5,568.52,329.03,439.67,757.84,926.34
95,596.8,327.61,447.84,793.12,964.61
95.5,609.86,339.95,464.44,814.94,1014.81
96,622.05,356.71,487.55,851.76,1068.84
96.5,650.13,371.62,510.91,892.86,1127.38
97,691.83,379.83,536.02,936.5,1201.3
97.5,730.74,387.25,557.53,986.86,1246.52
98,777.35,390.98,578.98,1022.17,1305.92
98.5,814.98,405.88,603.91,1055.18,1322.65
99,805.8,453.26,634.12,1077.17,1332.98
99.5,833.61,492.1,670.85,1105.62,1342.03
100,862.05,529.03,709.93,1129.71,1351.09
100.5,898.53,566.59,738.74,1161.08,1364.69
101,945.01,589.27,767.71,1191.29,1371.41
101.5,965.86,625.55,790.22,1210.7,1409.24
102,986.66,652.85,813.97,1223.24,1402.44
102.5,1006.27,682.31,827.02,1235.87,1403.14
