yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
781800,215.42,292.01,340.956,,
781700,215.22,291.99,340.955,,
781600,215.02,291.98,340.953,,
781500,214.82,291.96,340.952,,
781400,214.63,291.95,340.951,,
781300,214.43,291.93,340.95,,
781200,214.23,291.91,340.949,,
781100,214.03,291.9,340.947,,
781000,213.83,291.88,340.946,,
780900,213.64,291.87,340.945,,
780800,213.48,291.85,340.945,,
780700,213.33,291.84,340.945,,
780600,213.17,291.82,340.945,,
780500,213.02,291.81,340.946,,
780400,212.86,291.79,340.946,,
780300,212.7,291.78,340.946,,
780200,212.55,291.76,340.946,,
780100,212.39,291.75,340.947,,
780000,212.24,291.73,340.947,,
779900,212.08,291.72,340.947,,
779800,211.99,291.7,340.943,,
779700,211.89,291.68,340.939,,
779600,211.8,291.66,340.935,,
779500,211.7,291.64,340.931,,
779400,211.61,291.62,340.927,,
779300,211.51,291.6,340.923,,
779200,211.42,291.58,340.918,,
779100,211.32,291.56,340.914,,
779000,211.23,291.54,340.91,,
778900,211.13,291.52,340.906,,
778800,211.08,291.51,340.904,,
778700,211.03,291.49,340.902,,
778600,210.98,291.47,340.899,,
778500,210.93,291.45,340.897,,
778400,210.88,291.43,340.895,,
778300,210.83,291.41,340.893,,
778200,210.78,291.4,340.89,,
778100,210.73,291.38,340.888,,
778000,210.68,291.36,340.886,,
777900,210.63,291.34,340.884,,
777800,210.63,291.32,340.882,,
777700,210.64,291.31,340.88,,
777600,210.64,291.29,340.878,,
777500,210.65,291.27,340.877,,
777400,210.65,291.25,340.875,,
777300,210.65,291.23,340.873,,
777200,210.66,291.21,340.871,,
777100,210.66,291.19,340.87,,
777000,210.67,291.18,340.868,,
776900,210.67,291.16,340.866,,
776800,210.73,291.14,340.864,,
776700,210.79,291.12,340.862,,
776600,210.85,291.1,340.86,,
776500,210.91,291.08,340.859,,
776400,210.97,291.07,340.857,,
776300,211.03,291.05,340.855,,
776200,211.09,291.03,340.853,,
776100,211.15,291.01,340.851,,
776000,211.22,290.99,340.849,,
775900,211.28,290.97,340.848,,
775800,211.37,290.95,340.846,,
775700,211.47,290.94,340.844,,
775600,211.57,290.92,340.842,,
775500,211.67,290.9,340.841,,
775400,211.77,290.88,340.839,,
775300,211.87,290.86,340.837,,
775200,211.97,290.85,340.835,,
775100,212.07,290.83,340.833,,
775000,212.17,290.81,340.832,,
774900,212.26,290.79,340.83,,
774800,212.39,290.77,340.828,,
774700,212.51,290.76,340.827,,
774600,212.63,290.74,340.825,,
774500,212.76,290.73,340.824,,
774400,212.88,290.71,340.822,,
774300,213,290.69,340.821,,
774200,213.13,290.68,340.82,,
774100,213.25,290.66,340.818,,
774000,213.37,290.65,340.817,,
773900,213.5,290.63,340.815,,
773800,213.63,290.61,340.813,,
773700,213.77,290.6,340.81,,
773600,213.9,290.58,340.808,,
773500,214.04,290.57,340.805,,
773400,214.17,290.55,340.803,,
773300,214.31,290.53,340.8,,
773200,214.44,290.52,340.798,,
773100,214.58,290.5,340.796,,
773000,214.71,290.49,340.793,,
772900,214.85,290.47,340.791,,
772800,214.97,290.45,340.788,,
772700,215.09,290.44,340.785,,
772600,215.22,290.42,340.783,,
772500,215.34,290.41,340.78,,
772400,215.46,290.39,340.777,,
772300,215.59,290.38,340.774,,
772200,215.71,290.36,340.772,,
772100,215.83,290.35,340.769,,
772000,215.96,290.33,340.766,,
771900,216.08,290.31,340.764,,
771800,216.17,290.3,340.763,,
771700,216.27,290.29,340.763,,
771600,216.36,290.28,340.762,,
771500,216.46,290.27,340.762,,
771400,216.55,290.26,340.761,,
771300,216.65,290.24,340.761,,
771200,216.74,290.23,340.761,,
771100,216.84,290.22,340.76,,
771000,216.93,290.21,340.76,,
770900,217.03,290.2,340.759,,
770800,217.1,290.19,340.755,,
770700,217.16,290.17,340.751,,
770600,217.23,290.16,340.747,,
770500,217.3,290.15,340.743,,
770400,217.37,290.14,340.739,,
770300,217.44,290.12,340.735,,
770200,217.51,290.11,340.731,,
770100,217.58,290.1,340.727,,
770000,217.64,290.09,340.723,,
769900,217.71,290.07,340.719,,
769800,217.74,290.06,340.716,,
769700,217.76,290.05,340.712,,
769600,217.79,290.04,340.709,,
769500,217.81,290.03,340.705,,
769400,217.83,290.02,340.701,,
769300,217.86,290.01,340.698,,
769200,217.88,290,340.694,,
769100,217.91,289.99,340.691,,
769000,217.93,289.98,340.687,,
768900,217.96,289.96,340.684,,
768800,217.94,289.96,340.681,,
768700,217.92,289.95,340.679,,
768600,217.9,289.94,340.677,,
768500,217.88,289.94,340.675,,
768400,217.86,289.93,340.673,,
768300,217.85,289.92,340.67,,
768200,217.83,289.91,340.668,,
768100,217.81,289.91,340.666,,
768000,217.79,289.9,340.664,,
767900,217.77,289.89,340.662,,
767800,217.72,289.89,340.661,,
767700,217.67,289.88,340.66,,
767600,217.62,289.88,340.659,,
767500,217.57,289.88,340.658,,
767400,217.52,289.87,340.657,,
767300,217.47,289.87,340.656,,
767200,217.42,289.86,340.656,,
767100,217.37,289.86,340.655,,
767000,217.32,289.85,340.654,,
766900,217.27,289.85,340.653,,
766800,217.19,289.85,340.652,,
766700,217.1,289.84,340.651,,
766600,217.02,289.84,340.65,,
766500,216.94,289.84,340.649,,
766400,216.86,289.84,340.648,,
766300,216.77,289.84,340.647,,
766200,216.69,289.83,340.646,,
766100,216.61,289.83,340.645,,
766000,216.52,289.83,340.645,,
765900,216.44,289.83,340.644,,
765800,216.34,289.83,340.641,,
765700,216.25,289.83,340.638,,
765600,216.15,289.83,340.636,,
765500,216.05,289.82,340.633,,
765400,215.96,289.82,340.63,,
765300,215.86,289.82,340.628,,
765200,215.76,289.82,340.625,,
765100,215.67,289.82,340.622,,
765000,215.57,289.82,340.62,,
764900,215.47,289.82,340.617,,
764800,215.36,289.82,340.615,,
764700,215.25,289.82,340.613,,
764600,215.13,289.82,340.61,,
764500,215.02,289.83,340.608,,
764400,214.91,289.83,340.606,,
764300,214.8,289.83,340.604,,
764200,214.68,289.83,340.602,,
764100,214.57,289.83,340.599,,
764000,214.46,289.83,340.597,,
763900,214.34,289.83,340.595,,
763800,214.25,289.84,340.592,,
763700,214.15,289.84,340.589,,
763600,214.06,289.84,340.586,,
763500,213.96,289.85,340.583,,
763400,213.87,289.85,340.58,,
763300,213.77,289.85,340.577,,
763200,213.68,289.86,340.574,,
763100,213.58,289.86,340.571,,
763000,213.49,289.86,340.568,,
762900,213.39,289.86,340.565,,
762800,213.32,289.87,340.564,,
762700,213.24,289.88,340.563,,
762600,213.16,289.89,340.561,,
762500,213.09,289.89,340.56,,
762400,213.01,289.9,340.559,,
762300,212.93,289.91,340.558,,
762200,212.86,289.92,340.556,,
