yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
636400,211.81,290.36,340.687,,
636300,211.75,290.38,340.691,,
636200,211.69,290.4,340.695,,
636100,211.62,290.41,340.7,,
636000,211.56,290.43,340.704,,
635900,211.5,290.45,340.709,,
635800,211.43,290.46,340.71,,
635700,211.36,290.48,340.711,,
635600,211.3,290.49,340.713,,
635500,211.23,290.51,340.714,,
635400,211.16,290.53,340.716,,
635300,211.1,290.54,340.717,,
635200,211.03,290.56,340.718,,
635100,210.97,290.58,340.72,,
635000,210.9,290.59,340.721,,
634900,210.83,290.61,340.723,,
634800,210.8,290.63,340.73,,
634700,210.76,290.65,340.737,,
634600,210.73,290.68,340.744,,
634500,210.69,290.7,340.751,,
634400,210.66,290.72,340.758,,
634300,210.63,290.75,340.766,,
634200,210.59,290.77,340.773,,
634100,210.56,290.79,340.78,,
634000,210.52,290.82,340.787,,
633900,210.49,290.84,340.794,,
633800,210.48,290.86,340.798,,
633700,210.46,290.88,340.802,,
633600,210.45,290.9,340.806,,
633500,210.44,290.92,340.81,,
633400,210.43,290.94,340.814,,
633300,210.42,290.96,340.818,,
633200,210.4,290.98,340.822,,
633100,210.39,291,340.827,,
633000,210.38,291.02,340.831,,
632900,210.37,291.05,340.835,,
632800,210.4,291.07,340.841,,
632700,210.43,291.09,340.848,,
632600,210.46,291.12,340.854,,
632500,210.49,291.14,340.861,,
632400,210.52,291.17,340.867,,
632300,210.55,291.19,340.874,,
632200,210.58,291.22,340.881,,
632100,210.61,291.24,340.887,,
632000,210.64,291.27,340.894,,
631900,210.67,291.29,340.9,,
631800,210.75,291.31,340.903,,
631700,210.82,291.33,340.906,,
631600,210.89,291.36,340.909,,
631500,210.97,291.38,340.913,,
631400,211.04,291.4,340.916,,
631300,211.12,291.42,340.919,,
631200,211.19,291.44,340.922,,
631100,211.27,291.46,340.925,,
631000,211.34,291.49,340.928,,
630900,211.42,291.51,340.931,,
630800,211.54,291.53,340.938,,
630700,211.67,291.56,340.945,,
630600,211.79,291.58,340.952,,
630500,211.92,291.61,340.96,,
630400,212.04,291.64,340.967,,
630300,212.17,291.66,340.974,,
630200,212.29,291.69,340.981,,
630100,212.42,291.71,340.988,,
630000,212.54,291.74,340.995,,
629900,212.67,291.76,341.002,,
629800,212.83,291.79,341.009,,
629700,213,291.81,341.015,,
629600,213.16,291.83,341.022,,
629500,213.32,291.85,341.028,,
629400,213.49,291.88,341.034,,
629300,213.65,291.9,341.041,,
629200,213.81,291.92,341.047,,
629100,213.98,291.94,341.054,,
629000,214.14,291.97,341.06,,
628900,214.3,291.99,341.066,,
628800,214.51,292.01,341.073,,
628700,214.71,292.03,341.079,,
628600,214.91,292.06,341.086,,
628500,215.12,292.08,341.092,,
628400,215.32,292.1,341.099,,
628300,215.53,292.12,341.105,,
628200,215.73,292.14,341.112,,
628100,215.93,292.17,341.118,,
628000,216.14,292.19,341.125,,
627900,216.34,292.21,341.131,,
627800,216.57,292.23,341.139,,
627700,216.8,292.25,341.147,,
627600,217.03,292.28,341.155,,
627500,217.26,292.3,341.163,,
627400,217.49,292.32,341.172,,
627300,217.72,292.34,341.18,,
627200,217.95,292.36,341.188,,
627100,218.18,292.38,341.196,,
627000,218.41,292.41,341.204,,
626900,218.64,292.43,341.212,,
626800,218.89,292.45,341.218,,
626700,219.13,292.47,341.224,,
626600,219.38,292.48,341.23,,
626500,219.63,292.5,341.236,,
626400,219.87,292.52,341.242,,
626300,220.12,292.54,341.248,,
626200,220.36,292.56,341.254,,
626100,220.61,292.58,341.261,,
626000,220.86,292.6,341.267,,
625900,221.1,292.62,341.273,,
625800,221.34,292.63,341.279,,
625700,221.57,292.65,341.285,,
625600,221.81,292.66,341.292,,
625500,222.04,292.68,341.298,,
625400,222.27,292.69,341.304,,
625300,222.51,292.71,341.31,,
625200,222.74,292.73,341.317,,
625100,222.98,292.74,341.323,,
625000,223.21,292.76,341.329,,
624900,223.44,292.77,341.335,,
624800,223.66,292.79,341.343,,
624700,223.87,292.8,341.35,,
624600,224.08,292.82,341.357,,
624500,224.29,292.83,341.365,,
624400,224.5,292.85,341.372,,
624300,224.72,292.86,341.379,,
624200,224.93,292.88,341.386,,
624100,225.14,292.89,341.394,,
624000,225.35,292.91,341.401,,
623900,225.56,292.93,341.408,,
623800,225.73,292.94,341.414,,
623700,225.89,292.95,341.42,,
623600,226.05,292.96,341.425,,
623500,226.22,292.97,341.431,,
623400,226.38,292.98,341.437,,
623300,226.54,292.99,341.443,,
623200,226.71,293,341.449,,
623100,226.87,293.01,341.454,,
623000,227.03,293.02,341.46,,
622900,227.2,293.03,341.466,,
622800,227.3,293.04,341.475,,
622700,227.4,293.05,341.484,,
622600,227.51,293.06,341.493,,
622500,227.61,293.07,341.502,,
622400,227.71,293.08,341.511,,
622300,227.81,293.09,341.52,,
622200,227.92,293.1,341.529,,
622100,228.02,293.11,341.538,,
622000,228.12,293.12,341.547,,
621900,228.23,293.13,341.556,,
621800,228.25,293.13,341.562,,
621700,228.28,293.13,341.567,,
621600,228.31,293.14,341.572,,
621500,228.33,293.14,341.577,,
621400,228.36,293.15,341.582,,
621300,228.38,293.15,341.587,,
621200,228.41,293.15,341.592,,
621100,228.44,293.16,341.597,,
621000,228.46,293.16,341.602,,
620900,228.49,293.17,341.607,,
620800,228.43,293.17,341.615,,
620700,228.37,293.17,341.624,,
620600,228.31,293.17,341.632,,
620500,228.25,293.18,341.64,,
620400,228.2,293.18,341.649,,
620300,228.14,293.18,341.657,,
620200,228.08,293.19,341.666,,
620100,228.02,293.19,341.674,,
620000,227.96,293.19,341.683,,
619900,227.9,293.19,341.691,,
619800,227.76,293.19,341.697,,
619700,227.62,293.19,341.704,,
619600,227.47,293.19,341.71,,
619500,227.33,293.18,341.717,,
619400,227.19,293.18,341.723,,
619300,227.04,293.18,341.729,,
619200,226.9,293.18,341.736,,
619100,226.76,293.17,341.742,,
619000,226.61,293.17,341.749,,
618900,226.47,293.17,341.755,,
618800,226.25,293.16,341.762,,
618700,226.03,293.16,341.769,,
618600,225.81,293.15,341.776,,
618500,225.59,293.15,341.783,,
618400,225.37,293.14,341.789,,
618300,225.15,293.14,341.796,,
618200,224.93,293.13,341.803,,
618100,224.71,293.13,341.81,,
618000,224.49,293.13,341.817,,
617900,224.27,293.12,341.824,,
617800,223.99,293.11,341.831,,
617700,223.71,293.1,341.837,,
617600,223.42,293.1,341.844,,
617500,223.14,293.09,341.851,,
617400,222.86,293.08,341.857,,
617300,222.58,293.07,341.864,,
617200,222.29,293.07,341.871,,
617100,222.01,293.06,341.877,,
617000,221.73,293.05,341.884,,
616900,221.45,293.04,341.891,,
616800,221.13,293.03,341.898,,
616700,220.81,293.02,341.905,,
616600,220.49,293.01,341.913,,
616500,220.17,293,341.92,,
616400,219.85,293,341.927,,
616300,219.53,292.99,341.935,,
616200,219.21,292.98,341.942,,
616100,218.9,292.97,341.95,,
616000,218.58,292.96,341.957,,
615900,218.26,292.95,341.964,,
615800,217.92,292.94,341.972,,
615700,217.59,292.93,341.98,,
615600,217.26,292.92,341.987,,
615500,216.93,292.91,341.995,,
615400,216.59,292.9,342.003,,
615300,216.26,292.89,342.01,,
615200,215.93,292.88,342.018,,
615100,215.59,292.87,342.026,,
615000,215.26,292.86,342.034,,
614900,214.93,292.85,342.041,,
614800,214.6,292.84,342.051,,
614700,214.27,292.83,342.061,,
614600,213.95,292.82,342.071,,
614500,213.62,292.81,342.08,,
614400,213.29,292.8,342.09,,
614300,212.97,292.78,342.1,,
614200,212.64,292.77,342.11,,
614100,212.31,292.76,342.119,,
614000,211.99,292.75,342.129,,
613900,211.66,292.74,342.139,,
613800,211.38,292.73,342.144,,
613700,211.1,292.71,342.148,,
613600,210.82,292.7,342.153,,
613500,210.55,292.68,342.157,,
613400,210.27,292.67,342.162,,
613300,209.99,292.65,342.166,,
613200,209.71,292.64,342.171,,
613100,209.43,292.62,342.175,,
613000,209.15,292.61,342.18,,
612900,208.87,292.59,342.184,,
612800,208.66,292.58,342.189,,
612700,208.44,292.56,342.194,,
612600,208.22,292.55,342.199,,
612500,208,292.53,342.204,,
612400,207.78,292.51,342.209,,
612300,207.57,292.5,342.214,,
612200,207.35,292.48,342.22,,
612100,207.13,292.47,342.225,,
612000,206.91,292.45,342.23,,
611900,206.7,292.44,342.235,,
611800,206.56,292.42,342.24,,
611700,206.42,292.41,342.246,,
611600,206.28,292.39,342.251,,
611500,206.15,292.37,342.257,,
611400,206.01,292.36,342.262,,
611300,205.87,292.34,342.268,,
611200,205.73,292.33,342.274,,
611100,205.6,292.31,342.279,,
611000,205.46,292.3,342.285,,
610900,205.32,292.28,342.29,,
610800,205.29,292.27,342.297,,
610700,205.26,292.25,342.304,,
610600,205.23,292.24,342.311,,
610500,205.2,292.22,342.319,,
610400,205.17,292.21,342.326,,
610300,205.14,292.2,342.333,,
610200,205.11,292.18,342.34,,
610100,205.08,292.17,342.347,,
610000,205.05,292.15,342.354,,
609900,205.02,292.14,342.361,,
609800,205.08,292.12,342.365,,
609700,205.14,292.1,342.368,,
609600,205.2,292.09,342.372,,
609500,205.25,292.07,342.375,,
609400,205.31,292.05,342.379,,
609300,205.37,292.03,342.382,,
609200,205.43,292.02,342.386,,
609100,205.49,292,342.389,,
609000,205.55,291.98,342.393,,
608900,205.61,291.97,342.396,,
608800,205.77,291.95,342.404,,
608700,205.94,291.94,342.411,,
608600,206.11,291.93,342.418,,
608500,206.28,291.91,342.426,,
608400,206.44,291.9,342.433,,
608300,206.61,291.89,342.44,,
608200,206.78,291.88,342.447,,
608100,206.95,291.86,342.455,,
608000,207.11,291.85,342.462,,
607900,207.28,291.84,342.469,,
607800,207.52,291.82,342.473,,
607700,207.76,291.81,342.476,,
607600,208.01,291.79,342.48,,
607500,208.25,291.78,342.483,,
607400,208.49,291.77,342.486,,
607300,208.73,291.75,342.49,,
607200,208.98,291.74,342.493,,
607100,209.22,291.72,342.496,,
607000,209.46,291.71,342.5,,
606900,209.7,291.7,342.503,,
606800,210.01,291.68,342.508,,
606700,210.32,291.67,342.513,,
606600,210.63,291.66,342.518,,
606500,210.94,291.65,342.522,,
606400,211.25,291.64,342.527,,
606300,211.55,291.63,342.532,,
606200,211.86,291.62,342.537,,
606100,212.17,291.61,342.542,,
606000,212.48,291.6,342.547,,
605900,212.79,291.59,342.551,,
605800,213.13,291.58,342.557,,
605700,213.46,291.57,342.563,,
605600,213.8,291.56,342.568,,
605500,214.14,291.56,342.574,,
605400,214.47,291.55,342.579,,
605300,214.81,291.54,342.585,,
605200,215.15,291.53,342.59,,
605100,215.49,291.52,342.596,,
605000,215.82,291.52,342.602,,
604900,216.16,291.51,342.607,,
604800,216.49,291.5,342.611,,
604700,216.83,291.5,342.616,,
604600,217.16,291.49,342.62,,
604500,217.49,291.49,342.624,,
604400,217.82,291.48,342.628,,
604300,218.16,291.48,342.633,,
604200,218.49,291.47,342.637,,
604100,218.82,291.47,342.641,,
604000,219.16,291.46,342.645,,
603900,219.49,291.46,342.65,,
603800,219.79,291.45,342.652,,
603700,220.1,291.45,342.654,,
603600,220.4,291.45,342.657,,
603500,220.71,291.44,342.659,,
603400,221.01,291.44,342.661,,
603300,221.32,291.44,342.664,,
603200,221.62,291.43,342.666,,
603100,221.93,291.43,342.668,,
603000,222.23,291.43,342.671,,
602900,222.54,291.43,342.673,,
602800,222.78,291.43,342.675,,
602700,223.02,291.43,342.678,,
602600,223.27,291.43,342.68,,
602500,223.51,291.43,342.682,,
602400,223.76,291.43,342.684,,
602300,224,291.43,342.687,,
602200,224.25,291.43,342.689,,
602100,224.49,291.43,342.691,,
602000,224.73,291.43,342.693,,
601900,224.98,291.43,342.696,,
601800,225.13,291.43,342.702,,
601700,225.29,291.43,342.708,,
601600,225.45,291.44,342.714,,
601500,225.61,291.44,342.72,,
601400,225.76,291.45,342.725,,
601300,225.92,291.45,342.731,,
601200,226.08,291.46,342.737,,
601100,226.24,291.46,342.743,,
601000,226.39,291.47,342.749,,
600900,226.55,291.47,342.755,,
600800,226.61,291.48,342.757,,
600700,226.67,291.48,342.759,,
600600,226.73,291.49,342.76,,
600500,226.79,291.49,342.762,,
600400,226.84,291.5,342.764,,
600300,226.9,291.5,342.765,,
600200,226.96,291.5,342.767,,
600100,227.02,291.51,342.769,,
600000,227.08,291.51,342.77,,
599900,227.14,291.52,342.772,,
599800,227.08,291.53,342.776,,
599700,227.03,291.54,342.779,,
599600,226.97,291.55,342.783,,
599500,226.92,291.55,342.786,,
599400,226.86,291.56,342.79,,
599300,226.81,291.57,342.793,,
599200,226.76,291.58,342.797,,
599100,226.7,291.59,342.8,,
599000,226.65,291.6,342.804,,
598900,226.59,291.61,342.807,,
598800,226.44,291.61,342.806,,
598700,226.29,291.62,342.805,,
598600,226.14,291.63,342.804,,
598500,225.99,291.63,342.803,,
598400,225.85,291.64,342.802,,
598300,225.7,291.65,342.801,,
598200,225.55,291.65,342.8,,
598100,225.4,291.66,342.799,,
598000,225.25,291.66,342.798,,
597900,225.1,291.67,342.797,,
597800,224.85,291.68,342.797,,
597700,224.61,291.69,342.797,,
597600,224.36,291.7,342.796,,
597500,224.11,291.71,342.796,,
597400,223.87,291.72,342.796,,
597300,223.62,291.73,342.795,,
597200,223.38,291.75,342.795,,
597100,223.13,291.76,342.794,,
597000,222.88,291.77,342.794,,
596900,222.64,291.78,342.794,,
596800,222.34,291.79,342.795,,
596700,222.04,291.81,342.797,,
596600,221.74,291.82,342.798,,
596500,221.44,291.83,342.8,,
596400,221.14,291.85,342.801,,
596300,220.84,291.86,342.803,,
596200,220.55,291.88,342.804,,
596100,220.25,291.89,342.806,,
596000,219.95,291.9,342.807,,
595900,219.65,291.92,342.809,,
595800,219.31,291.93,342.808,,
595700,218.98,291.95,342.808,,
595600,218.64,291.96,342.807,,
595500,218.3,291.98,342.806,,
595400,217.97,291.99,342.806,,
595300,217.63,292.01,342.805,,
595200,217.29,292.02,342.804,,
595100,216.95,292.04,342.804,,
595000,216.62,292.05,342.803,,
594900,216.28,292.07,342.802,,
594800,215.94,292.09,342.802,,
594700,215.59,292.1,342.802,,
594600,215.25,292.12,342.801,,
594500,214.91,292.14,342.801,,
594400,214.57,292.15,342.801,,
594300,214.22,292.17,342.8,,
594200,213.88,292.19,342.8,,
594100,213.54,292.2,342.8,,
594000,213.19,292.22,342.799,,
593900,212.85,292.24,342.799,,
593800,212.54,292.26,342.8,,
593700,212.22,292.28,342.802,,
593600,211.91,292.3,342.803,,
593500,211.6,292.32,342.805,,
593400,211.29,292.34,342.806,,
593300,210.97,292.36,342.808,,
593200,210.66,292.38,342.809,,
593100,210.35,292.4,342.81,,
593000,210.03,292.42,342.812,,
592900,209.72,292.44,342.813,,
592800,209.47,292.46,342.809,,
592700,209.21,292.47,342.804,,
592600,208.96,292.49,342.8,,
592500,208.71,292.51,342.795,,
592400,208.45,292.52,342.791,,
592300,208.2,292.54,342.786,,
592200,207.94,292.56,342.782,,
592100,207.69,292.57,342.777,,
592000,207.43,292.59,342.773,,
591900,207.18,292.61,342.768,,
591800,207.02,292.63,342.768,,
591700,206.87,292.65,342.768,,
591600,206.71,292.67,342.768,,
591500,206.56,292.69,342.767,,
591400,206.4,292.71,342.767,,
591300,206.25,292.73,342.767,,
591200,206.09,292.75,342.767,,
591100,205.94,292.78,342.766,,
591000,205.78,292.8,342.766,,
590900,205.63,292.82,342.766,,
590800,205.56,292.84,342.766,,
590700,205.49,292.86,342.766,,
590600,205.43,292.88,342.766,,
590500,205.36,292.9,342.766,,
590400,205.29,292.92,342.766,,
590300,205.23,292.94,342.766,,
590200,205.16,292.96,342.765,,
590100,205.09,292.98,342.765,,
590000,205.03,293,342.765,,
589900,204.96,293.02,342.765,,
589800,205.01,293.04,342.764,,
589700,205.05,293.06,342.762,,
589600,205.1,293.08,342.761,,
589500,205.15,293.1,342.759,,
589400,205.19,293.12,342.758,,
589300,205.24,293.13,342.757,,
589200,205.28,293.15,342.755,,
589100,205.33,293.17,342.754,,
589000,205.38,293.19,342.752,,
588900,205.42,293.21,342.751,,
588800,205.57,293.23,342.748,,
588700,205.72,293.24,342.745,,
588600,205.87,293.26,342.742,,
588500,206.01,293.28,342.739,,
588400,206.16,293.29,342.736,,
588300,206.31,293.31,342.733,,
588200,206.46,293.32,342.731,,
588100,206.6,293.34,342.728,,
588000,206.75,293.36,342.725,,
587900,206.9,293.37,342.722,,
587800,207.14,293.39,342.716,,
587700,207.39,293.4,342.711,,
587600,207.64,293.41,342.705,,
587500,207.88,293.43,342.7,,
587400,208.13,293.44,342.694,,
587300,208.37,293.45,342.688,,
587200,208.62,293.46,342.683,,
587100,208.87,293.48,342.677,,
587000,209.11,293.49,342.672,,
586900,209.36,293.5,342.666,,
586800,209.68,293.52,342.665,,
586700,210,293.53,342.665,,
586600,210.32,293.55,342.664,,
586500,210.63,293.56,342.663,,
586400,210.95,293.58,342.663,,
586300,211.27,293.59,342.662,,
586200,211.59,293.61,342.661,,
586100,211.91,293.63,342.661,,
586000,212.23,293.64,342.66,,
585900,212.55,293.66,342.659,,
585800,212.91,293.67,342.655,,
585700,213.27,293.68,342.65,,
585600,213.64,293.69,342.645,,
585500,214,293.7,342.641,,
585400,214.36,293.71,342.636,,
585300,214.73,293.72,342.632,,
585200,215.09,293.73,342.627,,
585100,215.45,293.74,342.623,,
585000,215.82,293.75,342.618,,
584900,216.18,293.76,342.614,,
584800,216.56,293.77,342.611,,
584700,216.95,293.79,342.608,,
584600,217.34,293.8,342.604,,
584500,217.72,293.81,342.601,,
584400,218.11,293.82,342.598,,
584300,218.49,293.83,342.595,,
584200,218.88,293.84,342.592,,
584100,219.26,293.85,342.589,,
584000,219.65,293.86,342.586,,
583900,220.03,293.87,342.583,,
583800,220.4,293.88,342.578,,
583700,220.78,293.89,342.573,,
583600,221.15,293.89,342.568,,
583500,221.52,293.9,342.563,,
583400,221.89,293.91,342.558,,
583300,222.26,293.92,342.554,,
583200,222.63,293.93,342.549,,
583100,223,293.93,342.544,,
583000,223.38,293.94,342.539,,
582900,223.75,293.95,342.534,,
582800,224.08,293.96,342.528,,
582700,224.41,293.96,342.523,,
582600,224.74,293.97,342.517,,
582500,225.07,293.97,342.511,,
582400,225.4,293.97,342.506,,
582300,225.73,293.98,342.5,,
582200,226.06,293.98,342.495,,
582100,226.39,293.99,342.489,,
582000,226.73,293.99,342.483,,
581900,227.06,294,342.478,,
581800,227.32,294,342.475,,
581700,227.58,294.01,342.471,,
581600,227.84,294.01,342.468,,
581500,228.1,294.02,342.465,,
581400,228.36,294.02,342.462,,
581300,228.62,294.03,342.459,,
581200,228.88,294.03,342.456,,
581100,229.14,294.04,342.453,,
581000,229.4,294.04,342.449,,
580900,229.66,294.05,342.446,,
580800,229.82,294.05,342.439,,
580700,229.98,294.04,342.432,,
580600,230.14,294.04,342.425,,
580500,230.3,294.04,342.418,,
580400,230.47,294.04,342.41,,
580300,230.63,294.04,342.403,,
580200,230.79,294.03,342.396,,
580100,230.95,294.03,342.389,,
580000,231.11,294.03,342.382,,
579900,231.27,294.03,342.374,,
579800,231.34,294.02,342.369,,
579700,231.41,294.02,342.364,,
579600,231.48,294.02,342.36,,
579500,231.55,294.02,342.355,,
579400,231.62,294.01,342.35,,
579300,231.69,294.01,342.345,,
579200,231.75,294.01,342.34,,
579100,231.82,294.01,342.335,,
579000,231.89,294,342.33,,
578900,231.96,294,342.325,,
578800,231.92,294,342.32,,
578700,231.88,293.99,342.316,,
578600,231.84,293.98,342.311,,
578500,231.81,293.98,342.306,,
578400,231.77,293.97,342.302,,
578300,231.73,293.96,342.297,,
578200,231.69,293.96,342.292,,
578100,231.65,293.95,342.288,,
578000,231.61,293.94,342.283,,
577900,231.58,293.94,342.279,,
577800,231.45,293.93,342.272,,
577700,231.31,293.92,342.266,,
577600,231.18,293.91,342.259,,
577500,231.05,293.9,342.253,,
577400,230.92,293.89,342.247,,
577300,230.79,293.88,342.24,,
577200,230.66,293.87,342.234,,
577100,230.53,293.86,342.227,,
577000,230.4,293.85,342.221,,
576900,230.26,293.84,342.215,,
576800,230.04,293.83,342.209,,
576700,229.82,293.81,342.203,,
576600,229.6,293.8,342.198,,
576500,229.38,293.79,342.192,,
576400,229.15,293.77,342.187,,
576300,228.93,293.76,342.181,,
576200,228.71,293.75,342.176,,
576100,228.49,293.73,342.17,,
576000,228.27,293.72,342.165,,
575900,228.04,293.7,342.159,,
575800,227.76,293.69,342.153,,
575700,227.47,293.67,342.146,,
575600,227.19,293.66,342.139,,
575500,226.9,293.64,342.133,,
575400,226.61,293.62,342.126,,
575300,226.33,293.61,342.119,,
575200,226.04,293.59,342.113,,
575100,225.75,293.58,342.106,,
575000,225.47,293.56,342.099,,
574900,225.18,293.55,342.093,,
574800,224.85,293.53,342.086,,
574700,224.52,293.51,342.079,,
574600,224.19,293.49,342.072,,
574500,223.86,293.47,342.065,,
574400,223.53,293.45,342.059,,
574300,223.21,293.43,342.052,,
574200,222.88,293.41,342.045,,
574100,222.55,293.39,342.038,,
574000,222.22,293.37,342.031,,
573900,221.89,293.35,342.024,,
573800,221.55,293.33,342.019,,
573700,221.22,293.31,342.013,,
573600,220.88,293.29,342.008,,
573500,220.54,293.27,342.002,,
573400,220.21,293.25,341.997,,
573300,219.87,293.23,341.991,,
573200,219.53,293.21,341.986,,
573100,219.19,293.19,341.98,,
573000,218.86,293.17,341.975,,
572900,218.52,293.15,341.97,,
572800,218.19,293.13,341.963,,
572700,217.87,293.11,341.957,,
572600,217.54,293.09,341.95,,
572500,217.21,293.06,341.944,,
572400,216.89,293.04,341.937,,
572300,216.56,293.02,341.931,,
572200,216.23,293,341.925,,
572100,215.91,292.97,341.918,,
572000,215.58,292.95,341.912,,
571900,215.25,292.93,341.905,,
571800,214.96,292.91,341.901,,
571700,214.67,292.88,341.897,,
571600,214.38,292.86,341.893,,
571500,214.09,292.84,341.889,,
571400,213.8,292.81,341.885,,
571300,213.51,292.79,341.881,,
571200,213.22,292.77,341.877,,
571100,212.93,292.74,341.872,,
571000,212.64,292.72,341.868,,
570900,212.35,292.7,341.864,,
570800,212.1,292.67,341.857,,
570700,211.86,292.64,341.85,,
570600,211.61,292.62,341.843,,
570500,211.37,292.59,341.837,,
570400,211.12,292.56,341.83,,
570300,210.88,292.54,341.823,,
570200,210.64,292.51,341.816,,
570100,210.39,292.48,341.809,,
570000,210.15,292.46,341.802,,
569900,209.9,292.43,341.795,,
569800,209.74,292.4,341.787,,
569700,209.57,292.38,341.779,,
569600,209.41,292.35,341.772,,
569500,209.24,292.32,341.764,,
569400,209.08,292.29,341.756,,
569300,208.91,292.26,341.748,,
569200,208.75,292.23,341.741,,
569100,208.58,292.2,341.733,,
569000,208.41,292.18,341.725,,
568900,208.25,292.15,341.718,,
568800,208.15,292.12,341.712,,
568700,208.06,292.09,341.706,,
568600,207.96,292.07,341.699,,
568500,207.86,292.04,341.693,,
568400,207.76,292.01,341.687,,
568300,207.67,291.98,341.681,,
568200,207.57,291.96,341.675,,
568100,207.47,291.93,341.669,,
568000,207.38,291.9,341.663,,
567900,207.28,291.88,341.657,,
567800,207.27,291.85,341.652,,
567700,207.26,291.82,341.648,,
567600,207.25,291.79,341.643,,
567500,207.24,291.77,341.638,,
567400,207.23,291.74,341.633,,
567300,207.22,291.71,341.628,,
567200,207.21,291.69,341.623,,
567100,207.2,291.66,341.618,,
567000,207.19,291.63,341.614,,
566900,207.18,291.6,341.609,,
566800,207.24,291.58,341.602,,
566700,207.29,291.55,341.595,,
566600,207.35,291.52,341.587,,
566500,207.41,291.49,341.58,,
566400,207.46,291.46,341.573,,
566300,207.52,291.43,341.566,,
566200,207.58,291.4,341.559,,
566100,207.63,291.38,341.552,,
566000,207.69,291.35,341.544,,
565900,207.74,291.32,341.537,,
565800,207.86,291.29,341.532,,
565700,207.97,291.26,341.527,,
565600,208.08,291.24,341.522,,
565500,208.2,291.21,341.517,,
565400,208.31,291.18,341.512,,
565300,208.42,291.15,341.507,,
565200,208.54,291.13,341.503,,
565100,208.65,291.1,341.498,,
565000,208.76,291.07,341.493,,
564900,208.87,291.05,341.488,,
564800,209.04,291.02,341.481,,
564700,209.2,290.99,341.474,,
564600,209.36,290.97,341.467,,
564500,209.52,290.94,341.461,,
564400,209.68,290.91,341.454,,
564300,209.84,290.89,341.447,,
564200,210,290.86,341.44,,
564100,210.17,290.83,341.433,,
564000,210.33,290.81,341.427,,
563900,210.49,290.78,341.42,,
563800,210.67,290.75,341.414,,
563700,210.84,290.73,341.407,,
563600,211.02,290.7,341.401,,
563500,211.2,290.68,341.395,,
563400,211.38,290.65,341.388,,
563300,211.55,290.63,341.382,,
563200,211.73,290.6,341.376,,
563100,211.91,290.58,341.37,,
563000,212.09,290.55,341.363,,
562900,212.26,290.53,341.357,,
562800,212.45,290.51,341.354,,
562700,212.64,290.49,341.351,,
562600,212.83,290.47,341.348,,
562500,213.02,290.45,341.345,,
562400,213.2,290.43,341.342,,
562300,213.39,290.41,341.339,,
562200,213.58,290.39,341.336,,
562100,213.77,290.37,341.333,,
562000,213.95,290.35,341.33,,
561900,214.14,290.33,341.327,,
561800,214.33,290.31,341.318,,
561700,214.51,290.29,341.31,,
561600,214.69,290.27,341.301,,
561500,214.88,290.25,341.292,,
561400,215.06,290.23,341.284,,
561300,215.24,290.21,341.275,,
561200,215.43,290.19,341.266,,
561100,215.61,290.17,341.258,,
561000,215.79,290.15,341.249,,
560900,215.98,290.13,341.241,,
560800,216.12,290.12,341.235,,
560700,216.27,290.1,341.229,,
560600,216.41,290.08,341.223,,
560500,216.56,290.07,341.217,,
560400,216.7,290.05,341.211,,
560300,216.85,290.03,341.206,,
560200,216.99,290.02,341.2,,
560100,217.14,290,341.194,,
560000,217.29,289.98,341.188,,
559900,217.43,289.97,341.182,,
559800,217.54,289.96,341.178,,
559700,217.65,289.95,341.174,,
559600,217.76,289.94,341.17,,
559500,217.87,289.93,341.167,,
559400,217.99,289.92,341.163,,
559300,218.1,289.91,341.159,,
559200,218.21,289.9,341.155,,
559100,218.32,289.89,341.151,,
559000,218.43,289.88,341.147,,
558900,218.54,289.87,341.143,,
558800,218.61,289.86,341.138,,
558700,218.67,289.85,341.132,,
558600,218.73,289.84,341.127,,
558500,218.8,289.83,341.122,,
558400,218.86,289.83,341.116,,
558300,218.93,289.82,341.111,,
558200,218.99,289.81,341.105,,
558100,219.06,289.8,341.1,,
558000,219.12,289.79,341.095,,
557900,219.19,289.78,341.089,,
557800,219.2,289.78,341.085,,
557700,219.22,289.78,341.082,,
557600,219.23,289.77,341.078,,
557500,219.25,289.77,341.074,,
557400,219.27,289.77,341.07,,
557300,219.28,289.76,341.066,,
557200,219.3,289.76,341.063,,
557100,219.32,289.76,341.059,,
557000,219.33,289.75,341.055,,
556900,219.35,289.75,341.051,,
556800,219.33,289.75,341.047,,
556700,219.3,289.75,341.042,,
556600,219.28,289.75,341.038,,
556500,219.26,289.75,341.033,,
556400,219.24,289.75,341.028,,
556300,219.21,289.75,341.024,,
556200,219.19,289.75,341.019,,
556100,219.17,289.75,341.015,,
556000,219.15,289.75,341.01,,
555900,219.13,289.75,341.005,,
555800,219.07,289.75,341.001,,
555700,219,289.76,340.996,,
555600,218.94,289.76,340.992,,
555500,218.88,289.76,340.987,,
555400,218.82,289.77,340.982,,
555300,218.76,289.77,340.978,,
555200,218.7,289.77,340.973,,
555100,218.64,289.78,340.969,,
555000,218.58,289.78,340.964,,
554900,218.52,289.79,340.96,,
554800,218.43,289.79,340.954,,
554700,218.33,289.8,340.949,,
554600,218.24,289.81,340.944,,
554500,218.15,289.81,340.939,,
554400,218.06,289.82,340.933,,
554300,217.96,289.83,340.928,,
554200,217.87,289.83,340.923,,
554100,217.78,289.84,340.917,,
